positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"قيمت شگفت انگيز","تصوير تيره و روشن مي شود
صفحه خيلي خيلي براق
کنترل خيلي بزرگ
سرعت کند عملکرد تلوزيون","این تلوزیون صفحه خیلی براقی دارد. حتی روشن هم که باشد تصویر تماشاگران توی آن پیداست. تصویر آن روشن و تیره می شود. کنترل خیلی بزرگی دارد و سرعت تعویض کانال های آن هم خیلی کند است. صفحه خمیده آن هم هیچ یک از عیب های آن را نمی پوشاند. به نظر من پولتان را برای خرید این تلوزیون نکنید.",1,7,1,2,2,2
"کيفيت خوب تصوير و صدا
ظاهر زيبا","با اين قيمت واقعأ نميشه ازش ايرادي گرفت فقط توي تاريکي مطلق وقتي داري کانال رو عوض ميکني توي رنگ مشکيش يه نقاط کمرنگ سفيدي مشاهده ميشه که زياد مهم نيست","دوستانی که میگن کیفیت تصویرش خوب نیست یعنی واقعأ شبکه های اچ دی رو باهاش نگاه نکردن، کیفیت تصویرش عالی هستش.چون سایز تلویزیون بزرگه تو شبکه های غیر اچ دی فیلمهایی که کیفیت نداره رو خوب نشون نمیده که اونم عادیه.خیلی از تلویزیون های مارکای دیگه هم همینطورین،بخاطر سایزشون.همین فیلمارو اگه با مثلأ سایز 32 اینچ نگاه کنی میبینی کیفیتش خیلی بهتره.اصلأ ربطی به مارک نداره.اگه کیفیت تصویرش پایین باشه نه توی شبکه اچ دی خوب نشون می ده نه فیلمی که با فلش و کابل اچ دی ام آی نگاه کنی.دوستانی که می خوان بخرن خیالشون از بابت کیفیت تصویر و صدا راحت باشه.یا علی",6,0,4,5,5,5
"قيمت پايين
امکانات بسيار زياد
وزن سبک
جابجايي آسان
وضوح تصوير","عدم امکان نصب با پايه ديواري (نداشتن جاي بستن پايه )
قطع ناگهاني صدا (پس از کار طولاني مدت )","من توی شگفت انگیز خریدم نسبت به پولی که دادم ،عالیه فقط روی دیوار نمیشه نصبش کرد ،صداشم وقتی طولانی مدت روشنه یکدفعه قطع میشه ،البته مشکل بزرگی نیست و وقتی خاموش روشن میکنی درست میشه و برای همین من به شرکتش برای گارانتی مراجعه نکردم ،تصویرش عالیه ،به راحتی به اینترنت وصل میشه ،بلوتوث هم داره ،اگر اینترنت قوی داشته باشید میتونید خیلی از کانالای ماهواره ای را نصب کنید و ببینید ،به اپ استور وصل میشه و در محیط اندروید میتونید بازی یا انواع اپلیکیشن های مرتبط را نصب کنید و ازشون لذت ببرید ،در کل تلویزیون خوبیه . از دیجی کالا ممنونم.",2,1,2,5,4,5
,,"نسبت به قیمتی که داره ارزش خرید داره . از لحاظ خدمات و گارانتی شرکت پشتیبانی شهاب قوی و پاسخو هست ولی در کل تو کیفیت به برند سامسونگ و ال جی اصلا نمیرسه",5,2,3,3,3,3
"کيفيت تصوير خوب
قيمت کناسب
عمق رنگ خوب",,"با سلام خدمت دوستانی که نظراتشان دادن از نظر کیفیت تصویر حرف او دوستانی که میگن شبکه های ما کیفیت و آیینه کاملا درسته.کافیه دستگاه اچ دی تهیه کنید و شبکه اچ دی نگاه کنین تا تفاوت احساس کنید.این همه امکانات با این قیمت به هم نمی‌خورن.ولی من تقاضا دارم موجودی کنین .",5,3,3,5,4,5
"قيمت متوسط","کيفيت پايين تصوير کنترل دراز و بزرگ عدم مسوليت شرکت شهاب در قبال تاييد ايرادات براي ديجي کالا بعضي از مدل ها به دليل عدم آپگريد لرزش تصوير و کندي حرکت دارند","با سلام خدمت دوستان عزیزم
اول باید ببینید از تلویزیون چه انتظاری داریم اگر یک تلویزیون بهترین چای را هم دم کند مسلما شما هیچ ارزش خریدی برایش قائل نمی شوید چون شما انتظار تصویر خوب را از تلویزیون دارید نه چای، بنده این تلویزیون را در پیشنهاد ویژه گرفتم، متاسفانه علیرغم قیمت مناسب خرید چون تصویر خیلی پایین تر از انتظار است اصلا پیشنهاد نمی کنم. چون برای بنده ملاک کیفیت تصویر بود که این برند برآورده نکرد.
نکته جالب تر هم این هست که خود نصاب در موقع نصب به پایین بودن کیفیت تصویر اذهان نمود و با بخش تعمیرگاه شرکت شهاب تماس گرفت که اونها هم زیر بار مسولیت نرفته و به گردن کیفیت آنتن و سیگنال انداختند که قبل از آن تو نمایش شبکه ها با تلویزیون سونی این مشکل وجود نداشت و جالبتر این بود که نصاب شرکت قبول نکرد مشکل تصویر را برای مرجوع کردن قید کند چون میگفت من حقوق بگیر شرکت شهاب هستم و نه دیجی کالا و بنده نتونستم مرجوع کنم..
بنده حتی حاضر شدم با کسر یه مبلغ به دیجی کالا بفروشم ولی قبول نکردند. در کل اگر براتون کیفیت تصویر مهم هست برید سراغ یه برند دیگه...",2,18,1,3,3,0
,,"بنده این ال ای دی رو چند روز پیش خریداری کردم از دیجی کالا.از ال ای دی رضایت کامل دارم از کیفیت و زیبایی ومنوی راحتش وصداشم خوبه .ولی ولی شهر خودمون قیمتش پایینتربود که همین باعث شد یکخورده از دیجی دلگیر بشم البته همه پیام دادن که ما توی پیشنهاد ویژه خریدم ما که 20روز نشستیم وهر روز چک میکردیم پیشنهاد ویژه ای ندیدیم.در کل از تی وی رضایت کامل دارم اما ازقیمت نه .",5,2,3,3,3,3
"پنل با کيفيت
سيستم عامل کابر پسند با امکانات زياد
نمايش تصاوير با رنگهاي زنده و واقعي
صداي واضح و قوي
طرح ظاهري زيبا",,"اول در مورد کیفیت تصویر این محصول که مهمترین فاکتور خرید برای هر مصرف کننده ای هست بگم که : تصاویر عالی با عمق رنگ خوب و کنتراست بالا را نمایش می دهد . اگر سورس تصویر شما خوب باشد وضوح تصویر این تلویزیون شما را شگفت زده خواهد کرد . تصاویری که معمولا روی برندهای معروف در فروشگاه یا نمایشگاه ها می بینید فیلمهای با فرمت 4K از طریق فلش مموری پخش می شوند که فقط برای تبلیغات تهیه شده اند .مطمئن باشید آن تصاویر اگر روی این تلویزیون پخش شوندچیزی از رقبا کم نخواهد داشت .
اگر در محل زندگی شما شبکه های HD قابل دریافت نیست یا با یک آنتن تق و لق قصد تماشای شبکه های داخلی را دارید ، هیچ وقت سراغ این تلویزیون یا محصولات مشابه دیگر نروید . یک تلویزیون معمولی با اینچ پایینتر هم همان وضوح تصویر و گیرایی را خواهد داد که یک تلویزیون چند ده میلیون تومانی ! بخاطر همین هست که شما در هیچ فروشگاهی روی هیچ تلویزیونی شبکه های داخلی را در حال پخش نخواهید دید !
سیستم عامل این تلویزیون نسبت به "" تایزن"" سامسونگ و ""Web OS "" ال جی زیباتر و روان تر هست . سرعت اجرای فرامین یا برنامه ها کمتر از آنها نیست و محیط کاربر پسند تری دارد . در مقابل لینوکس ممکن هست آسیب پذیر تر باشد ولی این مورد برای کاربران عادی تعیین کننده نیست .مکث چند ثانیه ای در هنگام روشن شدن تلویزیون در تمام تلویزیونهای اسمارت وجود دارد و این بخاطر لود شدن سیستم عاملش هست .
زمانی که یک گیرنده فول اچ دی ، لب تاب ، تبلت یا گوشی هوشمند به این تلویزیون متصل کنید متوجه تصویر بسیار عالی و امکانات بی نهایت جذاب اندروید آن خواهید شد ، امکان حرکت نشانگر ماوس لب تاب با کنترل تلویزیون یکی از آنهاست .کنترل این تلویزیون با برنامه nscreen که روی گوشی یا تبلت نصب می شود هم بسیار لذت بخش هست . با حالت mirorcast هم میتوانید تصویر تلویزیون یا گوشی را با هم به اشتراک بگذارید . در ضمن کیبورد و ماوسهای بی سیم براحتی قابل نصب و استفاده روی این تلویریون هست که در تلویزیونهای رقیب به سختی یا اصلا قابل نصب نیست .
بخش مالتی مدیای این تلویزیون هم به خاطر وجود سیستم عامل اندروید بسیار غنی و قابل توجه هست ، عملا هیچ فرمت صوتی یا تصویری وجود ندارد که این تلویزیون قادر به پخش آن نباشد . مرور اینترنت و کلا بخش اسمارت در این تلویزیون چند سر و گردن بالاتر از برندهای دیگر هست .
نصب کاملا رایگان و بدون هزینه ایاب و ذهاب و خدمات پس از فروش گسترده شهاب هم یکی از عوامل برتری این محصول هست .",12,1,4,5,4,5
"قيمت مناسب
کيفيت مطلوب",,"با توجه به قیمت ارائه شده در شگفت انگیزش واقعا عالیه",10,1,5,4,4,5
قيمت,"کيفيت پايين تصوير","من این تلوزیون رو در پیشنهاد شگفت انگیز خریدم البته قیمتش مناسبه ولی تلوزیون آل ای دی سامسنگم از این بهتره از کیفیت تصویرش راضی نیستم
مخصوصا تو فاصله نزدیک که اصلا مشخص نیست چی داره نشون میده فقط تو تصاویر اچ دی یکم تصویر خوبه بدرد تماشا نمیخوره فقط برا پوز دادن خوبه که بگی تلوزیون خمیده داری",2,10,1,4,3,2
