positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
4k,"کيفيت پايين تصوير
کيفيت ساخت پايين کنترل و کنترل هوشمند","با سلام
من این تلویزیون خریدم و توقع داشتم که کیفیت تصویر حداقل به اندازه تبلیغاتش باشه ولی واقعا ضعیف عمل کرد و قابل مقایس با تلویزیون های ال جی و سامسونگ نیست.
کنترل هوشمندش هنگ میکنه
کیفیت ساخت کنترل اصلی پایینه
موقع تعویض کانال از HDMI به تلویزیون و بلعکس وقف زیاد داره
و باز هم دوباره تاکید میکنم تصویرش واقعا بی کیفیت رنگ ها در هم اشباع میشن و رنک مشکی اصلا خوب نمایش داهده نمیشه و تصویر کدر و شفافیت لازم نداره",0,3,1,3,2,3
"امکانات بالا
4K","کيفيت پايين تصوير
کيفيت بسيار پايين صدا","نه میشه گفت خیلی عالیه نه میشه گفت خیلی بده...
در کنار اینکه امکانات بالایی داره ولی از 2اصل تلویزیون بی بهره هست یکی تصویر و دیگری بلندگوهای بسیار ضعیفش،کیفیت تصویر تو رزولوشن 1080P بسیار پایین هست و فقط و فقط توی 4k عالی هست...در کل میشه گفت بخاطر اینکه از 2 اصل کیفیت تصویر و صدا روش نمیشه حساب کرد با کمی هزینه بالاتر میشه تلویزیون های دیگر از برند های ال جی یا سامسونگ گرفت چون اولین چیزایی که میشه توی یک تلویزیون دید کیفیت تصویر و کیفیت صدای آن هست که توی تلویزیون 48xlu715 نمیشه دید...",2,1,3,4,5,4
خوب,,"با سلام به کاربران عزیز من سه ماه پیش این مدل تلوزیون از یک سایت دیگه خریدم دیجی کالا نداشت از نظر قیمت و کیفیت پردازش خیلی خوبه امکاناتی که به این مدل داده شده با رنج قیمتی عالیه امید وارم در اینده خودشو نشون بده ممنون از دیجی کالا (یاحق)",6,0,4,4,4,5
,,"من یه شش ماه که دارم از این تی وی استفاده میکنم،خلاصه،مختصر و مفید به ازای بهاش میارزه،و من ازش خیلی راضی ام",5,0,3,3,3,3
"ايراني بودن!
DLNA
4K
قيمت مناسب به نسبت قابليت‌ها
نسبتا سبک","کيفيت تصوير عالي نيست","به دلیل اینکه به نسبت قابلیت‌هایی که ارائه میده قیمت مناسبی داره و ایرانی هست خریدمش و میشه گفت 80 درصد راضی‌ام!
نمیشه گفت عالیه ولی اینکه ایرانی هستش حس خوبی به آدم میده. DLNA داره و 4k هستش، به همین خاطر برای دیدن فیلم به صورت remote از روی لپ‌تاپ و بازی کردن تلویزیون خوبیه.",8,0,4,4,4,5
"کيفيت تصوير عالي حتي با اينکه اندازش بزرگه کيفيت هاي پايين رو بسيار عالي نشون ميده
فيلم با کدک x265 10bit ساپورت ميشود",,"واقعا شما از جون این چی میخواین اونایی که کدر میگن نشون میده برن تو تنظیمات درست کنن یه عکس فور کی زدم تا یک ساعت تماشا میکردم بسیار عالی بیسته فرمت یه فیلم 4k با کدک x265 10 bit رو اجرا کرد مثل اینو با هشت ده میلیونی سامسونگ و حتی بیشتر میتوانید پیدا کنید",10,1,5,5,5,5
"کيفيت تصوير
زيبايي
قيمت خوب","رابط کاربري ، مخصوصا از لحاظ گرافيکي ضعيف
سنسور حرکتي در کنترل هوشمند ضعيف","به طور کلی با توجه به قیمت تلوزیونی خوب و با کیفیت تصویر بالا می باشد. اما رابط کاربریشممکنه اوایل یکم تو ذوقتون بزنه که به نظرم مهم نیست و بهش عادت میکنید
این محصول ایرانیه و خیلی از برند های خارجی ارزون تر ، از این جهت خریدش رو پیشنهاد میدم",7,0,3,2,0,4
"امکانات و زيبايي","زاويه ديد واقعا محدود","دوستان همه مواردی که در مورد خوبیهای این تلویزیون گفتن درسته فقط زاویه دید خیلی کمه ، فقط کیفیت مطلوب رو از روبرو میبینید و با کمی زاویه کلا تصویر مات و دودی میشه",0,2,1,5,4,5
"کيفيت عالي زيبايي ظاهري صفحه 4k",,"خیلی خوبه فک نمیکردم تلوزیون ایرانی انقدر با کیفیت باشه
شبکه های خودمان کیفیتش معمولییست ولی اگه فیلم با کیفیت فول اچ دی یا 4 کی بزارید متوجه کیفیت ان میشود",5,0,5,3,5,5
"طراحي زيبا و چشم نواز
کيفيت خوب نمايش
رابط کاربري نسبتا سريع
قابليت wireless display",,"سلام
چند روزی میشه که این محصول رو از دیجی کالا خریداری کردم ،وقتی که تو سایت تصاویرشو دیدیم فکر کردم ضخامتش خیلی باشه ولی در واقع اینطو نبود طراحیش بسیار زیبا است ولی اگه خواستید بخرید پیشنهاد میکنم 55 اینچش رو بخرید...
به دوستانی که از کیفیت تصویر انتقاد میکنن بگم علت کیفیت پائین تصاویر دریافتی از آنتن شبکه های ایرانه و اگر یه فیلم با کیفیت 4k یا همون 2160p و یا حتی Full HD رو از روی فلش پخش کنید بسیار بسیار با کیفیت نمایش داده میشه در واقع کیفیت بالاش رو میتونید هنگام وب گردی حس کنید به هر حال برای اینکه برنامه های تلوزیون رو هم بتونید با کیفیت نسبتا خوب ببینید کافیه فقط تو تنظیما تصویرش برید و مقدار نور رو کاهش بدید (من روی 37 گذاشتم ) و مقدار رنگ رو افزایش بدید (من روی 95 گذاشتم و خیلی خوب جواب داد)
فقط تنها ایرادی که میتونم بگیرم اینه که تو app store ش بیشتر بازی هست و برنامه های کاربردی مثل Pdf Reader وجود نداره و همچنین من فکر میکردم چون مرورگر داره(مرورگر Opera ) پس احتمالا فایل های html ذخیره شده داخل فلش رو هم بتونه باز کنه ولی خب متاسفانه اینطور نیست... پس خیلی هم smart نیست اما خدائیش سرعت باز کردن فیلم هاش و ... خیلی خوبه در مجموع تو این قیمت پیشنهاد میکنم بخرید پشیمون نمیشید....",7,0,4,3,4,5
