positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
,,"نسب به قیمت تخفیف ویژه دیجی کالا تو این رنج خوبه نکات که برخی دوستان میگن ممکنه مطرح باشه وقتی کالا دارای 18 ماه گارانتی داره حای نگرانی نداره",1,0,3,3,3,3
"کيفيت و شفافيت فوق العاده
جزئيات دقيق
عدم محو شدگي تصوير در صحنه هاي اکشن و بازي فوتبال
مرورگر وب عالي
قابليت نصب کيبورد و موس بلوتوث و همينطور مجيک کنترل","کيفيت ساخت پايين و پلاستيک نامرغوب
عدم وجود بلوتوث
عدم وجود دوربين و سنسور حرکتي
عدم وجود کنترل صوتي","مواردی که بعنوان نقطه ضعف ذکر شد اکثر در نسخه عربی و اروپایی این محصول وجود دارند اما این نسخه که ساخت کشور عزیزمون هست این امکانات رونداره که به نظر من نداشتنش باعث افزایش امنیت تلویزیون خواهد شد.
این تلویزیون رو بنده 2 هفته پیش خریداری کردم. از این تلویزیون راضی هستم. شاید بگید ساخت داخله پس نخرم! ولی من میگم دیدگاهتون رو عوض کنید و بگید چون ساخت داخله پس میخرم... چون کارگر ایرانی پول گیرش میاد . چ.ن اشتغال درست شده برای یک عده و اگر استقبال بشه قطعا محصولات شرکت های دیگه هم این کار روگسترش خواهند داد. انشالله به روزی برسیم که خودمون تولید کننده بشیم.",1,1,5,2,5,5
"کيفيت تصوير خوب و قابل قبول (در شبکه هاي صدا سيما)
ريموت ساده و شيک !","تاخير عجيب و آزاردهنده بين صدا و تصوير!
حرکت نشان گر موس با ريموت در محيط هوشمند مثل مرورگر وب واقعا سخته","یه ماهی میشه که خریدمش
واقعا باید به نسبت قیمتش مقایسه بشه
من راضی ام
سرعت پاسخگویی تصویرش بعضی مواقع توی فیلم ها و صحنه های اکشن مشخص میشه که بالاس. یعنی یه مقداری تار میشه یا لرزش تصویر میگیره. ولی واقعا اون قدری نیست که آزاد دهنده باشه. من باهاش فوتبال میبینم مشکلی نداره. ولی تو ورزش های سریعتری مثل والیبال نمیدونم حرکت توپ رو میتونه خوب نشون بده یا نه. البته بعید میدونم مشکلی باشه چون اونقدر ها هم دیگه ضعیف نیست تو این زمینه
باهاش PES هم بازی کردم مشکلی نبود. راستش بازی های اکشن رو تست نکردم.
کیفیت تصویرش خوبه. توی شبکه های اچ دی یا فیلم های فول اچ دی واقعا راضی کننده اس.
کیفیت شبکه های صدا سیما هم قابل قبول و خوبه
اگر میبینید خیلی بد شبکه هارو نشون میده یه ذره با تنظیماتش بازی کنید. مطمئن باشید بهتر میشه. منم اولش خیلی نا امید شدم چون واقعا افتضاح بود تصویرش. کدر و بی روح و بی رنگ انگار یه لایه رنگ سفید کشیده بودن رو تصویر! ولی بعدش درست شد.
چند تا اپ روش نصب هست مثل نود و ورزش سه و ... ولی من ازشون استفاده نمیکنم
اینم بگم که حرکت دادن نشانگر موس توی محیط هوشمند مثل مثلا مرورگر وب یا تایپ کردن حروف روی کیبوردی که روی صفحه بهتون نشون میده واقعا سخت و خسته گننده اس.
تو این زمینه انصافا ریموت کنترل های ال جی توی تلویزیون های هم رده واقعا بهتره. سیسیتم عامل وب او اس ال جی هم به نظرم خیلی بهتر و کاربردی تره
ولی ریموتش خیلی خوشگل، جمع و جور ، ساده و شیکه.
یه صدای بیب بیب هم توی حرکت توی منو ها داره که خیلی رو اعصابه!
و در نهایت بزرگترین ایرادش که نمیدونم دقیقا مشکل ز تلویزیون هست یا نه
اونم اینکه وقتی دارین برای یکی دو دقیقه یکی از شبکه هارو میبیند یه دفعه یه نویزی میفته رو تصویر و بعدش صدا و تصویر با تاخیر پخش میشه!
تا وقتی کانال رو عوض نکنی هم درست نمیشه.
مثلا داری فوتبال میبینی یه دفعه گل میزنن گزارشگر سه ثانیه بعد داد میزنه گللل!
نمیدونم واقعا مشکل کجاس",1,1,4,4,2,4
"سايز استاندارد
کنتراست خوب
رزوليشن بالاي 4k","سرعت هرتز پايين","من این مدل رو دیروز خریدم آوردم خونه تا واسه یه ماه دیگه بعد عروسیم روشنش کنم.البته از دیجی کالا نخریدم قیمت دیجی ارزونتر بود.دیروز حس کنجکاویم گل کرد واسه یه لحظه بازش کردم و روشنش کردم ویه فیلم اچدی از طریق فلش باهاش تست کردم.اولین چیزی که متوجه شدم وتو ذوقم زد وهمیشه از همین موضوع میترسیدم سرعت انطباق تصویرش بود که تو سوژه های متحرک تصویر لرزش داشت و تار میشد..حالا باز باید صبر کنم تا وقتش برسه قشنگ تستش کنم..ولی فک نکنم به غیر از این موضوع مشکلی داشته باشه..",2,1,3,3,3,3
,,"تلوزیون خوبیه",3,0,3,3,3,3
"کيفيت تصوير خوب
اسپيکر قوي
سيستم عامل قدرتمند
کنترل اسمارت","خروجي هدفون ندارد
کيفيت ساخت ضعيف
دفترچه راهنماي اصلي ندارد - دفترچه راهنماي فارسي بسيار محدود","تلویزیون خوبیه اما کیفیت قطعات در مقایسه با مدل‌های وارداتی سامسونگ مشخضا ضعیف‌تره. برای نصبش حتما باید به سام سوریس زنگ بزنین تا بیان نصب کنن. که البته نصبش جز پیچ و مهره بستن کاری نداره. اما نصاب میاد چندتا برنامه اجباری نصب می‌کنه که بیشتر حالت مارکتینگ واسه اون نرم افزارها داره. نقطه قوت تلویزیون هم پخش فایل‌های 4k از USB هستش. هارد 2 ترابایتی رو میشناسه. البته اول که تلویزیون و گرفتم اصلا USB رو نمیشناخت و مجبور شدم نرم‌افزار تلویزیون رو با WiFi ارتقا بدم تا درست شه. اسپیکرهای خود تلویزیون در کمال تعجب خیلی خوبه و نیازی به اسپیکر خارجی واقعا نیست. کنترل دستگاه هم از این جدید هاست که برای اسمارتها طراحی شده که اولش کمی کار کردن باهاش سخته اما بعدش عادت می‌کنین. کیفیت کانال‌های دیجیتال به جز کانال‌های HD چندان جالب نیست که البته برمیگرده به سایز تلویزیون و وضوح Native که 2160p داره. در کل اگه به دلیل مونتاژ و کیفیت ساخت ضعیف خراب نشه واقعا تلویزیون خوبیه. قیافه‌ش هم خیلی عادیه و چیز خاصی نداره. چیزی که خیلی تو ذوق میزنه دفترچه‌ی تو جعبه س که ادم رو یاد دفترچه آبگرمکن دیواری میندازه.",3,5,5,4,2,5
"هوشمند
صداي خوب
تصوير باکيفيت","مونتاژ داخل","من 8روز پیش این مدلو از بازار گرفتم که از دیجی کالا گرونتر بود.ولی بعد5روز یک خط سفید اومد وسط صفحه و رنگاش مات شد.بعد دوروز دویدن گفتن چون زیر 10روز خراب شده عوض میکنن وگرنه تعویض قطعه میکنن.حالا همون تلویزیون خرابو بهم دادن میگن 20تا 25روز طول میکشه کاراش انجام شه.میگن انقدر تعویضی داریم نوبت شما 20روز دیگه میشه.مواظب باشین مدلایی رو که میگیرین مال داخل نباشه یعنی رو سایت سامسوونگ باشه اون مدل.اینا مونتاژ داخله و از خود سامسونگا درصد تعداد خرابیش ظاهرا بیشتره بعد سروکارتون میافته به گارانتی که تو ایران مثل بقیه گارانتیا مزخرفه و جوابتونو نمیدن.ممنون.",7,4,4,3,2,4
"قيمت مناسب
امکانات زياد
سايز بزرگ
قابليت نصب در ديوار","عدم امکان خاموش کردن واي فاي
عدم وجود خروجي هدفون","با سلام

سه چهار ماه میشه از دیجی کالا خریداری کردم. به لحاظ قیمت و امکانات و سایز خیلی خوبه. فقط در نصب آن کمکی مشکل داشتم یعنی بایستی به سه چهار جا زنگ بزنید تا بتونید نمایندگی رو پیدا کرده و باهاشون هماهنگ کنید تا بیان نصبش کنن. (هزینه دریافتی برای نصب هم با کاری که انجام داده میشه تناسب نداره و گرون به نظر می رسه)

اما تنها ایرادی که به نظرم داره عدم امکان خاموش کردن وای فای هست یعنی با خاموش کردن تلویزیون خاموش میشه و با روشن کردنش روشن میشه. در قسمت تنظیمات هیچ گزینه ای برای این کار پیدا نکردم و این موجب میشه تا هر کسی که گوشی جدید سامسونگ داره اقدام اشتراک گذاری تصاویر و ویدیو از طریق گزینه «مشاهده محتوا در تلویزیون smart view» نماید. البته برای موفقیت آمیز بودن این کار نیاز به تایید از طریق ریموت کنترل تلویزیون هست اما در مورد پیامی که درخواست اجازه می نماید تقریبا نمیشه کاری انجام داد. در کل عدم امکان خاموش کردن وای فای به نظر اینجانب عیب بزرگی برای این سری از تلویزیون های سامسونگ محسوب میشه.",8,2,4,4,4,4
"کيفيت تصوير","بلوتوث ندارد
خروجي هدفون ندارد","به نظرم تلوزیون خوبیه",4,4,5,4,4,4
"کيفيت تصوير تلويزيون (Ultra HD - 4K)
فناوري هاي سمعي، بصري و نرم افزاري تلويزيون
طراحي و سخت افزار تلويزيون
درگاه و پورت هاي مناسب تلويزيون
سيستم عامل و گرافيک تلويزيون","نبود بخش Games و محدوديت هاي نسبي نرم افزاري","با سلام و عرض ادب خدمت همکاران و مدیریت فروشگاه و شرکت نوآوران فن آوازه (دیجی کالا) و سام سرویس.. این سفارش، ششمین سفارش بنده از فروشگاه اینترنتی دیجی کالا ست و هربار، رضایت کامل از هر خرید داشتم و در اسرع وقت و در زمان معین شده، سفارش تحویل داده شد و سام سرویس نیز همچنین، در اسرع وقت برای نصب تلویزیون، اقدام و حضور پیدا کردند.. من یک نوجوان شانزده ساله هستم و این نظر و نقد را برای این تلویزیون ثبت میکنم و اگر تصمیم به خرید این تلویزیون را دارید، امیدوارم که مفید واقع بشه و مطالعه کنید..
..
این مدل از تلویزیون های هوشمند سال 2016 سامسونگ، از سری 7 و گروه K و مدل UA50KU7970 است که از این ابعاد تا ابعاد 70 اینچ تولید و عرضه میشوند.. تقریبا و یا کاملا میتوان گفت که این مدل، یکی از بهترین و مناسب ترین مدل تلویزیون های هوشمند سامسونگ میباشد که در سال 2016 به تولید رسیده است.. کیفیت تصویر این تلویزیون، Ultra HD - 4K میباشد که در رتبه سوم کیفیت های بصری قرار دارد.. 8K و 5K، رتبه های اول تا دوم را دارند که در سال های آتی، این کیفیت از تصاویر نیز تولید خواهند شد.. از فناوری های انحصاری به کار رفته در این تلویزیون میتوان به PurColour، UHD Dimming، UHD Upscalling، Auto Depth Enhancer، HDMI Black Level، Auto Clear Motion، Smart View و TV Sound Connect اشاره نمود.. فناوری های دیگر نیز مانند HDR و Dolby Digital و DTS و HDMI و WI-FI Direct و Miracast اشاره نمود..
..
ابعاد تلویزیون، 50 اینچ میباشد که برای کیفیت تصویر Ultra HD - 4K و رزولیشن 3840*2160 و نسبت تصویر 16:9 و انطباق تصویر (Motion Rate) 100hz، بسیار مناسب میباشد.. طراحی بدنه تلویزیون مناسب بوده و البته این مورد، به سلایق و انتخاب کاربران برمیگردد و نمیتوان گفت که خوب است یا بد.. پایه ی منحنی تلویزیون، تلویزیون را مشابه با یک تلویزیون خمیده میکند و نمای مناسبی به آن میدهد.. ریموت کنترل نسل 7، تغییر نسبتا انقلابی نسبت به ریموت کنترل های دیگر سری های تلویزیون های سامسونگ داشتند.. تعداد دکمه ها کمتر و مناسب تر شدند و در دو نوع هوشمند و غیر هوشمند عرضه شدند.. بدنه ریموت کنتزل، نسبتا منحنی بوده در به خوبی در دست جای میگیرد.. در نگاه اول، گرافیک و موشن های گرافیک های تلویزیون، موجب میشود تا کاربر، مجذوب تلویزیون بگردد.. مهم ترین فناوری به کار رفته در تلویزیون، UHD Upscalling میباشد که تصاویر را تا حد امکان، نزدیک به Ultra HD - 4K ارتقا میدهد.. در برخی نظرات، اعلام شده که این اعمال، باعث تاخیر صدا و تصویر شده است، اما من به چنین موضوعی برخورد نکردم و فکر میکنم چنین نیز نباشد.. پردازنده ی چهارهسته ای تلویزیون، از اجرای فایل ها و اپلیکیشن ها و فناوری های به کار رفته در تلویزیون، به خوبی برمی آید.. تلویزیون، گیرنده داخلی دارد و با اتصال آنتن، شبکه های تلویزیونی و رادیویی دیجیتال صدا و سیما دریافت میگردند..
..
بخش Smart Hub در تلویزیون، بسیار خوب و روان است و برای برخی از کاربران، نبود بخش Games میتواند کمی عجیب باشد.. اما میتوان با اتصال کنسول بازی به تلویزیون، این ابهام و یا نیاز را برطرف نمود.. اپلیکیشن ها مناسب اند و شاید تنوع کم شان، ناراحت کننده باشد.. اما مهمترین اپلیکیشن این تلویزیون، اپلیکیشن «آیو» میباشد که برای خریداران تلویزیون های هوشمند سامسونگ، اشتراک نقره ای شش ماهه در نظر گرفته شده که هدیه ای از «آیو» میباشد.. سیستم عامل تلویزیون، سیستم عامل انحصاری Tizen سامسونگ است.. سه درگاه پورت HDMI درنظر گرفته شده و دو پورت USB 2.0، ورودی AV، ورودی Component، خروجی صدای آپتیکال و LAN، در این تلویزیون به کار رفته اند.. پیشنهاد میکنم برای ضبظ برنامه ها و استفاده از قابلیت Timeshift، از فلش هایی با فرمت NTFS و یا هارداکسترنال ها استفاده کنید.. اگر از فلش استفاده میکنید، به درگاه USB 2.0 متصل کرده و برای هارد اکسترنال، از درگاه USB 2.0 HDD استفاده کنید.. فایل های ضبط شده از تلویزیون، دارای محافظت DRM هستند و تنها قابلیت پخش در تلویزیون را دارند و فرمت آن .srf میباشد.. برای پخش فایل هایتان در کامپیوتر یا لپ تاپ، پیشنهاد میکنم Network Discovery را در ویندوز فعال و توسط برنامه Windows Media Player، و بخش Library، اقدام به اضافه کردن فایل و فولدرهایتان کنید تا بدون اتصال دستگاهی به تلویزیون، فایل های مدنظرتان را اجرا کنید..برای گوشی های همراه تان نیز، اپلیکیشن Smart View را نصب کنید..موفق باشید..",31,11,5,4,5,5
