positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"اندرويد بودن
کيفيت بالاي تصوير و سه بعدي
کيفيت صداي خوب","بهتر بود روشنايس تصوير اندکي بيشتر باشد","بعد از حدود 8 ماه استفاده از این تلویزیون، با اطمینان می تونم بگم که از خریدم کاملا راضی هستم.
مهم ترین ویژگی این تلویزیون، اندروید بودنش هست که اون رو از بقیه تلویزیون ها کاملا متمایز میکنه؛ شما می تونید هر نرم افزاری رو که روی گوشیتون نصب می کنید، به راحتی روی این تلویزیون هم نصب کنید و لذت ببرید. مثلا نرم افزار دانلود منیجر ADM رو نصب کنید و تنظیمش کنید که در ساعات دانلود رایگان شبانه، براتون فیلم ها و سریال هاتون رو دانلود کنه، حتی وقتی تلویزیون رو خاموش میکنید این برنامه کار خودش رو میکنه، دقیقا مثل گوشی موبایلی که صفحه اش خاموشه. این فقط یک نمونه از قابلیت ای اندروید هست، این دنیا یه جورایی نامحدود و بسیار هیجان انگیز هست که قطعا تجربه دلچسبی خواهد بود...
از نظر کیفیت تصویر، در سطح بسیار بالایی قرار داره و از هم قیمت های خودش در برند های دیگه کاملا سرتره. فقط روشنایی تصویر مقداری کمه که البته قابل چشم پوشی هست. عمق رنگ مشکی در این تلویزیون عالیه.
کیفیت 3D واقعا راضی کننده و هیجان انگیزه. در ضمن میتونید از عینک های اکتیو برندهای دیگه مثل سامسونگ هم استفاده کنید که قیمت کمتری دارن...
از نظر کیفیت و بلندی صدا هم در حدی هست که شما رو از خریدن سینمای خانگی بی نیاز کنه. کیفیت صدا چه برای تماشای فیلم و حتی گوش دادن موسیقی در سطح بالایی قرار داره.
در مجموع، کمبود چیزی رو در این تلویزیون مشاهده نخواهید کرد.",1,0,5,5,5,5
"کيفيت تصوير","قيمت بالا","با سلام خدمت دوستان
در یک کلام تصویر عالی در رنج قیمتی خودش
فلاش هم به راحتی ساپورت می کند
و اینکه اکثر فرمت هارو میخواند.",2,0,5,4,4,3
,,"کلی بگم سرتون درد نیارم چون نظرتان دوستان کامله. نسبت به مدل های هم سطح موجود در برند سامسونگ و ال جی با این قیمت اصلا ارزش خرید نداره.... اندروید بی استفاده 3D که عینکم نگذاشته واسش حتما مدل های مشابه و هم قیمت در ال جی یا سامسونگ را برسی کنین قبل خرید.",1,6,4,2,1,1
,,"اول اینکه کشور رو بذارید رو نیوزیلند تا تو منوی اکشن حالت ضبط اضافه بشه سپس فلش 64 گیگ به usb پایین وصل کنید تمام . توجه کنید فلش کمتر از 64 قبول نمیکنه",5,0,5,4,4,3
"راحتي اتصال به ديگر رسانه ها
کنترل کامل تلويزيون با گوشي هوشمند
نصب تمام برنامه هاي اندرويد
کيفيت خوب تصوير
نصب تونل و پخش از يوتيوب","ضعف نصبي کنترل
عدم ضبط برنامه
محدوديت برنامه هاي مختص خود تلوزيون","تقریبا یک سال هست این تلویزیون رو دارم از هر لحاظ راضیم الا عدم ضبط روی فلش .
کنترل نصبتا ضعیفی داره هر چند کنترل هوشمند لمسی داره که جدا فروخته میشه و قیمتش بالاست. ولی در عوض با برنامه اندروید tv side show کنترل کامل بر تلویزیون دارید. تمام برنامه ها ی اندروید روش نصب میشه به شرط ایجاد دسترسی کامل .برنامه های جانبی زیادی داره برای اتصال گوشی و تلویزیون از جمله پخش فیلم روی گوشی از تلویزیون و برنامه های جالب دیگه از جمله media senter . از ایراداتش نبود عینک سه بعدی رو تلوزیونه .جستجوی صوتی فارسیش عالیه بدون کوچکترین اشتباه البته باید کنترل هوشمند داشته باشه یا نرم افزار کنترل . میشه با وای فای مستقیما به کامپیوتر وصل بشه و فیلمهای به اشتراک گذاشته شده کامپیوتر رو پخش کرد.
در پایان هر کی این تلویزیون رو داره دو نرم افزار برای گوشی پیشنهاد میکنم که عالین .sony media senter .و video &tv side show .
انشالله که مفید باشه و درست و بر حسب نیاز تصمیم بگیرید",6,0,5,4,5,5
,,"زاویه دیدش داغونه انگار مه گرفته تلوزیون هرزگاهی ی صدا میکنه بعدا هیچ فیلمیو نمی تونی باز کنی اصلا ی وضعیی",1,6,4,4,4,4
"از همه لحاظ عالي مخصوصا کيفيت تصوير","چيزي نديدم","سلام من هم این مدل را تازه خریدم ازهمه لحاظ کامله کیفیت تصویر عالیه من میخوام برا برادرم هم یکی بخرم لطفا موجودش کنید.",3,1,5,4,4,5
,,"من هیچ مشکلی تو usb نمیبینم به راحتی فیلم و عکس رو پخش میکنه اگر mx player رو tv نصب کنید فیلمها به راحتی پخش میشن کیفیت این tv از مدلهای lg و Samsung خیلی بهتره",3,2,5,4,4,3
"تصوير
کيفيت ساخت
باريک
قابليت اتصال به اينترنت","بسيار ضعيف در شناخت و عملکرد درگاه يو اِس بى
منو بسيار غير منطقى و پيچيده
عملکرد کند ريموت
دسترسى نه چندان ساده در اتصال درگاه هاى پشتى
عدم پشتيبانى در اتصال بلندگوهاى با ويژگى بلوتوث","اگه فقط از تلویزیون براى تماشاى برنامه هاى معمولى شبکه ها استفاده میکنید مناسبه اگه میخواین گاهى با فلش فیلم یا عکس هم باهاش ببینین مکافاته نحوه قرارگیرى درگاه هاى پشتیش چیدمان ضعیفى داره من که پشیمونم خریدم فکر میکنم سونى از سامسونگ یا ال جى ضعیفتر شده قبلنا بهتر بوده",1,9,5,2,2,3
"تصوير باکيفيت
صداي با کيفيت
طراحي قابل قبول","هنگ جزئي و کندي عملکرد","سلام.ارادت
این محصول رو چند روزی میشه از بازار بدلیل تفاوت قیمت بدون گارانتی گرفتم.ساخت مالزی.کیفیت قابل قبولی داری صوت و تصویر و طراحیش
اما در عملکرد سیستم تعویض کانال و بارگزاری فلش و هارد ناامید میکنه و کنده.میشه گف انقد خوبه که ادم توقع نداره این عیبای جزئی رو داشته باشه.دوستان با تجربه اموزش های عملکرد های مختلف تی وی پست کنن لطفا(اپدیت،قابلیت های خاص)
تشکر از دبجی کالای دوست داشتنی",4,1,4,4,2,3
