positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"4K - HDR Pro - Web OS.3 - صداي پر قدرت و واضح - Trumotion","حساس بودن پايه در برابر خط و خش ، شايد پنل IPS و شايد خطوط حاله اي رنگ سياه","من حدود دو ماهی هست که مدل 43 اینچ این تلویزیون رو خریداری کردم
نمیگم این تلویزیون ایراد نداره ولی شک نکنید با این رنج قیمتی که من خریدم میتونم بگم کم ایراد ترین تلویزیونی بود که دیدم.(اینو هم بگم هر تلویزیونی شما بری بگیری خالی از ایراد نیست ، شک نکن)
اولین مورد ضعیف بودن بدنه ی پایه و حساسیت بالا به خط و خش ، به طوری که اگه حتی آروم با ناخن دستتون بخوره (مثل وقت تمیز کردن) خط افتادن حتمیه.
مورد بعدی اینه که ، این تلویزیون هم مانند سایر مدل های ال جی از پنل IPS استفاده میکنه.استفاده از این نوع پنل ها در نمایشگر های تلویزیون چند مزیت و یک عیب داره ، عیبش اینه که صفحه ی تلویزیون در محیط های روشن بازتاب نور پیدا میکنه اما راه حل داره و میشه با کمی خلاقیت خرج دادن در دکوراسیون خونه، تلویزیون را جایی قرر داد که در معرض مستقیم نور قرار نگیره مثلا رو به پنجره نباشه یا روشنایی اتاق جهت مخالفی داشته باشه ..مزیت این پنل هم یکی ضد ضربه بودن صفحه نمایش (ضربه هایی مثل مشت زدن بچه ها) و تغییر نکردن رنگ با نگاه کردن به صفحه نمایش از اطراف و حتی بغل تلویزیون .
خطوط حاله ای رنگ سیاه هم وجود داره اما گاهی اوقات و خیلی به ندرت پیش میاد و فقط بعد از روشن موندن طولانی تلویزیون ممکن هست دیده بشه ( تایم استاندارد روشن موندن تلویزیون 3 ساعت روشن ، نیم ساعت خاموش هست ) ضمن اینکه نباید نور صفحه تلویزیون در بالاترین حد باشد (شکل پیش فرض اینطوره) و از طریق تنظیمات روشنایی و قرار دادن حالت صرفه جویی برق روی حداقل ، کاهش پیدا میکنه.",0,2,5,5,5,5
"طراحي خوب
صداي با کيفيت
پشتيباني از HDR","کيفيت ساخت پنل بسيار بد
مشکل بک لايت نور پشت زمينه
تعويض کانال به کندي","سلام بنده قبل عید LG 49 UHD 65200GLخریداری کردم .از روز اول تا تصویرش مشکل داشتم در صفحات روشن یا تماشاکردن برنامه ها تلوزیون 1/3تصویر خطوط حاله ای رنگ سیاه وجود داشت که ایجاد سایه میکرد .من این تلوزیون با گارانتی گلدیران خریداری نمودم .بعد زنگ زدن به پشتبانی بازدید مشکل تلوزیون تایید شد ولی نماینده خدمات مشهد برای تایید میخواست بپیچونه بگه مشکل اپی دمیکه. بنده برداشتم تلوزیون بردم به نمایندگی که خریداری کردم با فشار اوردن بهشون از طریق فروشگاه این تلوزیون مرجوع کردم پولم پس گرفتم پیشنهادم اینه اگر این تلوزیون میخواین بخرین در موقع نصب به نصاب بگین براتون تست تصویر بگیره .چون از طریق پشتیبانی شون نمیتوان به حقتون برسین.در ضمن محصولات lgبا گرانتی گلدایران یک ماه تعویض دارد . امیدوارم نظرم به درد کسی بخوره.وخریدش پیشنهاد نمیکنم.",3,1,2,3,4,2
"کيفيت فوق‌العاده","نداشتن بلوتوث نوار سفيد رنگ سمت راست تو صفحه که تابلو هست لق بودن پنل LCD از چپ و راست","من اسفند 95 خریدم این مدل رو همه چیزش خوبه ولی از سمت راست تصویر یه نوار پررنگ سفید به چشم میزنه و تصویرش یه دست نیست رنگش مخصوصا تو رنگ های آبی راحت به چشم میخوره سفیدیشبا مدل55 مقایسه کردم مدل55اینچش این ایراد رو نداره و نازکتره از 49اینچاز گوشه های راست و چپ به پنل دست میزنی لقی داره انگار پنلش شله قبلا میخواستم 43Uh750v بخرم که بدون گارانتیه اول خوب بررسی کنید بعد بخرید تلویزیون روو قول گارانتی رو نخورید",6,3,3,3,5,2
"من که هيچ نکته قوتي نديدم.","بي کفيتي پنل ضاخمت خيلي زاد پخش نکردن 4k از روي فلش","من این تلوزیونو 20 روزه خریدم واز روز اول یک سمت تصویر هاله ای زرد رنگ داره که تو تصاویر سفید وروشن کاملا مشخصه واعصاب خورد میکنه .گارانتی هم زنگ زدیم الکی گفتن کارشناس تایید نکرده.کلا گلدیران الکی فقط تبلیغ میکنه .",2,7,0,3,3,2
4k.hdr.,...,"سلام دوستان من سری جدید از این تلویزیون رو خریدم مدل uh850v اگه دیجی اونو بیاره همه میخرن. مشخصاتش اینه و جز سری 8 حساب میشه . سوپر uhd هست با کوانتوم display . و بلندگوهای 40 وات شرکت هارمن کاردن که واقعا دارم میگم خدمت دوستان که فوق العاده اند.همچنین 3D هم داره.من اینو ک دیجی داره از نزدیک ندیدم ولی این که خریدم در حد سری 8 سامسونگه.مقایسه کردم.ر س ی و ر 4k هم داره .همهههههه چیزش عالیه . درضمن از 4k شصت فریم هم پشتیبانی میکنه و قیمتش هم همین حد خریدم .
پیشنهاد من lg super uh850
امکانات
color prime plus
HDR plus
Quantom display
harman kardon sound design 40 w
magic remote
3D technology",8,1,3,3,3,3
هيچي,"تا دلت بخواد","با سلام.این ال ای دی از نظر من اصلن تصویر خوب و قابل قبولی نداره.من تعجب کردم از نظرات این همه که میگن عالیه.من شب عید خریدم و پشیمون شدم شدید.سامسونگ خیلی بهتر داره کار میکنه.لااقل تو تصویر.شما اولین چیز که از تلویزیون انتظار دارید کیفیت پخششه نه امکانات دیگه مثل اسمارت یا بقیه.با سه میلیون ای کاش سونی میخریدم و انتخاب من هم سونی بود ولی چون قسطی خریدم فروشگاه طرف قراردادم سونی نداشت.در کل معایبش ا-از بقل تصویر کاملا تار و مات نشون میده وبه رنگ بنفش میزنه.رنگهاش مصنوعیه .ظاهرش اصلن باریک نیست ومثل ال سی دی پشت داره .بخدای احد واحد من ایکس ویژن داشتم پنجاه ایننچ از این باریکتر بود و بهتر پخش میکرد .فقط بخاطر صداش فروختمش.امیدوارم کمکی کرده باشم.گول تصاویر فروشگاهیشو نخورید.اول سونی بعد سامسونگ و پاناسونیک خیلی بهتر راضیتون میکنه.ممنون از دیجی",2,17,3,3,3,3
"کيفيت فوق العاده صفحه نمايش
امکانات کامل
به روز بودن
صداي واقعا با کيفيت
قدرت پردازش قوي","نداشتن 3D","به نظر من این یک تلویزیون کامل هستش(به استثنا 3D که خیلی هم کاربردی نیست) و واقعا عالی نسبت به قیمت....در ضمن دوستانی که میگن رقبایی مانند سامسونگ قیمت بهتر دارن اصلا هم اینطور نیست... و تلویزیون های سامسونگ تو این رنج قیمت امکاناتشون مثل این کامل نیست.",4,1,5,5,5,5
"رنگ آبي رو به خوبي نشون ميده و واضع هم هست","رنگ زرد در اين تلويزيون به طور شگفت انگيزي مشکل دارد طوري که تم سبز رنگ در رنگ زرد ديده ميشود و شما در هيچ تصويري رنگ زرد واقعي رو نميبينيد . رنگ قرمز خيلي تقويت شده طوري که گرماي بيش از حد در قرمز ديده ميشود . واي فاي وقتي در حالت مخفي هست بعضي وقت ها پيدا نميشه توسط تلويزيون از طرفي مک آدرس دستگاه کلا صفر هست که احتمالا به همين دليل شما از قسمت مک فيلتر مودم نميتونيد استفاده کنيد يا باعث گم کردن وايرلس توسط دستگاه ميشه","سلام . 1 هفته است این مدل رو خریدم ولی نقاط ضعف این تلویزیون منو ناراحت کرده . کاربری راحتی داره ولی اگر دسترسی ها بیشتر بود برای تنظیمات بهتر بود",3,5,2,3,5,4
"شفافيت عالي در تصاوير مخصوصا تصاوير HD خروجي صداي فوق العاده مديا پلير داخلي با رابط کاربري زيبا","کيفيت پايين تصاوير شبکه هاي غير HD که البته با تنظيم چندباره رنگ و نور بهتر ميشود","باسلام
تجربه 20 روزه استفاده از این تلویزیون رو به کسانی که قصد خرید این برند رو دارند در میان میگذارم
اولین چیزی که دراین تلویزیون دیده میشه کیفیت فوق العاده در تصاویر HD هست که متاسفانه در شبکه های غیر اچ دی توی ذوق میزنه ( البته با تنظیم نور و رنگ میشه کیفیت تصاویر غیر اچ دی رو قابل قبول کرد )ولی با پخش تصاویر اچ دی و فول اچ دی قدرت تصویری خودش رو نشون میده
نکته دوم کیفیت عالی خروجی های صدا هست که همراه 2 باند باخروجی صدای اچ دی صدایی با کیفیت و پخش با جزییات به همراه داره و برای کسانی که صدای خیلی بلند دوست ندارند کافی ست و بی نیاز از سینمای خانواده میشن
بعد کنترل خوب و باکیفیت این دستگاه است که کارایی های زیاد و دسترسی راحتی داره درواقع مجموعه ای از کارایی موبایل و کامپیوتررا در اختیار خواهیدداشت
رابط آسان کاربری پلیرها و دسترسی راحت به منوها از دیگر مزایای این تلویزیون است
معایب
سختی اشتراک گذاری فایل ها (من هنوز موفق به اشتراک گذاری نشدم )
کیفیت پایین شبکه های غیر اچ دی",3,0,5,5,5,4
"طراحي زيبا","اطراف اجزا تصوير که حرکت تند دارند يک سايه ايجاد مي شود
ارزش مبلغ پرداختي را ندارد","من این محصول را در اسفند 95 خریدم اما الان بعد از تقریبا یک ماه استفاده کاملا صادقانه اعلام میکنم از نظر من این مدل ارزش خرید ندارد زیرا:
اصلا شفافیت، نور و رنگی که در فروشگاه دارد در خانه ندارد
در تصاویری که یک جزء تصویر حرکت بسیار سریع دارد یک هاله مات اطراف آن جزء ایجاد می شود.
این تلویزیون 4K با مدل های FULL HD هیچ فرقی از لحاظ کیفیت ندارد.
از وقتی ال جی و سامسونگ در ایران مونتاژ می شوند دیگر کیفیت سابق را ندارند، تلویزیون قبلی من سامسونگ ال ای دی بود که 4سال پیش خریده بودم که نسبت به مدل های کنونی سامسونگ، بسیار نازک تر سبک تر و دارای پایه ثابت با قابلیت چرخش صفحه نمایش بود
خلاصه اینکه اگر به عقب باز گردم حتما کالای بانه ای میخرم زیرا اصل کره می باشند و تو مونتاژ از سر و ته کار نمیزنند و دوم حتما سونی میخریدم",1,3,1,2,2,1
