positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
"زيبايي و امکانات عالي","غير طبيعي بودن رنگها و قويتر بودن طيف رنگ آبي","در اینکه تلویزیونی بسیار زیبا و با امکانات عالی هست شکی وجود نداره اما در مقایسه با دیگر تلویزیونها حتی مدلهای دیگر ایکس ویژن ، در این مدل طیف رنگ آبی بیش از حد کاملا مشهوده !! و این موضوع باعث غیر واقعی بودن دیگر رنگها و کلا وجود طیف آبی در همه رنگها که در رنگ زمینه سفید کاملا مشهود تره",0,0,3,3,3,3
"بدنه بسيار مقاوم صداي خوب و کيفيت تصوير عالي",,"بعد از گذشت 2ماه هنوز هیچ نقطه ضعفی ندیدم بسیار باکیفیت و عالی مخصوصا در کانالهای HDکه واقعا با کیفیت پخش میکنه سرعت در وب گردی وباز کردن برنامه های اندروید خیلی خوبه داشم عالیه واقعا محصول با کیفیتیه",4,0,3,4,2,3
,,"5 روزه که به دستم رسیده و همه جوره کیفیت تصویرشو با انواع و اقسام فایلهای تصویری تست کردم،واقعا نامبر وانه،هیچ حرف و حدیثی توش نیست،تو بحث وبگردی هم عالیه و وقتی یه موس بی سیم بهش وصل کردم هیچ فرقی با یه پی سی خونگی نداره برام،کیفت و میزان حجم صداش خوبه و قطعا از یه تی وی نمیشه انتظار یه سینما خونگیو رو داشت ولی در حد یه تی وی هیچ نقصی نداره،از لحاظ زیبایی خود تی وی بایستی بگم وقتی جلوش می ایستی و نگاش میکنی شل میشی از بس که جذابیت داره،در حدی ازش خوشم میاد و هیجان بهم میده که وقتی 4-5 ساعت از خونه میرم بیرون دلم براش تنگ میشه دوست دارم زودتر برگردم خونه.هیچ وقت فک نمیکردم با صرف این مبلغ وسیله ای داشته باشم که تا این اندازه بهم انرژی بده.تنها ناراحتی که دارم بابت تایم طولانی هست که به دستم رسید،چون با پست برام ارسال شد 4 روز طول کشید.",7,0,5,5,4,5
"زيبايي قاب","کيفيت تصوير مات
اندوريد بسيار کند
کارت وايرلس ضعيف","تقریبا بعد از یگماه استفاده این مطالب تو این محصول تجربه کردم:
1- هر کس تو ایام عید تلویزیون دید گفت چرا تصویرش مات هست. اگر فقط روبروی تلویزیون بایستید تصویر خوبه اما اگر کمی زاویه بگیری تصویر مات میشه
2- کارت وایرلس هر یک دقیقه قطع میشه ... از مودم خودم مطمئن هستم امتحان کردم
3- وقتی میخوای وارد برنامه های اندروید بشی هر کلیک نزدیک به 40 تا 60 ثانیه معطلی داره تا به خودش بیاد",0,5,3,4,5,3
"با اين پول بايد سامسونگ و ال جي اينچ پايين بگيريم که 4kنيستن . بهتره در سال توليد ملي و اشتغال ملي اين گزينه خوبي بود.","نقطه ضعف خاصي نداره","این پول باید سامسونگ و ال جی اینچ پایین بگیریم که 4kنیستن . بهتره در سال تولید ملی و اشتغال ملی این گزینه خوبی بود.",3,2,4,4,4,3
"کيفيت بالا
طراحي بسيار زيبا
قيمت مناسب","تاخير در تعويض کانال و روشن شدن","از نظر کیفیت خیلی خوبه و چیزی از برند های خارجی کم نداره خداییش. ظاهرش هم خیلی شیک و زیباست. نکته ی دیگه اینکه موس و کیبورد هم بهش متصل میشه و خیلی راحت میتونید وبگردی کنید باهاش.",3,1,4,4,3,5
,,"سلام من این تلوزیون رو دو ماه هست خریدم.واز همه ای امکاناتی که ارائه می دهند خیلی راضی هستم یعنی به عبارتی فوق‌العاده است
بازی های تندرویی روش راحت نصب میشه
وب گردی عالی
می تونی با اون کلیپ ببینی
و تلوزیون آنلاین نگاه کنی
کیفیت تصویر که عالی است",5,0,3,3,3,3
"من سه روزه خريدم واقعا از لحاظ وضوح تصوير و صدا عالي هستش و خدايش هم خيلي زيباست و دو تا کنترل هم داره","تک رنگ بودن قاب دورش ، که البته نقره ايش خيلي نازه","من سه روزه که از دیجی خریدم و واقعا وضوح تصویر و صدا و طراحی عالی هستش و ما تو خونه سونی هم داریم هیچی ازش کم نداره تازه دیزاینش هم قشنگ تره و خیلی خیلی هم از سامسونگ بهتره",7,1,5,5,5,5
"شفافيت و کيفيت صدا و تصوير, زيبايي منوي آسان , گيرندگي خوب","نداشتن کنترل جادويي, ضعف کنترل در وبگردي و استفاده از نرم افزارهاي اندرويد","حتما پیشنهاد میکنم این اولین وسیله برقی غیر از سامسونگ من هست . با این پول میشد 50 خمیده بگیرم اما چون کیفیت تصویر این بیشتر بود و مشکل انعکاس نور محیط رو که تلویزیون خمیده داره رو این نداره حتما گذینه افزایش دهنده کیفیت تصویر رو که در منو موجود هست رو فعال کنید ,یه مشکل که داره اینه کنترلش جادویی نیست و توی وبگردی ضعیفه کنترلش. هر نرم افزار اندرویدی هم روش کار نمیکنه",4,0,5,3,5,5
"طراحي بسيار زيبا و کيفيت بالاي پنل","نداشتن گزينه جابجايي کانال","تلویزیون خوبیه کیفیتش خوبه 4k رو حتی از الجی بهتر پخش میکنه صداش خوبه نسخه 5.1 اندروید روشه که به راحتی همه برنامه ها روش نصب میشه زیبایی خاصی داره که همه رو جذب خودش میکنه براستی حتی خاموشش هم دیدنیه من 10 روز میشه خریدم و مشکلی ندیدم قبلش سامسونگ داشتم میتونم بگم تصویرش از سامسونگ طبیعی تره فقط کمی نسبت به سامسونگ مکث تعویض کانالش بیشتره که اونم واقعا چیز مهمی نیست به زیبایی و کیفیتش می ارزه دو تا کنترل داره که یکیش کوچیکه و خوش دست به گفته نصابش کنترل کوچیکه قیمت بالایی داره مهم اینه که پول تو جیب کارگرهای ایرانی میره نه چینی ها تشکر از دیجیکالا که این مدل 2017 رو آورد",24,4,3,4,2,3
زيبايي,"جاي پورت ها خيلي بد هست","فقط پورت هاش جای بدی تعبیه شده مثلا فلش میخوای بزنی خیلی آدم اذیت میشه",12,1,3,4,5,3
"طراحي زيبا و چشم نواز
رزولوشن","قابليت ارتقاء کيفيت تصوير
حسگر نور محيطي","اگر قابلیت ارتقاء کیفیت تصویر داشت تلویزیون خیلی خوبی می‌شد.",10,14,4,4,3,4
