positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
,ندارد,"سلام دوستان ما امروز این تلوزیون و گرفتیم باید بگم که از همه لحاظ اندازه طلایی کیفیت عالی واقعا هیچ چیز کم نداره حتی به وای فای وصل میشه و به راحتی میتونید کارایی که روی گوشی میکنید و با این انجام بدید فقط باید بگم که کنترلش یکم کوچیکه اما مثل اینکه جدیدا این یک مزیت در کل عالیییییییییی
کالای خوب و باید گفت
همچنین خدمات مادیران بسیار بسیار خوبه و ما در صورت اتمام گارانتی تمدیدش میکنیم چون در صورت خرابی یک وصیله نو بهتون میدن
وظیفه خودم دونستم که به هم وطنام بگم با سپاس از مادیران",0,0,5,5,3,3
"کيفيت تصوير فوق العاده
راه هاي ارتباطي زياد
اتصال به اينترنت
اتصال به گوشي
صداي خوب","پايه نقره اي
دکمه تعويض کانال و صدا(روي تلوزيون ) جالب نيست","دومین تلوزیونی است که از دیجیکالا برای خوانواده و از نوع ایکس ویژن میگیرم. میتونم بگم از لحاظ کیفیت تصویر از محصول مشابه خارجی هیچ چیز کم نداره . اونایی که میگن کیفیت تصویر خوب نیست یک فیلم فول اچ دی نگاه کنن ببینن کیفیت چه قدر خوبه صدا ش خوبه در کل خیلی خوبه .",5,0,3,3,3,3
,,"من خریدم این تلوزیون رو و نصبت به قیمتش عالیه و الان نزدیک هفت ماهی که استفاده میکنم هیچ گونه مشکلی نداشته ممنون از دیجی کالا",4,0,5,5,5,5
"همه موارد بجز کيفيت تصوير","کيفيت تصوير","سلام، من این تلویزیون رو از دیجی خریدم دیروز به دستم رسید و همون دیروز برای نصب از مادیران اومدن، کیفیت تصویر رو بصورت آنالوگ دریافت میکنم هنوز پورت اچ دی ام آی براش نگرفتم، کیفیت تصویرش یکم تو ذوقم زد پیشنهاد میکنم دوستان حتما قبل از اینکه این تلویزیون رو بخرن برن از نزدیک کیفیت تصویرشو ببینن چون هرکس انتظاراتی داره، به نظر من با ال جی قابل مقایسه نیست، در هر صورت فکر میکنم به نسبت قیمتش قابل قبوله.",5,6,3,3,3,3
"صداي خوب","کيفيت بسيار بد تصوير","سلام من به دو دلیل این مدلو خریدم:
اول ایرانی بودن
دوم امکانات به ظاهر مناسب اما....
کاملا اقناع شدم که این دستگاه اساسا در ایران تولید نمیشه و یا عمده قطعاتش محصول داخل نیست و یه جنس درجه چندم چینه و این بزرگترین توهین به فردیه که به خیال خودش از هموطنش حمایت میکنه. کیفیت پایین تصویر (که مهمترین عیبشه حتی در پخش فیلم های با کیفیت بالا) و رابط کاربری ضعیف و به اصطلاح اسمارت بودنش(آنلاین بودنش) اصلا قابل قبول نیست.در کل بنظرم یا بیشتر صرف خرید یه مدل سامسونگ کنید اما حداقل کیفیت بهتری داشته باشید.متاسفم که خرید یه کالای ایرانی برام اینجوری یه تجربه بد شد آرزو داشتم همه ی قطعات و مونتاجش کار ایران بود که در اونصورت خیلی هم راضی و خوشنود هستم یا اینکه کلا نگن جنس ایرانی بگن یه بنجل درجه سه و چهار چینی....
نظر شما چیه؟ممنون",9,13,0,1,4,1
"داراي خدمات پس از فروش شرکت ماديران","نسبت به هزينه ايي که پرداخت مي کنيد نقاط ضعفي نداره","امکانات زیاد در پخش انواع فرمت ها وهمچنین تنظیمات کاربردی در پخش زیرنویس ها",10,1,5,5,5,5
"داراي کيفيت خارق العاده (ماشالله )روي شبکه هاي مستندhdو تماشا hd و شبکه 3و پرس تيوي عااااليه
اتصال بيسيم به اينارنت با واي فاي همانند موبايل و داراي مرورگر هاي اکسپلورر و فيس بوک يوتيوب و اپارات و مشاهده شبکه هاي انلاين
اشتراک گذاري بيسيم عکس فيلم اهنگ روي تلويزيون (يعني خيلي راحت فيلمو پخش ميکنه بدون گير و تو از توي گوشي فيلم رو پخش ميکتي و تلويزيون نشون ميده .حتي ميتوني صفحه گوشيتو خاموش کني و فيلم رو ببيني.
داراي سيستم dlna و کيفيت عالي با تطابق تصوير 400HZو نمايش عکس هاي با فرمت 4k
تعويض کانال کاملا روان و سريع بدون هيچ گونه کندي.صداي بسيار خوب نسبت به نظرات برخي از کاربران صداش خيلي خوبه يعني توي سر نميره .صداي تلويزيون نميفته تو کلت تا ديونه بشي.صداش طوري هست که انگار طرف کنارت داره حرف ميزنه (واضح)و نسبتا پايين","ندارد برو سريع بگير با دقت .شک نکن","من تلویزیون رو از نمایندگی توی انزلی گرفتم.و همون روز که تلویزیون رو ساعت 1تحویل گرفتم .ساعت 1/10دقیقه ظهر به نمایندگی زنگ زدم بیاد برای نصب و ساعت 2/5دقیقه اومد برای نصب که خیلی خوب بود من گفتم الان یکی دو روز باید حتما صبر کنم تا بیاد نصب کنه.
کیفیت تصویر عالیه خارق العاده هست حتی از تلویزیون های سامسونگ و ال جی شاید بهترم باشه.چون تطابق تصویرش 400هست.
دارای تلتکست و epg wifi dو dlna اشتراک بیسیم. قابلیت نصب موس و کیبرد.قابلیت اشتراک بیسیم فیلم و عکس و اهنگ با برنامه
bubbleupn خیلی راحت هست
من راحت خداروشکر تونستم فیلم و عکس و اهنگ ها رو به صورت بیسیم روی تلویزیون مشاهده کنم.و پخش کنم.
پشتیبانی از اکثر فرمتها.
صدای تلویزیون کاملا خوب هست من راضی بودم.
فقط بشینی ساعت 10شب شبکه مستند و شبکه hdمستند های رخداد های طبیعت رو نگاه کنی با کیفیت خارق العاده..کیف میکنی.
و اخرین جمله هر کی این تلویزیون رو نگیره واقعا عمرش رو هدر داده چون عالیه.من راضی بودم..",15,2,5,5,5,5
,"وضوح تصوير افتضاح","باتوجه به امکانات اصلا کیفیت تصویر ندارد به نمایندگی زنگ زدم میگن این سری همینه",6,7,1,3,3,1
"قيمت مناسب
ماشين زمان
تصور شفاف
مصرف انرژي A+","پايه هاي تلوزيون حس خوبي نميدن
ريموت کنترل خيلي ساده","نسبت به مبلغ ای که شما پرداخت می کنید این محصول فوق العاده هستش ( من شگفت انگیز خرید کردم ) و رنج خوبی از قابلیت ها رو در اختیارتون قرار می دهد و سایر دوستان بهش اشاره کردن.
کار با دستگاه بسیار ساده و تصویر شفاف می باشد.
ریموت کنترل فوق العاده معمولی هستش و شاید تلوزیون های 15 سال پیش ریموت های زیباتری داشته باشن ! پایه ها تلوزیون پلاستیکی هستش و حس خوبی رو به شما نمیدن البته مواردی که به عنوان ضعف مطرح شد کاملا سلیقه ای هستش ! و شاید بقیه دوستان مشکلی باهاش نداشته باشن.
در کل با توجه به هزینه ای که می کنید از خریدتون رضایت خواهید داشت.",11,2,4,4,4,4
"Full HD
ماشين زمان
قابليت اتصال به اينترنت
تعداد مکفي درگاه HDMI
سبک",,"با این قیمت واقعا قیمتش خیلی خوبه دیجیکالا مرسی که شگفت کردی",5,0,4,4,4,5
