positivePoints,negativePoints,commentText,like,dislike,"کيفيت پخش صدا","کيفيت ساخت","ارزش خريد در برابر قيمت","امکانات و قابليت‌ها"
"عالي خيلي عالي از اينکه گوشي ميزاري روش صدا ميده خيلي خوب","فقط بعديش اين که فلش رم با راديو نداره اگه ايناهم داشت باشه من هازرم يکي ديه بگيرن","خیلی خوب ولی بدونید مردم فلش رم رادیو بهش نمی خور وقتی گوشی میزارم رو اسپیکر کار میکنه واقعیه",0,0,4,5,4,4
"صداي خيلي خوب،سايز خوب","اگه با بلوتوث وصل مي شد بهتر بود","هم صدا،هم اندازه،هم کیفیت خیلی خولی دارد پلی حیف که با بلوتوث وصل نمیشه",1,0,3,3,3,3
"فاقد نقطه قوت","واقعا بي کيفيت","کیفیت پایین پخش، بسیار بیشتر از چیزی که فکرش رو میکنید، از خود گوشی موسیقی رو پخش کنید با کیفیت بهتری روبرو میشید تا از این مدل اسپیکر...",1,2,0,0,0,0
,,"اقای ساسانی بهتر است از دوستان اهل تکنولوژی تعجب نکنید! و حتما قبل از درست کردن اسپیکر مورد نظر به نکته خیلی ساده ای توجه کنید که اگر از میکروفون استفاده کنید هر صدایی که در پیرامون اسپیکر تولید شود از اسپیکر پخش می‌شود و خیلی ناخوشایند است دوستانی که این مدل را مجیک خواندند به این نکته تا حدودی توجه کرده اند و سپس متعجب شده اند. پس اگر مهندس هستید یا دوست دارید که بشوید حتما دقیق به محیط پیرامون خود توجه و انالیز کنید. این مدل از تکنولوژی القایی استفاده میکنه Inductive Technology. از این تکنولوژی برای انتقال انرژی بین دو جسم به شکل القا استفاده می‌گردد. برای این کار از سیم پیچ القایی برای تولید یک میدان الکترومغناطیسی استفاده می‌شود. البته این فقط توضیح مختصری بود.آقای ساسانی امیدوارم هنوز اسپیکر تون رو نساخته باشین. در اخر ارزو میکنم ذهنی هوشمند و خلاق را برای تمام کسانی که شایسته اند تا خالق هر انچه که زیبا و تاثیر گذار هست باشیم. ببخشید که زیاد حرف زدم. از دیجی کالا نیز برای ثبت نظرات بنده سپاسگزارم.",1,1,3,3,3,3
,,"اندازه اش کوچیک و طراحی با مزه ایی داره کارکردش خیلی جالب فقط کافیه گوشیتون روی خط سفیدی که روی اسپیکر داره (تو عکس هم مشخص) قرار بگیره کیفیت صداش نسبت به ایعادش واقعااااا فوق الععاده است به جز این اسپیکر من یه پاوربانک هم از این برند خریدم از هر دو محصول راضیم و خریدن محصولات این برند حتما پیشنهاد میکنم",1,2,5,5,5,5
,,"خیلی کوچیک و بامزه است صداش عالیههه گوشیتونو بزارین روش یه خطی داره روی اون قرار بگیره خود به خود وصل میشه جالب اینکه من یه گوشی نوکیا از این قدیمیا دارم اونم گذاشتم روش وصل شد
یه اسپیکر قیمت مناسب با کیفیت",0,2,4,5,5,4
,,"این اسپیکر واقعا عالیه هرگوشی که روش بزاری صدا از بلند گو میاد با کیفیت خیلی بالا من از این یکی خریدم ولی فکر کردم توش میکروفن داره بعد هر صدایی که در اوردم از بلندگو صدا نمیومد",1,3,5,5,5,5
,,"اگر قصد خرید یه اسپیکر خوب کوچولو از یه برند معتبردارید که همه جا همراهتون باشه و حملش اذیتتون نکنه و از شنیدن موسیقی لذت ببرید این اسپیکر حتما میتونه همه ی این نیاز شمارو براورده کنه thermaltake برند حرفه ایی و شناخته شده ایی هستش luxa2 هم زیر مجموعه این برند پس با خیال راحت میتونید خرید کنید .",1,1,5,4,5,5
,,"سبک و کوچک
اتصال بی سیم و با سیم
کیفیت صدای مناسب
برند معتبر و قابل اعتماد
همه ی اینا یعنی که ارزش خرید داره و میشه بهش اعتماد کرد",0,1,5,5,5,5
,,"من خیلی وقت که دنبال همچین چیزی هستم کوچیک و با کیفیت ممنون دیجی جون که این برند تو محصولاتت اضافه کردی خیالمم راحت که از یه برند خوب و حرفه ایی مثل thermalteke خرید میکنم",0,0,5,5,5,5
,,"البته که همچین شاهکاری از برند luxa2 فقط برمیاد یعنی این برند خلاقیت و کیفیت و به اوج رسونده من پاوربانک این برند و خریدم خیلی راضیم مطمئنم این اسپیکر مثل بقیه محصولاتش عالیه اگر قصد خرید یه اسپیکر داشتم حتما یکی از اسپیکرای luxa2 میخریدم",0,1,4,5,5,4
,,"من همیشه برای کوهنوری دنبال یه اسپیکر سبک بودم که هم بتونم با دوستانم موزیک گوش کنیم و هم سبک باشه و حملش آسون باشه بنابراین سه تا ویژگی کوچیک بودن که تو جیب کوله جا بشه سبک بودن که بار اضافی نباشه و صدای با کیفیت که اون محیط برای همه قابل شنیدن باشه برام مهمه با خوندن نقد بررسی دیجی و نظرات دوستان فکر میکنم این محصول کالای مناسبی بای من باشه در حال حاضر دارم بررسیش میکنم",0,0,5,4,4,5
,,"دوستم از دیجیکالا این محصول خریداری کرده
با توجه به ابعاد کوچیکش صدای خوبی داره
واقعا گوشیتونو بزارین روش بدون هیچی وصل میشه و اسمی که براش انتخاب کردن مناسبشه
اگر گوشی یا موزیک پلیرتونو با کابل وصل کنید صدای بهتری داره
در کل به نظرم ارزش خرید داره",1,1,5,5,5,5
,,"چجوری ممکنه بدون هیچی به گوشی وصل شه ظاهرا واقعا جادوییه و اسم مناسبی براش انتخاب شده هر اسپیکری که تا الان خریدم همیشه بار سنگینی بود هرجا میخواستم با خودم ببرم ولی این خیلی خوبه سبک و کم حجم ارز خرید داره",2,2,5,5,5,5
