positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"سخت افزار قوي
کيفيت ساخت بالا","جذب اثر اگشت","من 3 هفته هست که این لپ تاپ رو خریدم
سخت افزار قوی داره که بازی ها و نرم افزار های سنگین رو بدون لگ و روان اجرا میکنه
در مور باتری که دوستان گفتن ضعیف هست باید عرض کنم که سی پی یو این لپتاپ HQ هست و مصرفش از پردازنده های سری U بیشتر هست و قدرت بیشتری هم دارد.
در صورتی که در حالت پاور سیوینگ قرار بدید و نور صفحه نصف باشه 4:30 شارژ دهی داره.",0,0,4,5,4,5,5,5
"کيفيت ساخت بالا","ماندن اثر انگشت روي لپ تاپ...خالي کردن سريع شارژ","من تقریبا دو هفتس این لپ تاپ رو خریدم....کار زیادی ازش نمیکشم در حد پاور پوینت و اینترنت....ولی شارژش که کامل پر میشه مینویسه 3.30 مونده تا شارژش تموم شه...من به خاطر ساعت بالای نگهداری شارژ یکی از گزینه هام این لپ تاپ بود که متاسفانه ایجوریه
حتی وقتی شارژش فوله و لپ تاپ خاموشه صبح پا میشم میبینم 85 درصد شارژ داره...یعنی وقتی خاموشه هم شارژ میخوره...این هنوز کار نکرده اینجوریه...نگرانم اگه یکم کار بکشم ازش چی میشه!!
خیلی اذیتم میکنه باتریش",0,1,3,3,3,3,3,3
,,"اگر صفحه نمایش FullHD بود تا الان 50 بار خریده بودمش.
متاسفانه با این کارت گرافیک و در حال حاضر با ناسازگاری نرم افزار های مختلف با رزولوشن 4K بودن این صفحه نمایش عالی خودش نوعی ضعف حساب میشه. کانفیگ های دیگرش هم تاچ میشن که ال سی دی براق و کم کیفیت میشه. رغیبش y700 لنوو هستش که اونم ایرادات خودشو داره و طراحی 2015 هست.
بلاخره در این رنج قیمت چنیین قدرت انتخاب کم و ایرادات اینچنینی قابل چشم پوشی نیست.
به امید بالا رفتن تنوع و موجود شدن مدل های دیگر از این قبیل.",0,2,3,4,5,5,4,3
"صفحه 4k
پورت هاي متنوع
هارد هيبريد
خيلي خوشگل
بک لايت","اگه پورت ساب وفر داشت ميشد ي لپ تاپ کامل","من این لپ تاپو از نمایندگی خریدم
ولی با ارزیابی های دیجی کالا این لپ تاپو انتخاب کردم
واقعا فوق العادس
همه چیش کامله
سیپیوش قوی
رمش قوی
الان دارم با n552 اینجا نظر میدم
من میگم بخرید
ولی اگه خریدید سه ساعت بذارید شارژ تا قدرت باطریشو ببینید",1,0,5,5,5,4,3,4
,"خالي شدن سريع باطري","من این لپ تاپ رو کمتر از یک ماه هست که خریداری کردم و باید بگم که فک نکنم از خریدش پشیمون بشید.چون بازی های جدید و نرم افزارهای قوی رو با کیفیت قابل قبولی میتونه اجرا کننده و صفحه نمایش 4k تجربه ی خوبی رو بهتون میده.
فقط و فقط تنها مشکلی که داره خالی کردن سریع باتریش هست که یکم اذیت میکنه.",1,0,4,4,5,5,4,4
"همه چي","ساب وفر جداگانه نداره","این لپتاپ برای کاربریه مالتی مدیا طراحی شده و اشخاصی که میگن 2ساعت بیشتر شارژ نگه نمیداره الکی میکن اولا تا 3 ساعته اگه کارای سبک بکنی 2 ساعتم احتمالا بازی میکنن که طبیعتا 2 ساعتم شاید زیاد باشه و معمولا اگه کسی لپتاپ میگیره و بیرون میخواد ببره شارژشم همراه خودش میبره و تو شارژ کار میکنه من خودم الان 9 ماهه این لپتاپو دارم و تو این 9 ماه خیلی بازی کردم تو شارژ هیچ کم نیاورد ولی خوب نمیشه رو این سری کارت گرافیک 4kبازی کرد ولی gta v رو با انویدیا اکسپیرینس که optimize کردم خیلی خیلی خیلی جالب شده بود nvidia experince داخل سی دیِ راه اندازه لپتاپ هست و البته جدیدا فیلتر شده و با اون چیزه میشه استفاده کرد و بازی ها رو رو بهترین حالت ممکنه که روان باشه و لگ نداشته باشه تنظیم میکنه و میتونید بازی کنید اگه سیستم گیم میخواید برید برا 7 8 میلیون ولی این لپتاپِ مالتی مدیا برا کارای معمولی کمه کم تا 4 5 سال ساپورتتون میکنه مثه پنتیوم های قدیم با gforce 220",3,2,5,4,5,4,5,5
"کيفيت بدنه
صفحه کيبورد جزيره اي و خوش دست
بلند گو ها از کيفيت و بلندي مناسبي برخوردارن
صفحه تاچ","بجا موندن اثر انگشت اگه وسواسي هستيد
ظرفيت کم باتري يا مصرف بالاي باتري","در مدت سه هفته ای که خریداری کردم فراتر از چیزی بود که فکر میکردم
استفاده من بیشتر در حوزه ی برنامه نویسی و نرم افزار هایی مثل 3dmax و photoshop هستش و به راحتی پاسخگوی نیازم بوده تنها مشکلی که داره و غیر قابل چشم پوشی هستش مصرف بالای باتری هستش که بشخصه معمولا دو بار در روز مجبورم بذارم شارژ شه",3,0,4,2,4,5,4,5
"سخت افزار قوي","جذب اثر انگشت","خوبه ارزش خرید داره",2,1,5,5,3,5,5,3
"همه چي",,"وقتی نظراتی که قبل من داده شده بود رو خوندم برخی دوستان به نکات عجیب و غریبی به عنوان نقاط ضعف اشاره کرده بودند که موجب دو گانگی در برخی افراد در مورد این لپ تاپ میشه. از نظر منکه حدود دو هفته است ای لپ تاپو دارم، این مشکل و نقطه ضعفی نداره. خداییش همه چی تمومه. در نظرات خیلی به معضل ماندگاری اثر انگشت و ضعف باتری اشاره شده بود، که از زمانی که من این لپ تاپو استفاده میکنم این مشکلاتو حس نکردم، ینی در واقع اصلا نه اثر انگشتی به اون صورت میمونه، نه باتری انرژی رو کم نگه میداره. خلاصه اینو بگم که این لپ تاپ همه چی تمومه و شکل ظاهری شیک و خاصی داره و احساس خوبی رو به آدم منتقل میکنه. و پیشنهاد میکنم کسانی که قصد خرید این لپ تاپو دارند لحظه تو انتخابشون شک نکنن. موفق باشید.",9,0,5,5,5,5,5,5
"تقريبا همه چيز","متن رو بخونيد","سلام خدمت همه شما از اونجایی که بیشتر جا ها پر شده از نظرات عجیب و غریب و پر از تعصب لازم دیدم که از دوستان بخوام لطفا از دادن نظرات به درد نخور یا تعصبی پرهیز کنن ما اینجا نیومدیم که سر مارک با هم دعوا کنیم اومدیم تا کمک کنیم هم وطنمون با استفاد از نظرات ما بهترین انتخاب را بکنه حالا بریم سراغ لپ تاپ من این لپ تاپ رو حدود سه هفته هست خریدم از همه نظر لپ تاپ عالی ای هست اما کاش میشد با همین رنگ رم های بالا تری هم عرضه میشد دستگاه از نظر زیبایی عالیه صفحه کلید دستگاه داری نور پس زمینه با سه حالت مختلف هست لوگو ایسوس پشت مانیتور وقی که دستگاه روشن هستش به رنگ قرمز روشن میشه من خودم بین رنگ نقره ای با رم 12 و رنگ مشکی با رم 8 مونده بودم که رنگ مشکی رو ترجیح دادم و اون موقع بود که با خودم گفتم کاش رمش بالاتر بود حداقل میتونست رم های 12 و 16 هم رو این دستگاه بیاد اما نگران نباشید ایسوس محل جداگانه گزاشته تا بعدا اگه خواستید بتونید دستگاه رو بدون اینکه کامل باز کنید ارتقا بدید کارکرد لپ تاپ عالیه و هیچ جا کم نمیاره از لحاظ گیم زیاد تست نکردم چون اهل گیم بازی کردن نیستم اما چندتا گیمی که بازی کردم خوب جواب داده رو دستگاه را جب گرافیک هم باید بگم توی گرافیک هیچ مشکلی نداشتد دوستانی که میگن گرافیکش بالاتر باشه خب قیمتش هم میره بالا اینم در نظر بگیرید ما این لپ تاپ رو قراره با امکاناتی که داره مقایسه کنیم نه با یه لپ تاپ شیش ملیونی تنها ایراد وجود مانیتور 4k هستش که اصلا به درد نمیخوره و مصرف باتری رو زیاد میکنه و اینکه خود ویندوز ده و برنامه ها برای این رزولوشن اصلا طراحی نشدن که باعث کند شدن و برخی باگ ها میشه که با دقت زیاد میشه تشخیص داد در حالت معمولی شاید اصلا متوجه این باگ ها نشید باگ هم میگم زیاد نگران نشید منظورم چیزای ریز و تقریبا بی اهمی منخودم به شخصه حاظر بودم مانیتورش فول اچ دی باشه راجب جذب اثر انگشت هم یه راح حل ساده پیدا کردم اینکه کل دستتون رو بکشید جاهایی که اثر دستتون رو جذب میکنه همشون یکنواخت اثر دستتون رو جذب کردن و تو استفاده های بعدی اصلا اثری جذب نمیکنه خیلی راحت اینکه میگن بدنه موقع شارژ کردن برق داره هم دلیلش اینه که چون لپ تاپ تو فرکانس بالا کار میکنه باعث میشه یه اختلاف ولتاژ توی قسمت های فلزی به وجود بیاد که توی همه لپ تاپ های فلزی شرایط همینه و اصلا جای نگرانی نیست یه نکته دیگه اینکه تاچ پد دستگاه یکم اصتحکاکش زیاده نسبت به مدل های نقره ای این ورژن یعنی توی مدل های نقره ای انشگت راحت سر میخوره اما توی این مدل یکم سخت کار میکنه البته نه اونجوری که به مشکل بخورید و کمی هم صدا داره میتونید قبل خریدن اگه نمونه گزاشته بودن اول تاچش رو با سایر مدل ها تست کنید باطری دستگاه در حد 3 ساعت دوام میاره که به نظرم کمه ولی خب کجا دیدین یکی لپ تاپ رو بدون شارژر استفاده بکنه ایسوس باطری دستگاه رو یک سال گارانتی میکنه اصلا هم نگران جدا نشدنی بودن باطری نباشید اینا نقاط ضعفی بود که من تو استفاده از این لپ تاپ دیدم مطمئنا نقاط قوتی هم داره که بقیه به اون پرداختن و اکثر ما ها اطلاع داریم این نقاط ضعفه که باید معلوم بشه واسه انتخاب بهتر امیدوارم که کمکتون کرده باشم",17,0,4,4,4,5,5,5
