positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"طراحي و کيفيت ساخت بالا
صفحه نمايش 4k با زواياي ديد عالي
گرافيک قدرتمند GTX960M GDDR5،قابليت اضافه کردن رم و حافظه SSD از نوع M.2 وجود دارد
سخت افزار قدرتمند مناسب براي اجراي انواع بازي و نرم افزارهاي مهندسي
پورت ها و اتصالات کامل","راستش چيزي که بخوام تحت عنوان نقطه ضعف اشاره کنم","باسلام،باتری؛این لپتاپ از یه باتری 4 سلولی بهره میبره که در استفاده روزمره مثل وبگردی گوش دادن موسیقی تماشای فیلم و استفاده از نرم افزارای کاربردی مثل ورد و سایر نرم افزارها خیلی خوب جواب میده و راضی نگهتون میداره طبیعتا هرچه بارگذاری بیشتری روش باشه مصرف انرژی هم افزایش پیدا میکنه و بخصوص در هنگام بازی کردن بهتره مستقیم به برق وصل باشه/صفحه نمایش؛تو برخی نظرات مشکلی رو دوستان عنوان کرده بودن مبنی بر اینکه برخی برنامه ها با این صفحه نمایش سازگاری ندارن و به اصطلاح آیکون هاشون کوچیک نمایش داده میشه برای پیگیری به یک مهندس سخت افزار مراجعه کردم و مشکل رو عنوان کردم،گفت کوچک بودن آیکون بخاطر گرافیک بالای سیستمه و صفحه نمایش تنها چیزیه که میبینین و تراکم پیکسلی بالایی بهتون میده پس اگه نرم افزاری سازگاری نداشته باشه مشکل از نرم افزاره نه صفحه نمایش،درضمن الان اکثر نرم افزارا بروز رسانی شدن و از این بابت مشکلی نخواهین داشت/سخت افزار؛همه دوستان بخوبی از قدرت سخت افزاری این لپتاپ آگاهی دارن و یکی از قدرتمندترین لپتاپای موجوده در نوع خودش،تا الان هرنوع بازی روش نصب کردم با بالاترین سطح اجرا کرده درباره عملکرد فنش باید عرض کنم درهنگام کارهای روزمره بسیار کم صداس و دریچه فن کاملا خنکه و در بارگذاری سنگین مثل اجرای بازی های سنگین خروجی هوای گرم رو شاهد هستیم که کاملا طبیعیه برای لپتاپی با این سخت افزار اما نکته قابل توجه اینه ک حتی هنگامی که خروجی هوای گرم رو داریم بجز دریچه خروجی فن در سایر قسمت ها بدنه کاملا خنکه و بازهم فن کم صداس و این به لطف سیستم خنک کننده بهینه ایسوسه/کیبورد و تاچ پد؛کیبورد این دستگاه از کیفیت بسیار بالایی برخورداره بطوری که همیشه از تایپ کردن باهاش لذت خواهید برد،بک لایتم در سه سطح قابل تنظیمه و در تاریکی مطلق شاهد منظره بسیار زیبایی خواهید بود که شمارو به تایپ کردن تشویق خواهد کرد!!تاچ پدم عالیه و حرفه ای طراحی شده و کوچکترین لمسیو سریعا منتقل میکنه و کاملا رضایت بخشه/صدای خروجی؛سیستم صوتی این لپتاپ توسط یکی از معتبرترین کمپانی ها ساخته شده و صدای فوق العاده ای رو بهتون میده بطوری که اگه اولین بار به صدای موسیقی گوش بدین فک میکنین 3بعدیه!صدای خروجی این لپتاب از بلندی و کیفیت بالایی برخوردار بوده و نیاز های کاربر رو ارضا خواهد کرد/جمع بندی؛مطابق توضیحات افرادی که این لپتاپو انتخاب میکنن یک سیستم قدرتمند با صفحه نمایش و صدای خروجی باکیفیت وسخت افزاری همه فن حریف همراه فن با خنک کنندگی بهینه و باتری با شارژ دهی قابل قبول رو خواهند داشت همچنین همراه این دستگاه یک موس بیسیم اوریجینال ایسوس همراه با کیف کوله ارایه میشه،ببخشین طولانی شد سعی کردم همه مواردو بیان کنم تا در انتخاب مردد نباشین..امیدوارم براتون مفید بوده باشه ممنون از نگاهتون",10,1,5,5,5,5,5,5
"فوق العاده عالي",هيچي,"هرچی دقت تصویر بره بالا ایکن ها هم کوچیک میشه ربطی به صفحه ننایش 4k نداره",3,1,5,5,5,5,3,3
,"فقط صفحه نمايش بد","متاسفانه برخلاف تصور که نمایشگر 4k کیفیت بالایی دارد, اکثر نرم افزارها اندازه ایکون هاشون به قدری کوچک میشود که اصلا خوانا نیستن؛!
هرچند تو نت یه سری راه حل فته شده ولی همش بی فایدس!
ایکاش نمایشگر مات فول ا دی داشت؛!
والا بقیه امکاناتش بهتر از مارک های مشابه هست.",4,19,4,2,2,0,3,5
,,"بر خلاف اون چیزی که توی بررسی ئیجی کالا نوشته کیبوردش انچنان هم نرم نیست و هنگاه تایپ صدا ی کیبورد به وضوح مشخصه و اصلا مناسب اماکنی چون کتابخانه و ... نیست.",2,8,4,5,4,4,4,4
رم,,"دوستان اگه خواستین این لپ تاپو بگیر رم دوازده گیگ رو بردارین چون حافظه اش رو ssd هست و بهتره برای فیلم نگاه کردن و کارو بازی و غیره",2,16,3,5,5,5,4,5
,,"سلام
در جواب دوستمون مدل vx گرافیک 960m gddr3 داره و ضعیفتر از مدل میباشد به مراتب .....",16,0,3,3,3,5,3,4
,,"دوستان اگه میخواهید این لپ تاپ رو بخرید سعی کنید لپ تاپ N552vx-Aرو خریداری کنید چون تمامی این امکانات رادارد ینی دقیقا همانند هم هستن اما با این تفاوت که این لپ تاپ 8G حافظه ssd دارد ولی اون لپ تاپ 128G حافظه ssd دارد شارژ دهی این لپ تاپ 4ساعت ولی اون لپ تاپ 6 ساعت میباشد",6,21,5,2,5,4,5,3
"همه چي","وزن يکم زياده","من دو روزه از بیرون خریدم نسبت ب قیمتش عالیه و برای کارای مهندسی و گرافیک عالیه",16,2,5,5,5,5,5,3
"همه چيز","در طول 3ماه برخورد نکردم.","عالی.به تمام معنا فوق العاده .حتما پیشنهاد میکنم.من خیلی خیلی تحقیق کردم و واقعا از داشتن این لب تاپ فوق العاده راضیم.نسبت سخت افزار به قیمت خیلی خوبه.و کیفیت خوبی هم داره.",17,3,5,5,5,5,5,5
"سخت افزار قوي
صفحه نمايش با کيفيت
سيستم روان و سريع
کيفيت ساخت بالا بالاخص بدنه","بلندي و کيفيت صداي بلندگوها به ميزاني که با اين برند تبليغ ميشه نيست","من این سیستم را تیرماه سال گذشته از نمایندگی ایسوس خریدم و تا الان که بسیار روان و سریع و بدون نقص و لگ کار کرده و کیفیت باطری نیز افت نکرده است .",9,6,4,5,4,4,5,5
