positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"همه چيش اوکيه","نداره فقط تاچ پد لق لق ميکنه موقع لمس","این لپتاپ فوق‌العاده است
قیمتش بالاست اما واقعا کار کردن باهاش لذت بخشه
هیچ هنگی لگی نداره
بسیار توصیه میکنم
قرار نیست هیچ لپتاپی بی عیب باشه همه عیب دارن
در خرید این محصول شک نکنید خیلی کار راه اندازه
برای گیمر ها توصیه شدید میشه
برای اونایی که کارای گرافیکی سنگین انجام میدن بسیار توصیه میشه
هدفون توی کارتنش فوق‌العاده است
موسش بسیار خوشدست و زیباست
بک لایت کیبورد قرمزه دکمه fn داره ک نور صفحه نمایش و بک لایت زیاد و کم میشه
امید وارم بخریدش عالیه این
یا علی",2,0,5,5,5,5,5,5
,,"یه هفته هست که خریدم از همه نظر خوبه خیلی ازش کار کشیدم کم نیاورد فقط یه مشکل داره فقط با ویندوز 10 سازگاره رو بقیش اذیت میکنه درایوراش ولی در کل خیلی خوبه",3,0,3,4,5,4,3,5
,"مانيتور 4K","با سلام... نمیدونم چرا دیجیکالا یا فروشگاه های بزرگ لپتاپ نسل 7 MSI رو موجود نمیکنن!
ولی تنها چیزی که میدونم اینه که با قیمت کمتر لپتاپ نسل 7 MSI با مدل PE60 7RD به مراتب بهتر از این لپتاپ و حتی GL553 هستش.
اولا پردازنده ی 7700
دوما گرافیک 1050 به هراه 4 گیگا بایت حافظه
سوما اس اس دی NVMe با سرعت خواندن 2200 مگابایت بر ثانیه
چهارما هارد دیسک 7200 دور در دیقه
مجموع این ها حدود 50 تا 80 درصد این لپتاپ رو از نسل قدیمی ایسوس ها و ام اس آی ها قوی تر میکنه. توی تست ها حتی از لحاظ گیمینگ هم از GL553 ایسوس که هم رده ی خودشه بازم بهتر عمل کرده!
من استفاده کننده ی این لپتاپم و از جایی نشنیدم. طرفدار برند هم نیستم. چیزی که دیدم رو گفتم. از دیجیکالا هم میخایم که زودتر مدل های نسل 7 ام اس آی رو برای فروش آماده کنن که خب قطعا خیلی فروشش بالا خواهد بود.",6,2,3,1,2,4,2,2
-,-,"دوستانی که مشکل 4k رو دارن برن داخل تنظیمات یعنی قسمت Control Panel اونجا یه قسمتی داره به اسم Intel HD Graphics و در اون قسمت داخل General Settings قسمت Resolution رو به 1920*1080 تغییر بدین، ویندوزتون رو Restart کنین و مشکل حل میشه. خودمم این مشکل رو داشتم و یه سری برنامه هارو ریز نشون میداد.",2,1,5,5,5,5,5,5
,,"با سلام. دو روزه این لپتاپو از دیجیکالا خریداری کردم. میخواستم تجربه خودمو باهاتون تو همین مدت کم به اشتراک بزارم. اولین نکته منفی تاچ پده که یکم لق میزنه. این موضوع وقتیه که شما میخواید یه چیزیو انتخاب کنید. دومین نکته (که البته منفی نیست)اینه که استراحتگاه دست خیلی بیش از چربی دستو ب خودش میگیره. سومین نکنه که مثبته اینه که کیبورد با نور پیش زمینه خوبی داره. جالب ابنجاست که حروف فارسی هم روشن میشن و به صورت برچسب نیستن. کیبورد واقعا روونه. بلندگو هاش اونی ک من انتظار داشتم نبود ولی خوب رو به عالی هستن. تمام بازی هارو دارم با کیفیت 4k بدون هیچگونه لگی اجرا میکنم. حتی بازی های بروز رو. ولی یه نکته دیگه اینه که این سیستم فقط با ویندوز 10 سازگاره. واقعا نسبت به پولی که میدید می ارزه! حتما پیشنهاد میکنم. در مورد باتریم باید بگم که برا وبگردی تا 4-5 ساعت پاسخگو هستش ولی برا بازی حدود1/5ساعت. اگر هم در حالت max و بدون هیچ گونه power saving هم 1 ساعته. در کل باید بگم عالیه!",2,3,4,4,4,5,4,4
"سخت افزار","به نظرم هيچ","سلام خدمت همه
من این لپتاپ رو چند وقته دارم و می خوام تجربیات رو در اختیار دیگر دوستان بزارم
1.ویندوز اگر رویssd نصب بشه بین سه تا پنج ثانیه بالا میاد
2.صفحه نمایش 4k عالیه اما فعلا چندان به کار نمیاد چون نوشته ها خیلی ریز میشن و از تو تنظیمات هم هر چقدر تلاش کردم درست نشد و در نتیجه گذاشتم فول اچ دی
3.سعی کنید آخرین اودیت نرم افزار هاتون رو بگیرید که صفحه 4k رو ساپرت کنه 4. صفحه نمایش مات عالیه وخیلی کار رو راحت کرده و اگر از من بپرسید میگم سمت صفحه براق نروید ولی هر جور خودتون صلاح میدونید
5.لوازم داخل پک لپتاپ عالیه مخصوصا هدست و موس گیمینگ هر چند سیمی هست و کیفشم به نظرم خوبه
ممنون از توجه تون",14,1,4,4,4,5,5,5
"سخت افزار قوي","باطري ضعيف","من این لپ تاپ رو دارم ولی قبل از خرید انتظار داشتم با این پولی که هزینه میکنم هیچ چیزی کم نداشته باشه ولی 2 مورد خیلی ناراحت کننده است، حداکثر زمان باطری 1 ساعته و مورد دیگه تاچ پدشه که لق میزنه",1,15,3,3,3,3,3,3
"زيبا
مقاوم و محکم
سرعت و قدرت عالي قطعات
لوازم جانبي کاملا با کيفيت و جذاب","صفحه داخلي به خصوص استراحتگاه چربي به خودش ميگيره
موس همراه دستگاه با توجه به قيمتش کاملا معمولي و مخصوص گيمر حرفه اي نيست","باسلام خدمت عزیزان و مسولین دیجیکالا.... دقیقا یک ماه پیش این لپتاپ تهیه کردم از نظر زیبایی ، قدرت و امکانات واقعا لپتاپ خوبیه وقتی لپتاب در دست میگیرین قشنگ متوجه مقاوم بودنش میشین .... درون پک یک کوله ایسوس با کیفیت عالی یک هدست عالی زیبا و با صدایی رسا وجود دارد و یک موس که در رده موس های گیمینگه ولی متاسفانه دو کیلد بیشتر ندارد و برای حرفه ای ها مناسب نیست ...از این صحبت ها ک بگذریم بحث مهم قطعات داخلی دستگاه که واقعا با این قیمت عالیه ... شاید با جمع کردن یک پیسی بتوانیم با گرافیک بالاتر ببندیم ولی اگه از صفر بخواهیم یک کیس جمع کنیم باید هم قطعات اصلی بخریم هم فرعی ک از قبیل موس کیبرد مانیتور و غیر..... هست ک باعت میشه مبلغ بیشتر از این باشه....باتری محصول با این قدرت قطعات طبیعتا کم میاره ولی من درحالت باتری با کم کردن قدرت پردازش تا چهار ساعت وب گردی کردم که راضی کنندس... از نظر کیفیت صفحه واقعا فورکی عالیه با نصب برنامه های بروز شده هیچ برنامه ای با فورکی مشکل ندارن حتی دانلودمسنجر.... از نظر صدا واقعا صدایی رسا داره که کاملا یک اقات دوازده متری پر میکنه که اصلا به اسپیکر جدا نیاز پیدا نمیکنین.... با وجود هارد اس اس دی ویندوز و تمام برنامه هاییکه در این هارد ریخته میشن با سرعت بالا لوید و اجرا میشن هارد یک ترا هم سرعت قابل توجهی داره و من کاملا راضیم....رم و سی پی یو دستگاه هم که بحثی باش نیست چون واقعا عالی و بروز هستن..... گرافیک هم شاید جزع گرافیک هاییکه در دو سال اینده قدیمی و بروز نباشه ولی مطمعا باشین با کم کردن رزولوشن در حد اچ دی راحت تا پنج سال جوابگوی نیاز ماست....همکنون چهارتا از سنگین ترین بازی های بروز باش تست کردم و همه در حالت فول اچ دی و تنظیمات یولترا اجرا شدن بدون لگ و کندی ..... کلام اخر بگم و از خدمت شما برم ....شاید بعضیا مدلهایی معرفی میکنن ک گرافیک بالاتر دارن ولی همون مدل از کمبودهایی از قبیل هارد اس اس دی ، سیدی رام ،وغیر..... رنج میبرن . ما باید لپتاپی بخریم ک تمام امکانات یه محصول کامل داشته باشیم نه اینکه بعد از مدتی متوجه کمبود بشیم و مجبور به تعویض لپتاپ به دلیل نداشتن هارد اس اس دی بشیم....فقط یک نکته مهم بعد از خرید محصول بایوس لپتاپ اپدیت کنین چون بعد اپدیت کردن ویندوز ده تو شارژ شدن دستگاه تداخل میندازه که من با اپدیت بایوس مشکلم حل شد .... سرتون درد اوردم موفق باشید.",10,5,4,4,4,5,5,4
"زيبا (البته نظرات متفاوت هستن)
نسبتا قوي
صفحه نمايش باکيفيت
ابعاد و وزن نسبتا مناسب
لوازم جانبي باکيفيت","گرافيک (قوي ولي براي بازي هاي جديد روي رزولوشن و کيفيت بالا ضعيف)
لق زد تاچ پد
قاب فلزي پشت صفحه نمايش با فشار دادن به داخل ميره","بعد از حدود 10 روز استفاد های متفاوت از این لپ تاپ و دیدن نقد‌های متفاوت و بعضا اشتباه تو بخش نظرات تصمیم گرفتم تجربه خودم رو به اشتراک بذارم...
از نقاط قوت شروع کنیم:
زیباست، مخصوصا تو شب وقتی محیط تاریکه و نور پشت کیبورد و همچنین لوگوی ROG رو قاب فلزی صفحه نمایش به رنگ قرمز روشن میشن... تو روز هم با دیدن خطوط اطراف بلندگوها از سادگی و یکنواختی لپ تاپ کم میشه(البته نظرات راجب ظاهر کاملا شخصی و متفاوت ان و هرکس با سلیقه خودش باید نظر بده). جنس قاب کیبورد هم فلزیه ولی قاب کل لپ تاپ(پایین بدنه و قسمت پورت ها پلاستیکیه، قسمت های فلزی زیاد اثر انگشت نمیگیرن ولی عرق و چربی دست روشون میمونه(نه فقط این لپ تاپ، روی هر لپ تاپی میمونه)
سخت افزار قوی ای داره... CPU خیلی خوب کار میکنه و کم مصرفه، گرافیک هم قویه، هارد و SSD هم سرعت خیلی خوبی دارن... از طرف دیگه هم سیستم خنک کننده لپ تاپ خیلی خوب کار میکنه. دوستان گفتن خیلی داغ میکنه، تجربه من چیز دیگه ای میگه... من چندین بازی رو با بالاترین کیفیت ممکن (البته با فریم ریت مناسب و نه خیلی کم) اجرا کردم، با وجود اینکه از پد خنک کننده استفاده نکردم اصلا گرمای دستگاه آزارم نمیداد، درسته که دستگاه تو منطقه فن خروجی گرم میشه ولی اولا گرماش به مناطقی که دست روشه (مثلا کلید های Q و A و Z) خیلی کم میرسه، و بیشتر گرما تو قسمت فلزی سمت چپ کلید های TAB و Caps Lock ه، اونم اگه دستتون رو کامل روی اون قسمت بخوابونین گرما رو حس میکنین، به طور کلی سیستم خنک کننده بر خلاف عموم نظر ها خوب کار میکنه (عموم کسایی که این مشکل رو خیلی هم با تاکید میگن اینطور که معلومه اصلا این لپ تاپ رو ندارن و میخوان بگن ""ما هم هستیم"")
صفحه نمایشش خیلی خوبه، از نظر دقت رنگ نظری نمیدم، چون دوستان گرافیست و طراح اینجا صاحب نظرتر هستن و من تجربه زیادی ندارم، ولی زاویه دید افقی و عمودی هردو عالی ان و روشنایی هم خوبه. رزولوشن 4K هم داره که هم خوبه و هم بد، از طرفی میتونین از والپیپر ها و فیلم های رزولوشن بالا لذت ببرین و وقتی ویندوز بالا میاد، اولین چیزی که با دیدن صفحه لاگین و والپیپرش به ذهنتون میرسه همین کیفیت بالاس، از طرفی چون dpi بالا میره بعضی نرم افزار ها دکمه هاشون خیلی خیلی کوچیک میشه و متن شون به هم میریزه، البته این مشکل ها راه حل داره، اولا از نسخه های جدید نرم افزار ها استفاده کنین(بعضی ها با 4K هماهنگ شدن)، دوما میتونین با راه حل ساخت فایل manifest مشکل نرم افزار هایی که همخوانی ندارن رو درست کنین(یه سرچ تو گوگل بزنین )، سوما توتنظیمات ویندوز میتونین سایز اجزای نرم افزار ها رو بزرگ کنین(این روی همه نرم افزار ها جواب نمیده و از طرفی نه تنها نرم افزار ها، بلمه کل ویندوز رو هم زمخت و بزرگ میکنه)
ابعاد دستگاه مناسبه، قسمت اضافی زیادی دور صفحه نمایش و کیبورد وجود نداره و اینی که هست هم برای استحکام دستگاهه.
همراه دستگاه(تو یه قوطی بزرگ) یه هدفون و موس گیمینگ میاد... هدفون خیلی خوبه، صدای خوبی داره(نسبت به هدفون های دیگه ای که دارم که هدفون های خوبی هم هستن) و موس هم درسته dpi خیلی خیلی بالایی نداره ولی خیلی خوبه، کلیک هاش خوبن و یه لامپ چشمک زن با لوگوی ROG هم داره. همچنین میتونین قسمت سخت افزاری کلیک هاش رو به راحتی تعویض کنین تا اگه موستون بعد یه مدت یکی از کلیک هاش خراب شد یا حساسیتشو از دست داد درستش کنین(البته نمیدونم قطعاتش تو ایران هست یا نه)
نقاط قوت دیگه ای هم داره که البته زیاد بزرگ نبودن برای همین ننوشتم، مثلا پورت های اتصالی کیپ و محکم(البته بعضیا اینو عیب میدونن ولی من با پورت های شل هم سر و کله زدم و اینو ترجیح میدم)، وجود USB-C که فعلا استفاده نداره ولی در آینده برای گوشی ها و هارد اکسترنال های آینده به درد خواهد خورد، و...
حالا از نقاط ضعفش بگیم:
شاید بزرگ ترین مشکلش کارت گرافیک نسل قدیمی باشه، روی لپ تاپ های G551 هم همین کارت گرافیک نصب بود، و اصولا وقتی ادامه یه سری میاد، انتظار یه چیزی بیشتر از تغییرات ظاهری و تغییرات تو جاهایی مثل پورت ها داریم. البته کارت گرافیک GTX960M نسبتا قوی ه، ولی مشکل وقتی تشدید میشه که دقت میکنین و میبینین صفحه نمایش 4K ه. این کارت برای FHD هم حتی با بازی های جدید رو تنظیمات خیلی بالا فریم ریت بالاتر از 40 نمیده(تو بهترین حالت 40، میانگین حدودا 20)، البته بازی های قدیمی خیلی راحت تر اجرا میشن، ولی خب بخاطر کیفیت پایین تر تو جزئیات گرافیک خود بازیه... البته جای ذکر داره گرافیک های سری جدید، مثلا 1060 یا 1070 که رو لپ تاپ های جدید سری STRIX گیمینگ ایسوس استفاده شدن، خیلی گرون ان چون تازه اومدن و فعلا ارزش پولش رو ندارن... برای بعضی بازی ها فریم ریت هام رو مینویسم(البته من بازی های زیادی انجام نمیدم):
DotA2: 2K Full Render Quality 60-61 fps - 4K Full Render Quality 29-31 fps
Hitman Absolution: FHD High quality 45fps
Watch Dogs 2: FHD High quality 35- 45 fps
البته ممکنه اشتباه هم داشته باشم تو فریم ریت ها ولی فریم ریت های دوتا2 و هیتمن رو کاملا مطمعنم...
تاچ پد با فشار انگشت و برداشتن فشار بالا و پایین میره،قسمت بالا مثل لولا عمل میکنه و به محوریتش تاچ پد دوران ریزی مینکه. واقعا عجیبه... البته من خودم اصلا با تاچ پد کار نمیکنم و کم گذرم میفته برای همین زیاد اهمیتی نمیدم، ولی اینجا ذکر میکنم تا کسایی که براشون مهمه در جریان باشن...
قاب فلزی صفحه نمایش کم مثل یه ورق فلزی نازک رفتار میکنه، وقتی لپ تاپ بسته س، با فشار میتونین ببینین که صفحه تو میره، حتی با فشار کم، و میزان زیادی هم جا داره تا بره... متاسفانه ایراد زیادیه، البته شاید بخاطر اینکه وزن رو پایین نگه دارن از مواد کمتری برای ساخت استفاده کردن و نتیجه این شده. فعلا که مشکلی برام به وجود نیاورده و نمیدونم چقدر این عیبش خطرناکه ولی حواستون باشه به اون قسمت فشار نیارید... یه مشکل دیگه هم اینه که وقتی صفحه نمایش رو کمی میکشید و ول میکنید برای خودش تکون میخوره.. البته لولا هاش خوبن ولی شاید بخاطر همین کیفیت ساخت کل قاب نمایشگر باعث این تکون خوردناس... اما اگه باهاش درست رفتار کنین رفتار بدی هم ازش نمیبینید و بیخود ایراد نمیگیرید(البته این ایراد ها وجود دارن و نمیگم عیبی نداره و میشه چشم پوشی کرد، ولی اگه نرم با لپ تاپ کار کنین به مشکل نمیخورین و بیخود نمیندازینش سر کیفیت ساخت)
چند تا نکته هم بگم:
اول که ویندوز رو نصب کردم و بالا اومد، حدودا 0.5 سانت پایینی صفحه نمایش کاملا سیاه بود و اول فکر کردم شاید خرابه و میخواستم تماس بگیرم با دیجی کالا و گزارش بدم، و لی درایور های گرافیکی رو نصب کردم و مشکل کاملا حل شد(احتمالا بخاطر رزولوشن بالاس و ویندوز خودش کشش این رزولوشن رو بدون درایور نداره)
این لپ تاپ بر خلاف سری قبلی، مشکل برق گرفتگی بخاطر خراش روی بدنه و فلزی بودن بدنه رو نداره، راحت باشین :)
ویندوز 10 نصب کردم (با آپدیت ها تا ژانویه 2017)، پارتیشن بندی رو قبل از نصب با Acronis disk director قابل بوت انجام دادم و پارتیشن های GPT ساختم و روی SSD ویندوز رو نصب کردم و بایوس رو با ابزار های خود ایسوس آپدیت کردم، سریع بالا میاد و مشکل بعضی دوستان رو ندارم (BIOS Time تقریبا 13.5 ثانیه س)
از اولش هم مشکل پرش صفحه تو مرورگر ها رو نداشتم (شاید چون از اول درایور ها رو کامل نصب کردم و بعد شروع به استفاده کردم)
در کل بابت پولی که دادم خیلی راضیم (البته لپ تاپ هایی با همین قابلیت ها و کمی فرق از لنووو دیدم، ولی تست نکردم ببینم چطورن، و بعضیاشون SSD ندارن یا درایو نوری اکسترنال ندارن یا موس یا...) ولی از خریدم خیلی راضی ام",20,4,5,4,4,4,4,4
"سرعت نسبتا عالي و سخت افزار تقريبا قوي
طراحي و کيفيت ساخت تقريبا عالي
کيفيت خوب کيبورد و پورت هاي تقريبا کامل
لوازم جانبي کامل و بالا آمدن سريع ويندوز
زيبايي ظاهري و تجهيزات کامل","لق زدن تاچ پد
مستعد در جذب اثر انگشت و گرد و غبار
کثيف شدن در مدت کم و داغ شدن هنگام کار تقريبا سنگين
قيمت سرسام آور در مقايسه با قيمت دلاري در فروشگاه هاي خارجي
باتري با بازدهي مشابه ساير لپ تاپ ها هم رده (سقف 3.5 ساعت)","سلام به طور خلاصه عرض میکنم بنده این لپ تاپ رو که خریدم 3 روزه با وسایل همراه کوله، موس اورجینال ولی نه حرفه ای و هدفون به دستم رسید کیفیت ساخت خوب بود باتری اکسترنال بود ویندوز نصب کردم تا قبل از نصب کارت گرافیک سه پیکسل از پایین صفحه نمایش خاموش بود فکر کردم سوخته ولی پس از نصبکارت گرافیک مشکل حل شد مشکل بعدی لق زدن تاچ بد بود که واقعا اذیت میکرد که با تدبیری ، لقی ان را گرفتم این لپ تاپ در مقایسه با مدل مالتی مدیا و پرستیژ ایسوس و ام اس آی تقریبا برابر هست و فقط قیمتش در مقایسه به آن ها بیشتر است. دوستانی که لپ تاپ برای کارهای افترافکت و پریمیر میخوان اهمیت رو به اس اس دی بدهند و دنبال سخت افزار مشابه این لپ تاپ بگردند و الکی پول زیادی خرج این لپ تاپ نکنن. صفحه 4k هم نفهمیدیم مزیته آخر یا معایبه.چون تفاوت 4k با فول اچ دی رو اصلا چشم تقریبامتوجه نمیشه، ضمنا نرم افزار ها هنوز با رزولیشن 4k سازگار نیستند و اکثر با نرم افزارهای قدیمی به مشکل میخورید. پیشنهاد بنده به جای این لپ تاپ، لپ تاپ MSI PE60 6QE - D هست که علاوه بر سخت افزار مشابه و قیمت مناسب ، سیستم خنک کننده داخلی هم داره و به علت رنگ نوک مدادیش کمتر کثیف میشه و خیلی بهتره.این لپ تاپی که پیشنهاد دادم رو هم اتاقیم داره و در مقایسه با این لپ تاپ فقط قیمتش کمتره و صفحه اش فوق اچ دی هست.سایر لپ تاپ های مشابه با این سخت افزار هم پیشنهاد میشه.
در پایان عرض میکنم که نظر دوستان دیگر رو بخونید و به ریز نظرات توجه کنید و سپس اقدام به خرید کنید",5,8,3,3,5,4,3,4
