positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"سلام دوستان عزیزم، من نظرات شما رو خوندم و لازم دونستم یک سری نکات رو در خصوص این لپ تاپ و یا حتی لپ تاپ های دیگه خدمتتون عرض کنم. پس از این نکته شروع می کنم که ممکنه شما سری N لپ تاپ های ایسوس رو با مشخصاتی نزدیک به لپ تاپ های سری G دیده باشید اما اصولا لپ تاپ های گیمینگ غیر از تفاوت در شکل ظاهری از مادربورد ضخیم تر و سیستم تهویه بهتر بهره میبرند که در برابر داغ شدن بیش از حد مقاوم تر هستند. ضمنا لپ تاپ های گیمینگ فقط مختص بازی نیستند و قادرند نرم افزارهای سنگین مهندسی هم به راحتی با سرعتی بالا اجرا و پردازش کنند. منم مثل شما برام سوال شد آیا این لپ تاپ ارزش خرید دارد یا نه؟ برای اینکار شما باید هر قطعه ی لپ تاپ رو اول جداگانه بررسی کنید. بعنوان مثال این لپ تاپ در جهان با سه صفحه نمایش مختلف عرضه می شود. یک مدل 4K و دو مدل FHD که یکی 60Hz و دیگری 120Hz هستش. اگر شما هم مثل من تحقیق کنید و تعداد پیکسل های صفحه نمایش 4K را نسبت به صفحه نمایش 15 اینچی محاسبه کنید، می بینید جدا از اینکه سرعت پردازش (Performance) لپ تاپ در نمایش 4K پایین میادبلکه شما در هنگام بازی با نرخ کمتری از fps مواجه می شوید و در بعضی برنامه و حتی بازی های قدیمی شما تمام آیتم ها را به قدری ریز می بینید که عملا کاری نمیتونید کنید. شاید به ذهنتان خطور کنه رزولوشن دستگاه را روی FHD تنظیم کنیم، اما این تنظیم نرم افزاری نمی تواند تعداد پیکسل های صفحه نمایش رو که سخت افزار محسوب میشوند تغییر دهند. بنابراین با تصویری تار مواجه میشین که باز هم اذیت کننده هست. در مورد صفحه نمایش لمسی که دوستان فرمودند باید عرض کنم که برای گیمینگ و کار مهندسی که حداقل یک ساعت می خواهید با لپ تاپ کار کنید آیا بازتاب نور از صفحه ی براق شما رو اذیت نمی کند؟ برای من که بسیار اذیت کننده هستش اما اگر بیشتر فیلم می بینید و بازی های مخصوص windows 10 و حتی android می خواهید انجام بدین، در این صورت بله صفحه نمایش لمسی به کارتون میاد هرچند که این بازی ها با کیبورد و ماوس هم میتونه انجام شود و میونید به سراغ لپ تاپ های سری N و یا MultiMedia برید آنها را بررسی نمایید. در مورد CPU خیلی ساده می تونید بنچمارکشو با مدل قبلیش که 6700HQ بوده مقایسه کنید، جدا از اینکه کارایی و قدرت بهتری داره از حافظه ی رم با سرعت بالاتری ساپورت می کنه. در مورد کارت گرافیک بسته به کاربری دوستان نظرات می تونه متفاوت باشه. برای بعضی ها از جمله خودم مناسب هستش ولی خب بعضی از دوستان اعتقاد دارند می بایست ، کارت گرافیک GTX1080 با ظرفیت 8 میبود. یا در مورد درایو نوری باز هم سلیقه ای هستش اگر براتون مهمه می تونید مدل GL552 هم بررسی کنید، اما برای من باریک بودن دستگاه و سبکتر بودنش مهمتر بود. بعلاوه ی اینکه امروزه کمتر از درایو نوری استفاده می شه و اکثرا فایل ها با HDD یا فلش مموری ها انتقال داده می شوند که می توانید یک درایو نوری اکسترنال تهیه نمایید. در مورد شکل ظاهری هم باید بگم عکس هایی که تو دیجیکالا هستش برای این لپ تاپ با نمونه ی واقعی کاملا فرق داره. از نزدیک رنگ ها پررنگ تر هستش و زیبایی خاصی داره هرچند جذب اثر انگشت زیاد هستش و اگر براتون مهم نیست یا اگه دائم تمیز ش می کنید خوبه ولی اگه اذیتتون می کنه این مدل یا حداقل این رنگو به شما پیشنهاد نمی کنم. در مورد سفارش خاورمیانه باید عرض کنم که کیبورد فارسی به صورت پیشفرض دیده میشه که نور زیر کیبورد قشنگی خاصی بهش بخشیده. اما در خصوص حافظه ی RAM، HDD و SDD باید خدمتتون اشاره کنم که این سه مورد به راحتی در این لپ تاپ قابل ارتقا هستند. شما می تونید تا هر قدری که لپ تاپ و توان مالیتون اجازه میده این موارد رو ارتقا بدین. در مورد باتری کاری نمیشه کرد و برای استفاده های سنگین حتما باید لپ تاپ به برق متصل باشه وگرنه کارایی لپ تاپ پایین میاد. فرق مدل های جدید GL502vm با مدل قبلیش فقط به نوع cpu و کارت گرافیک محدود نمیشه. می تونید تحقیق کنید و ببینید چقدر صفحه نمایش آن از لحاظ زاویه دید تا 178 درجه و G-sync بهتر شده به اضافه ی اینکه Anti-Glare یا ضد گردوغبار هستش. در آخر باید بگم که متاسفانه شما نمی تونید انتظار داشته باشید لپ تاپ ها به قیمت جهانی باشند مگر یک سری از لپ تاپ ها که ابتدا اونها هم گرون بودن و بعدا به دلیل نداشن بازار با کاهش قیمت رو به رو شدن. ممکن هستش بعضی از نکات رو از قلم انداخته باشم اما در کل برای لپ تاپ ها هر قسمت لپ تاپ حتی touchpad هم تحقیق کنید کسانی مثل ما و شما اونها رو آزمایش کردند و نتایجش هست. اگر بخوام به این لپ تاپ نمره ای از 10 بدم، 9 میدم. اون یک نمره به خاطر نبود درایو نوری و جذب اثر انگشت هستش ولی داغ شدن لپ تاپ کاملا طبیعی هستش. از نکات مثبتش قابلیت ارتقای آسان و تعمیرپذیر بودنش هست، حتی باتری. امیدوارم تونسته باشم نه تنها در خصوص این لپ تاپ بلکه در بررسی همه ی لپ تاپ ها و آیتم ها راهنمایی کوچکی کرده باشم، خصوصا در مورد صفحه نمایش لپ تاپ.",11,4,5,5,5,5,5,5
"کيبورد عالي .صفحه نمايش 4k","جنس بدنه","من gl502 vsخریدم رم16 گرافیک1070 8گیگ هر بازی که نصب کردم با اخرین حد تنظیمات گرافیکی روان اجرا میکنه و عالیه صفحه نمایش 4k واقعا خیره کننده در مورد gl502 VM نظری ندارم ولی کارت گرافیک باید از همه سخت افزار بالا تر باشه برای لپ تاپ گیمینگ",3,1,4,4,4,4,4,5
,,"gl502vs گرافیک 1070 داره که قویتر از 1060 است ولی درعوض ضخیم تر و سنگین تر از gl502vm هست و تاندربولت هم نداره",6,0,4,5,4,4,5,3
,,"والا ما تو چند ماه اخیر هر چی نظر میدیم تایید نمیشه ولی این مدلش اصلا نمی ارزه",13,8,5,4,4,5,5,4
,,"در مورد رم من فک میکنم تا دو سه سال رم 12 به خوبی جوابگو باشه در زمینه گیم با وجود 6 گیگ رم اختصاصی کارت گرافیک اصلا نیازی به رم 16 احساس نمیشه گذشته از اون رم راحت ترین قسمت یه لپتاپه که میشه ارتقا داد
این لپتاپ رو هم تا 24 گیگ میشه ارتقا داد",5,7,4,5,4,4,5,3
"وزن و ضخامت کم
سي پي يو قدرتمند 7700hq
گرافيک عالي 1060 با پشتيباني VR
صفحه نمايش با پشتيباني G-Sync
تاندربولت","رنگ قرمز کليد هاي WASD خيلي بچگانه ست
از رو عکس که کيفيت بدنه تعريفي نداره
ssd از نوع nvme بود بهتر بود گرچه در استفاده نه خيلي حرفه اي تفاوت محسوس وجود نداره
اثر انگشت داشت خوب بود گر چه مخصوصا واسه لپتاپ گيمينگ نداشتنش ضعف نيست
عمر باتري در حالت بيکاري تعريف نداره ولي تو استفاده با لود کامل خوبه","برای من تاندربولت خیلی حیاتی هست چون احساس میکنم در آینده خیلی میتونه مفید باشه
به نظر من کاملترین لپتاپ 15 اینچ با قیمت معقول بازار هست
تقاضا دارم رنگ نقره ایش رو هم بیارید",1,15,4,5,4,4,5,3
,,"اگه داغ نکنه لپتاب خوبیه ، فقط قیمتش بالاست",6,5,3,5,3,4,4,4
,,"میتونست 2 ترا هارد داشته باشه و حافظه ی ssd بیشتری داشته باشه
سنگینه.خیلیم زیبا نیست ای کاش لمسی بود و رم و گرافیکش عالیه",2,36,3,4,2,4,4,3
"پردازنده 7700hq پردازنده1060","رم12که توي اجرا بعضي بازيا مثلforza horizen3با کيفيت خوب نميکشه","با این قیمت ارزش خرید خوبی داره
فقط رمش یکم پایینه نسبت به کانفینگش",10,17,4,4,4,4,5,3
"باريک
قدرتمند
زيبا","قيمت بالا","قیمت این محصول نسبت به سخت افزارش بالائه البته اینجا ، این قیمت برای مدل GL502VS هست (همین با گرافیک GTX1070) که بازم واسه اون دستگاه زیاده چون قیمت جهانیش رو حساب کنیم کمتر تر میشه ، امیدوارم مدلی که گفتم (i7 7700hq با gtx 1070 ) زود تر بیاد ...",10,0,3,4,5,5,5,5
