positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"دوستان مقایسه این لپ تاپ با ایسوس،همش سلیقه ای هست.چراکه هردو قدرتمند هستن و به قول معروف جون سقط.خب هر کس گوشی اپل دست گرفته،اپل رو درک میکنه!",1,1,4,3,3,3,3,3
"نگهداري شارژ","هارد ظعيف
رم ظعيف
سي پي يو کم","بدرد بازی نمیخوره
نه این که بتزی رو نکشه نه چون سی پی یو و هاردش کمه جوابگو نیست
ولی خوراک کارای دیگست ولی من asus n552vw-eرو پیشنهاد میدم چون تنها برتری ای که اپل از این مدل داره زمان موندن شارژشه که حب سخت افزار انچنانی نداره که بخواد شارژ بخوره کلی ایسوز هم لمسیه هم کیفیت صفجش عالیه هم دوترا هارد و 128 تا ssd داره و هزاران چیز دیگه که خودتون ببینید بهتره",5,11,3,3,3,3,3,3
,,"دوست عزیزی که گفتن لپ تاپشون زیاد داغ می کنه دلیلش اینه که سی پی یو روی 100 درصد کار می کنه. مک بوک در حالت عادی گرم نمی کنه و هیچ صدایی از فن در نمیاد. شما باید بگردید منشا مشکل رو پیدا کنید. در سیستم عامل مک او اس یه برنامه داره به اسم activity monitor مثل task manager ویندوز نشون می ده چه پروسس هایی داره اذیت می کنه و یه قسمت دیگه داره که نشون می ده چه برنامه هایی داره باتری رو خالی می کنه.",10,0,3,3,3,3,3,3
"خيلي زياده",ندارد,"باید بگم که هیچوقت محصولات دیگه رو با اپل مقایسه نکنه.ایسوس تولبد کشور دوست و همسایه چین هست و اصالتا چینی.شما به کانفیگ ضعیف این دستگاه نگاه نکن.با این دستگاه میشه فوق العاده ترین رندرهای گرافیکی اجرا کرد و تحت هیچ شرایطی کم نمیاره.در نظر داشته باشید ک همه بزرگان موسقی و گرافیک، انیمیشن سازی ازین داستگاهای اپل استفاده میکنن. من حاضر نیستم این محصولو با یه محصول چینی ک رو کاغذ خوبه ولی در عمل واقعا کم میاره مقایسه کنم اختلاف اینا زمینو اسمونه.",11,17,5,5,5,5,5,5
,,"مقایسه مک بوک با بقیه لپتاپ ها مثل مقایسه آیفونه با خیلی از گوشی های دیگه. روی کاغذ ممکنه بقیه بهتر باشند، اما در عمل کمپانی اپل هیچ کم و کاستی نداره بلکه به سر و گردن از بقیه بهتره.",13,15,4,5,5,4,4,5
"مارک اپل هست!!!","قيمت زياد(نصف بيشترش واسه سيب پشت سرش)","من خودم حدود 6 ماهه که دارم در مورد لپ تاپ ها تحقیق می کنم واسه خرید.
همون اول که اومدم به دیجی و مشخصات فنی تمام لپ تاپ های اپل رو دیدم از خریدشون صرف نظر کردم چون با همین پولی که شما واسه ی این خرج می کنین می تونین از برند ایسوس یه لپ تاپ گیمینگ بگیرین که امکاناتش خیلی خیلی خیلی بهتر از اپل هست .به طور مثال مدل ایسوس G551VW سری A و B که قیمتش با این مدل لپ تاپ اپل تقریبا برابره دارای:
1.صفحه نمایش 4k
2.core i7
3.رم 12 گیگابایتی DDR4
4.کارت گرافیک GTX 960M (4گیگابایت)
5.DVD_RW",15,12,2,2,2,2,2,3
"زيبايي و سبکي","داغ شدن بدنه به سرعت و عدم تعديل مناسب دما","من این دستگاه رو کمتر از یک ماه هست که خریدم ولی الانچند روزی هست که قسمت بالای کیبرد سمت چپ و نزدیک لولا به شدت داغ میکنه و هرجا هم زنگ زدم توضیح دادم نمیدونن از چی میتونه باشه . من این محصول رو به اعتبار کیفیت ساخت اپل خریدم ولی الان از انتخابم پشیمونم.",6,8,2,2,3,3,3,3
,,"فوقالعادست و کسی اگر باهاش کار کنه دیگه سراغ چیز دیگه ایی نمیره. مرسی دیجی",21,15,5,5,5,5,5,5
"برطرف کردن ضعف هميشگي نسخه هاي پيشين (رم 8 گيگ)","کاش صفحه نمايش رتينا داشت (البته کيفيت نمايشگرش به هيچ عنوان بد نيست)","به نظرم نسخه ای که شما پیچیدید به درد همه نمیخوره! مثل اینکه بخواید یه ماشین شاسی بلند رو با یه ماشین سدان مقایسه کنید
خیلی خوب شد که بالاخره رمش 8 گیگ شد، الان دیگه خریدش منطقی تره. تنها رقیبی که آدمو برای خرید مردد میکنه سرفیس پرو 4 هستش هرچند که بازم نمیشه قاطعانه گفت کدوم بهتره",22,9,4,4,5,4,4,5
,,"به نظرم به هیچ عنوان نمیرزه.سری ان اسوس خیلی بهتره.",19,46,1,1,5,4,2,3
