positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"اونایی که میگن مشکله تاچ پد داره, تو تنظیمات تاچ پد, رو گزینه ی ligh touch بزارید, من استفاده میکنم خیلی عالیه, روی asus پیشفرض روی بلاترین حساسیت ئه
ولی اینو درست کنید درست میشه
لپتاپش عالیه",0,0,5,5,5,5,5,4
,,"الان دو ماهه لپ تاپو گرفتم کاربریمم حرفه ای هستش اول اینکه باتریش ده ساعت شارژ نگه نمیداره و سقفش 4 ساعته در مورد سخت افزار باید بگم عملکردش عالیه بدون نقص تا حالا رو هیچ بازی یا نرم افزاری حتی کوچکترین نقصی هم ندیدم لپ تاپ بسیار زیباس و وزن کمی داره در کل نسبت ب قیمتش ی لپ تاپ استثنایی محسوب میشه که از خریدش ب هیچ وجه پشیمون نمیشه ادم",4,0,5,4,3,4,4,3
"رم 12 گيگ
قيمت مناسب
سي پي يو i7","تاچ پد بشدت ضعيف(حتما به موس احتياج پيدا خواهيد کرد)
صداي فوق العاده پايين
نگهداري باتري تا 3 ساعت(با کارکرد معمولي)
کيفيت صفحه نمايش نسبتا ضعيف","دوستان من این لپتاپو چند ماهه خریدم...
اما متاسفانه زیاد راضی نیستم(قیمت مناسبش وسوسم کرد!)
من از دیجیکالا نخریدم(چون خیلی سریع برای کارام به لپتاپ احتیاج داشتم مجبور شدم از فروشگاه بخرم! البته 60 تومن هم گرون تر شد!)
من اگر دوباره حق انتخاب داشتم، قطعا تو همین قیمت یه لپتاپ از شرکت asus انتخاب میکنم!(حتی اگر مشخصات فنی ضعیف تری نسبت به lenovo و hp داشته باشه)
چون امکاناتی مثل تاچ پد و باند صدا و کیفیت صفحه نمایش و... نیاز های اساسی یک لپتاپ هستن(که متاسفانه برند hp زیاد روی اینا خوب کار نکرده)
ممنون از دیجیکالا بابت اینکه به ما اجازه میده نظراتمون رو آزادانه بیان کنیم.
موفق باشید",5,9,2,4,0,1,3,3
"قيمت مناسب
حافظه رم 12 گيگابايت
CPU i7","صفحه نمايش ضعيف
سي پي يو 2 هسته (البته 2 تا هسته ي مجازي هم ميسازه که ميشه 4 تا، ولي هسته هاي فيزيکيش 2 تاست
تاچ پد موس بشدت ضعيف
بلند گوي نسبتا ضعيف","دوستان من این لپتاپو حدودا 2 ماهه خریدم.
در مجموع لپتاپ خوبیه... سرعت پردازش خوبی هم داره...
تنها مشکل من تاچ پد و بلندگو های به نسبت ضعیفش هس(که حالا زیادم برای من مهم نیس)
نهایتش اینه که باید حتما براش یه موس بخرین( روی تاچ پدش اصلا حساب نکنین)
در مجموع لپتاپ خوبیه.قیمت مناسبی داره و رم 12 گیگ که واقعا تو این قیمت شاید تک باشه.
بازی نصب نکردم. ولی به نظر میاد رو بازی ها هم خوب جواب بده!
تنها ضعف این لپتاپ نسبت به این لپتاب های ایسوس اینه که ایسوس از گرافیک های NVIDIA استفاده میکنه:)",5,6,2,1,0,1,4,1
,,"سلام
من میخوام این مدلش رو بخرم بنظرتون این نسبت به lenovo Y510p بهتر هست؟ بیشتر واسه کارهای فنی و برنامه نویسی میخوام
و اگه کسی اطلاع داره بگه کدوم مدل hp نور پس زمینه کیبرد داره",1,2,3,3,3,3,3,3
,,"من تقریبا دو هفته ای میشه این لپتاپ رو خریدم البته ay116 که فرقی هم نداره.خواستم تجربیات خودم رو باهاتون در میون بزارم تا کسی مثل من با مشکلی مواجه نشه.
جنس بدنه : به نظر من جنس خوبی داره و آدمو جذب خودش میکنه اما میشد یه قسمتش حتی فلزی باشه
تاچ پد: افتضاحه واقعا باهاش راحت نیستم و صد در صد نیاز به موس پیدا خواهید کرد
کیبورد: کیفیت خوبی داره ولی مال من عربیه و یکم طول میکشه بهش عادت کرد‌
باتری:خوبه به طوری که 5 ساعت رو با گیم جواب میده.
سخت افزار: خوبی داره pes17 و باتلفیلد4 رو روش نصب کردم pes رو بدون هیچ مشکلی اجرا میکنه و اون یکی رو هم بعد از 3 یا 4 ساعت بازی مداوم مشکل پیدا میکنه.
در کل لپتاپ خوبی هست ک راضیم از خریدش. فقط یه نکنته که حتما ویندوزی به چز 10 نصب کنید من الان 10 هست و خیلی کند میزنه. تو نصب بازی و نرم افزار هم مشکل داره",1,2,5,5,5,5,5,5
,"صفحه کليدش حروف فارسي نداره","خیلی عالیه بی نظیره برای بازی خیلی خوبه فقط میتونم بگم 20 فقط یه مشکل داره صفحه کلیدش فارسی نداره
من از دیجی کالا خرید نکردم ولی همین لب تاپ هست که خیلی خوبه خیییییلیییییییی عالییییییییسییییییییییییییییییییییی",2,2,5,5,4,5,5,5
,,"صدای اسپیکر ضعیف و بی کیفیت است
تصویر دوربین آن هم اصلا قابل قبول نیست
تاچ پد آن هم چنگی به دل نمی زنه..",1,2,3,3,3,3,3,3
"همه چيزش به جز نقاط ضعف","پلاستيکي بودن بدنه
نبود چراغ پاور","تو قیمت سه تومن لپتاپ خوبیه از نظر سخت افزار, من که لگ ازش ندیدم, ایراداش اینه چراغ پاور نداره, باید به صدای هارد گوش کنی تا از کار بیوفته, بعد بفهمی کامل جریان قطع شده, بدنه اش هم پلاستیکیه, ولی سخت افزارش بهترینه",9,3,5,5,5,5,5,4
"سخت افزار قوي","کم بودن پورت USB و نداشتن VGA","یکهفته اس که این لپ تاب رو خریدم از لحاظ ظاهری بسیار شیکه و سخت افزارش فوق العادس من خودم اهل گیم هستم و فعلا هر چی نصب کردم راحت و رون اجرا کرده و فکر نمیکنم حالا حالاها کم بیاره .",8,2,4,4,4,4,4,4
