positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"اگه میخواین کیفیت رنگ صفحه بهتر شه راست کلید و تو تنظیمات intel graphic برید و تو display و باز تو قسمت color settig برید.
کنتراست رو 51
hue رو 2
saturation رو به 40 تغییر بدید و apply کنید .",1,0,5,5,3,3,4,3
"نسل هفتم
امکانات خوب","نسبت به قيمت نميشه گرفت","ارزش خرید بالایی داره نسبت به رقبا بخصوص ایسوس که خیلی گرون شده",1,0,5,4,5,4,5,4
"cpu i5
ram ddr4","صفحه نمايش بد
بلندگو هاي معمولي
نداشتن نور پس زمينه","من این لپ تاپ رو با استناد به نقد و بررسی دیجی کالا و نظرات کاربران خریدم ولی خیلی پشیمونم.رنگ صفحه نمایش همه مرده هستن زاویه دید خیلی خیلی کم کنتراست و روشنایی خیلی کمی داره و روکش براق داره.",0,1,2,3,1,0,3,1
,,"من سیاهشو خریدم و اینکه بهترین گزینه واسه بازی چون گرافیک اون gddr5 که حتی لنوو از 510 هم gddr3 هستش که 30 درصد قویتره. گرافیکش 50 درصد از انویدیا 920 قویتره.
رم پرسرعت با مصرف پایینتر ddr4
باترییش 41 وات ساعته که عمدا یا سهوا 65 وات نوشته تو سایت ولی با مصرف پایینش 6 ساعت دووم داره.
صفحه کیفتش پایین ولی نرمال تو قیمت البته براقه که شفافیتش بیشتره و زیر آفتاب خوب نیست.
هارد معمولی که میتونید علاوه بر اون یه حافظه ssd روش نصب کرد.
اسپیکرشم خوبه.
میتونید رم رو هم ارتقا بدید که میتونه فرکانس 2400 هم باشه.",1,0,5,5,3,3,4,3
"سخت افزار متوسط رو به بالا
کيفيت و زيبايي بدنه","تاچ پد","اول از هر چیزی خواهش می کنم صحبت های من پاک نشه
این آخرین بار بود که از دیجی کالا چیزی می خریدم ، من از روز های اول که دیجی کالا اومد مشتری اون بودم و چندین میلیون جنس خریدم ولی از این به بعدخودم و خانواده و دوستام رو منصرف کردم، به علت شرایط کاری خودم زیاد جابجا شدم تو این چندسال در شهر های مختلف و وقتی تو این یکسال اخیر از شهر های مختلف خرید میکردم رفتار دیجی کالا خیلی بد شده و کلا انگار با تهران اون هم بالای شهر برخورد خوبی دارن - مشکلاتی همچون عدم ارائه خدمات اکسپرس حتی به برخی نقاط سر راست کرج ، عدم پاسخگویی مناسب و به وقت پشتیبانی که وقتی زنگ میزنید نفر 50 ام هستید پشت خط و تازه بعد کلی مصرف پول کسی درست پاسخگو نیست ، ارسال هایی که تو این سال ها از 24 ساعت به 72 و یا بیشتر رسیده و اینکه یکبار جنس من رو پست نکردن و گفتن یادمون رفته و یه بار هم این لپ تاپ رو که خریدمبا پست اکسپرس خریدم که دیدم بعد 24 ساعت پست نکردن و زنگ زدم میگن باید سه تومن بیشتر بدی اکسپرس نمی کنیم و...
بگذریم بریم سراغ دستگاه
لپ تاپ فوق یک لپ تاپ با کاربری متوسط هست این یعنی بازی های نسل هشتم را به کلی پشتیانی نمی کند و بازی های نسل هفتم را نیز 50 به 50 پس فکر بازی با این لپ تاپ را نداشته باشید این لپ تاپ حتی بازی Mortal Kombat 2012و مافیا 2 را نیز نتوانست اجرا کند ، در زمینه صدا و داغ کردن لپ تاپ خوبی است و زود داغ نمیکند با این لپ تاپ می توانید کار های سبک روزمره و برنامه هایی همچون فتوشاپ را البته برای پروژه های سبک استفاده کنید ، این لپ تاپ مناسب تماشایی فایل های ویدیویی با کیفیت بالاست و حتی فیلم های بلوری را نیز به راحتی اجرا میکند .
بدنه لپ تاپ نیز ساده اما زیباست ،زیبایی آن وقتی دوچندان می شود که آن را دردست گرفته و بدنه بافت دارش را لمس کنید. یک دوربین با کیفیت متوسط رو به پایین دارد که برای برقراری تماس تصویری مناسب است .کیبورد فوق العاده نرم و روان دارد که کوچکترین صدایی تولید نمی کند . مشکل اصلی این لپ تاپ تاچ پد آن است بر خلاف ظاهر بزرگش که این تصور را ایجاد می کند که کار کردن با آن ساده است به علت صاف و لیز بودن بیش از حد اعصاب شما را بشدت قلقلک می دهد و دوم کارت گرافیک که اسم سری 9 را یدک می کشد اما در نظر داشته باشید کارت گرافیک 940mx یک کارت گرافیک متوسط محسوب می شود این کارت از نسخه 950 نیز بشدت ضعیف تر است ودر مقایسه با کارت پی سی خانگی 740 gt نیز براحتی عقب می افتد .نکته مثبت این لپ تاپ رم آن است گرچه میزان 4 گیگ آن شما را راضی نگه نمی دارد ولی در پروژه های متوسط فتوشاپ و ... ddr4 بودن آن کاملا مشخص است و عملکرد خوبی دارد.",4,3,4,4,4,4,4,5
,"رم کم","4 گیگ رم‌ واقعا کمه نیاز داره رم رو به 8 ارتقا داد.",0,3,4,2,3,2,4,3
"کيبورد
صفحه نمايش
ظاهر زيبا
بلندگو
دما",ندارد,"من خیلی راضییییییییم
خیلی بیشتر از قیمتش می ارزه
حتما پیشنهاد می کنم بخریدش",2,0,5,3,3,4,3,5
,,"سلام. من این لپ تا ب و دیروز خریدم
شدیدا راضیم ازش فقط dvd-righter یه کم صدا میده
کیبردش عالیه اما موس پدش یکم ضعیفه
رنگ و کیفیت صفحه نمایش و بلندگوهاش عالیه
ظاهر شیک و جذابی داره مخصو صا حالت چارخونه ای روی بدنه
سخت افزارش نسبت یه قیمتش عالیه با افزاشی رمش حتی برای گیمر ها هم عالی میشه البته نه گیمر های حرفه ای",3,0,5,3,3,4,3,5
,,"من این لپتاپ رو واسه بازی گرفتم چون گرافیکش ddr5 هست. far cry4 و چنتا بازی خیلی قوی رو تست کردم اخ نگفت ولی بدون کول پد تا ذوب شدن میره. خیلی راضی ام. ممنونم دیجی",5,0,3,3,3,3,3,3
"طراحي شيک
سخت افزار عالي و main برد به روز
ارزش خريد در برابر قيمت
وجود درگاه هاي بروز مثل usb c
رم ddr4","رم و حافظه داخلي کم","با سلام . من کارم طراحیه . یه زمان سیستمم مشکل پیدا کرد مجبور شدم زود یه لپ تاپ خوب بخرم . دو روز نقد و بررسی کردم و در آخر این لپ تاپو خریدم که فوق العاده راضیم . ابتدا برای طراحی بیلبورد هام رم 4 گیگ کم می آورد . ولی رفتم یه رم 8 گیگ ddr4 براش گرفتم شد 12 گیگ که سرعتش دیگه افسانه ای شد. گرافیک و سی پی یوش هم برا کارهای 3d و رندرینگ خیلی خوبه. در مورد بازی هم من با رم ارتقا داده شده بازی call of duty infinite warfar رو به راحتی هرچه تمام تر روش اجرا کردم . تنها مشکلش اینه که یکم داغ میکنه . و با کول پد قوی زیرش میشه مشکلو حل کرد . ولی خروجی فن سمت چپ لپ تاپ هم زیاد داغ میشه . که اونو باید تو معرض جریان هوا آزاد بزارید .
هاردش هم 500 گیگ برا من کم اومد یه هارد اکسترنال کنارش گرفتم و الان تکمیل تکمیله.
صفحه نمایشش هم 15.6 اینچ نسبت به 14 اینچی ها خیلی بزرگتر و دوست داشتنی تره",5,0,5,5,3,3,4,5
