positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
"زيبايي ظاهري
صفحه نمايش متوسط به بالا
صداي باکيفيت","لمس خيلي خيلي ضعيف
سرعت داغون
ري استارت شدن بي‌جهت
سي پي يو و رام افتضاح","اقا گرونه من از دیجی گرفتم یعنی جالب نیس بدون تعصب میگم .
من لپتاپم ایسوس بود فک کردم کلا ایسوس خوبه ولی فهمیدم بجز قیافه خوشگل چیز خاصی نداره .
در کل لنوو خیلی بهتره خدایی بدون تعصب میگم.",0,0,1,5,1,3,3,2
"صفحه نمايش خوب","سخت افزار بسيار ضعيف","بدرد بازی نمیخوره",0,0,1,3,2,3,1,2
,,"از مشخصات معلومه که خیلی قدیمیه ارزش خرید نداره موفق باشید",0,4,3,3,3,3,3,3
,,"هنگ میکنه دوبار عوض کردم ولی همچنان هنگ میکند تاچ بعضی وقتا کار نمیکند",2,8,3,3,3,3,3,3
,,"با سلام من حدودا چند وقته این تبلتو خریدم و جز خوبی ازش چیزی ندیدم . نه هنگ کرده نه ریست کرده . کلی هم برنامه ریختم توش و بازی های سنگین دیتا دار . فقط تنها عیبش کیفیت پایین دوربینه . یا علی مدد",8,1,4,3,3,3,3,3
"دوربين
صفحه کليد
کيفيت صفحه
سيستم عامل",ندارد,"تبلت بسیار عالی هست اگرقبلا دوربین خیلی با کیفیت مثل ایفون نداشتید ای خیلی خوبه بازی ها رو خوب اجرا میکنه بازی هایی مثل minecraft رو اولاش اروم اجرا میکنه اما بعدش خوبه. سیستم عاملخوبی داره و حتما از دیجی کالا بگیرید چون داره مفت میده از خدمات دیجی کالا سپاس گذارم و اگر شک دارید حتما این رو بگیرید و اگر نگران قاب و گلس هستید برای این مدل بسیار راحت در نمایندگب ها پیدا میشود",5,1,5,5,5,5,5,5
"ماندگاري بالا
سخت افزار قوي
طراحي زيبا
با وجود رم 1 برنامه هاي زيادي نصب ميشه","صفحه نمايش کمي ضعيف تر از 170عه","برای خواهرزادم گرفتمش خیلی خوبه ماندگاری بالایی داره وقتی چیزی دست بچه خوب میمونه یعنی از نظر قدرت بدنه واقعا قابل تحسینه! از نظر سخت افزاری بیشتر بازی ها رو خوند فقط بعضی بازی هایی که رم بالا نیاز داشتن مثل gta رو به سختی بالا میاره ولی بازم میگم برای همه کار جز بازی های خیلی سنگین عالیه",10,2,5,5,4,5,5,5
"سهولت در استفاده
سيستم کاربري مناسب
اندرويد 5(که براي تبلت عاليه)
فوق العاده شيک
پشتيباني از بازي هاي گرافيک بالا","هيچي نداره(الکي عيب نذاريد)","حدودا یک ماهی میشه این تبلتو برای برادر کوچیکم خریدم،وقتی به دستم رسید اولین چیزی که توجه منو جلب کرد زیبایی و ظرافتش بود،روشنش که کردم علاقم نسبت بهش خیلی بیشتر شد،از قبل شنیده بودم سیستم کاربریش یکم سنگینه و با آپدیت کردن خوب میشه،همون شب آپدیتش کردم،تا الان سیستم کاربریش خیلی سبک و روان بوده و اصلا هنگ ندیدم ،برای برادرم حدودا 25 تا بازی نصب کردم و خیلی روان و سبک داره اجرا میکنه
تنها چیزی که یکم اذیتم کرد پیدا کردن گلس بود",1,3,5,5,5,5,5,3
"طراحي زيبا و خوش دست
با امکانات مناسب
کارکرد اسان","عدم همخوني رنگهاش با رنگ هاي استاندارند
نداشتن تنظيم نور اتوماتيک","من این تبلت رو از دیجی کالا خریدم
از خریدم راضی هستم به نسبت قیمت تبلت مناسبیه
اما در انتخاب رنگ دقت کنید
چون رنگ قرمزش زرشکیه و زنگ بژش پوست پیازی روشن
و امکان تنظیم نور اتوماتیک نداره که بنظرم این ضعفشه
یه مشکل دیگه ای هم هست که نمیدونم علتش چیه من هنوز نتونستم به وای فای کانتکت بشم با تبلت
نمیدونم علتش چیه!",2,4,3,5,4,4,4,3
,,"اگر می خواهی ریست نشه اول rest factorty کن وبعد update از سایت بازار نکن همین فکر کنم 90 درصد حل میشه",2,2,5,5,5,5,5,5
,,"اخه ایسوس تبلت داره.تا لنووهست ایسوس چی میخواد.برید تبلت لنوو مدل tab3 7 4g یا3g بگیرید.همه چیش عالیه.بخصوص تاچ.اون اندروید شیشه مارشاملو این 5 لالی پاپ.کی میاد اینو بخره.اون یه طراحیه بی نظیر داره که فکر نکنم هیچ تبلتی داشته باشه.خلاصه لنوو تو همه ی تبلتا و لپ تاپ ها از ایسوس بهتره.من خودم اونو دارم",5,55,3,3,3,3,3,3
"تاچ خوب
قيمت خوب
عملکرد خوب","تراکم پيکسل ميتونست بيشتر باشه","با سلام من مدتی هست از این تبلت استفاده میکنم واقعا عالیه برای وب گردی و شبکه های اجتماعی قیمتش هم که مناسبه،کلا یه تبات افیس و کاریه بدرد بازی . اینا نمیخوره.
اگر برا کار میخوایین شک نکنین تو خریدش.",7,3,5,5,2,5,5,5
"زيبايي و خوشدستي
حافظه بالا
پردازنده عالي","با اين قيمت هيچي","با سلام
ابتدا واقعا متاسفم کسانی که با بعضی از نظراتشون داشتن من رو منصرف می کردند.
این تبلت با توجه به قیمتی که میدید عالیه
بسیار زیبا و خوشدسته
این رو واقعا میگم
شما برید هر تبلتی که دلتون می خواد رو ببینید هیچکدوم به زیبایی این نیستن
11 گیگ فضا در اختیارتون میزاره
مثل ال جی می تونید با دو بار ضربه رو صفحه تبلت رو روشن یا خاموش کنید
از لحاظ بازی هم خیالتون راحت چون بازی های آسفالت 8 مدرن کمبت رو مثل آبنبات اجرا کردم.
کلا هر وقت میخوام قدرت دستگاه رو بسنجم این دو بازی رو توش میریزم
خلاصه با این قیمت هیچ مشکلی نداره واگه میخواین بخرین بدونید هیچ تبلتی بهتر از این تا این قیمت وجود نداره.",9,4,5,5,4,5,5,4
,,"دوستانی که مشکل هنگ و قاطی کردن و عمل نکردن تاچ پد رو دارن با نصب یک لانچر (من Hola Launcher رو نصب کردم) که داخل بازار هست مشکلشون حل میشه. به نظر میرسه رابط کاربری ASUS ZenUI Launcher خیلی برای این مدل تبلت بهینه نیست!",3,4,4,5,4,5,5,2
"کيفيت تصوير",باتري.هنگ.ريست.,"سلام خدمت کاربران گرامی و دیجی عزیز.
عزیزان من دوستانی که از نقد منفی دیگر دوستان جبهه میگیرند بنده این تبلت رو برای دخترم گرفتم البته جایگزین گارانتی تبلت fe171 که مشکل هنگ و ریست داشت،که از این مدل هم خیری ندیدم و مشکل شارژ دروغی و هنگ رو مثل مدلی که عرض کردم داشت.امروز 7 آذر این یکی رو هم مجبور شدم بدم واسه گارانتی.من وقتی 171 رو میخواستم بگیرم نظر خیلی از کاربرا رو خوندم نکات مثبت رو مد نظر قرار دادم و منفی ها رو نادیده گرفتم اما نتیجه منفی بود این مدل هم با پرداخت بالایی قیمت به من داده شد اما نتیجه چی بود باز هم شکست.
خواستم بگم اگه کسی دچار مشکلی شده و اون رو به اشتراک می ذاره حتما چیزی رو تجربه کرده و اگه کسی تعریفی میکنه حتما چیز بدی رو هنوز تجربه نکرده.
من خیلی ها رو دیدم انواع مدل ایسوز از جمله همین مدل ها رو دارن اما آخ نشنیدن اما من درد کشیدم.ممنون از حوصله شما.",13,1,1,3,2,2,1,3
"همه چي",هيچ,"چرا بعضی هانظراشتباه میدن میگن خاموش میشه سخت افزار خوب نیست .من یک سال دارم بازی اسفالت 8مورتال کمبت وراحت اجرامی کنه صفحه نمایش عالی مخصوصا طراحی نظراشتباه ندین ازنظرسخت افزارعالی",2,5,3,3,3,3,3,3
"وزن و اندازه مناسب در کنار زيبايي و خوش دستي
جنس بدنه با کيفيت
سخت افزار متوسط به بالا
شارژدهي کافي در استفاده معمولي روزانه
کيفيت رضايت بخش صفحه نمايش","گيــــــر، هَنگ يا قاطي کردن تاچ در بعضي مواقع
کيفيت پايين هر 2 دوربين
کمبود رم (1 گيگ اين روزا با اين همه اَپ جور وا جور در طولاني مدت دردسر ساز ميشه)","امکانات و کیفیت این تبلت با هزینه ای که میکنید همخونی داره هرچند شاید بشه با این هزینه محصولی کمی قوی تر خریداری کرد.
همه چیزه تبلت خوب و رضایت بخشه و برای استفاده روزمره در حد معمولی جوابگوی نیازاتون هست، تنها موردی که یه وقتا واقعاً اعصاب خوردکن میشه هنگ کردن و قاط زدنه تاچ هستش که حتا با آپدیت نرم افزاری به آخرین ورژن عرضه شده توسط خوده ایسوس مشکل حل نشد! من اگر باشم دوباره این تبلتو نمیخرم چرا که گزینه های دیگه ای هم هست که احتمالاً مشکل تاچ نداشته باشن.",4,1,4,5,4,5,5,2
