positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,,"دوستان تبلت خیلی خوبی هستش ولی بعضی اوقات که واردش میشم صفحه اش دیگه نمیچرخه و باید خاموش روشنش کنم که درست شه کسی اگر اطلاعی داره بگه",1,1,3,3,3,3,3,3
"سهولت کار
در کل همه چيز","تنها نقطه ضعفش اينه که وقتي باهاش کار ميکني ديگه معلوم نيست کي کنار ميزاريش","یک تبلت قدرتمند و بسیار زیبا و ارگونومیک که خستتون نمیکنه من همین مدلشو دی ماه 93 خریدم کمی قیمت بالا بود بعد از یک سال یک افت 500 هزار تومنی داشت دوباره رفت بالا من تو این مدت فقط از این محصول لذت بردم و به هر کسی که میخواد کارشو اسون انجام بده توصیه میکنم یکی از بهترین های اپله مدل سلو لارش بهتره",1,0,5,5,5,5,5,5
,ندارد,"من این دستگاه رو تو یه قرعه کشی برنده شدم! واقعا بی نظیره! دیگه از گوشیم فقط برای مکالمه استفاده می کنم و تقریبا همه کارهای دیگه مو با همین دستگاه انجام میدم.واقعا بی نظیره و هیچ نقصی نداره",3,0,3,4,4,3,4,4
"باتري پردازنده دوربين سرعت عالي و بي معني بودن لگ و هنگ","ضعف الياژ ساخته شده که در برابر خم شدن نامقاوم است","عالی برای دانشجویان و معلمان",1,1,3,5,5,5,3,5
"قدرت بالاي cpu
باتري عالي از نظر نگه داري
سرعت بسيار عالي
دوربين خوب
خيلي روان و نرم","کيفيت ساخت بدنه از نظر الياژ مثل iphone 6 کمي در برابر خم شدن نامقاوم است","5ماه هستش که خریداری کردم و کاملا راضی هستم و حتما توصیه میکنم اگر دانشجو هستید و به علم روز و گجت ها واقفید این محصول رو خریداری کنید حتی با یه دانگل hdmi mhl میتونید پاور پوینت و تدریس و کنفراس داشته باشید و لذت ببرید",2,0,3,5,5,5,3,5
,,"محصولات شرکت اپل همیشه جذاب، بی نقص، متفکرانه و استفاده از تکنولوژی های جدید در طراحی بوده است. کاربران عزیز لطفا درباره محصولات اپل نظر تخصصی ارائه کنند. با تشکر",7,0,5,5,5,5,5,5
"صفحه نمايش فوق‌العاده با کيفيت
سخت افزار پر قدرت
حس خوب هنگام استفاده",هيچي,"من تازه گرفتم البته مدل 32 گیگ که تازه اومده واقعا که مثل همیشه عالییییی.",3,1,5,5,5,5,5,4
,,"بهترین محصول اپل",0,2,5,5,5,5,5,3
"واقعا همه چيش عالي",نداره,"من الان 1 سال بیشتر این تبلت دارم تو خریدش شک نکنید راحت تا چند سال میبرتون",7,2,4,5,5,0,5,5
"کيفيت ساخت
سرعت بسيار عالي","نبود حافظه جانبي
سنگيني بسيار زياد نسبت به محصولات فلزي ديگه
امکانات پيش فرض در حداقل سطح ممکن","متاسفانه تو کشور ما امکان استفاده از محصولات اپل به طور کامل وجود نداره یا حداقل با اون قیمت و سرعتی که ما میخوایم و به نظرم نو آوری هاش کمن و با آیپد ایر تفاوت چندانی نداره اگه برای بازی میخواید یا میخواین هر جایی راحت ببرینش اصلا توصیه نمیکنمش به جاش آیپد مینی 4 و گلکسی تب اس 2 رو پیشنهاد میکنم",8,23,0,4,1,3,5,3
,,"من وقتی خریدم تو ایران نیومده بود وخیلی گرون خریدم الان دوسال دارمش اخ نگفته ماشالله اپل همیشه خوب وعالیه اگر دنبال چیز خواص وخوب وبا کیفیت هستی اینو بخر",9,6,5,5,5,5,5,5
,,"عالی اگر قصد خرید تبلت دارید اپل بخرید حرف نداره",15,2,5,5,5,5,5,3
,,"من یک سال و نیم پیش از دیجی گرفتم، و جالب هنوز افت قیمت نداشته، در تعریف همین بس که ای کاش اپل همه چیز تولید میکرد",23,2,5,5,5,5,5,5
