positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,,"با سلام من چون هنوز اینو نخریدم نقدش نمیکنم و زیاد نمینویسم چون دوستان به طور کامل توضیح دادن
فقط یه چیزی بگم برا کسانی که مردد هستند
اول ببینید چی میخواهید تبلتی میخواهید که در عین تبلت بودنش سخت افزار ویندوز داشته باشه و بشه کارهایی را که میشه با یه سیستم ویندوزی مثل لپ تاپ انجامک داد را باهاش انجام بدید که باید همینو بخرید البته توصیه میکنم بدون کیبورد بخرید و کیبوردش جداگانه از دیجی بخرید
ولی اگه چیزی میخواهید که در عین لپ تاپ بودنش وسخت افزار قدرت مندش قابلیت های یه تبلت را داشته باشه و از کیبورد جدا بشه و پردازندش قوی باشه باید برید سراغ سرفیس بوک که امیدوارم دیجی موجود کنه که سرفیس محشره ولی گرون هس
راستی سرفیس ها را تا آخرین نسخه آپدیت کنید و گرنه مشکلاتی براتون بوجود میاره
امیدوارم نظرم مفید باشه",2,0,3,5,4,4,4,4
"قابليت حمل بالا براي يک کامپيتر کامل
طراحي و فرم فاکتور زيبا
امکان توليد محتوا در حرکت","باتري
عدم تعبيه درگاه سيکارت ديتا
لگ هاي گاه و بيگاه ويندوزي","انتظار من استفاده از دستگاهی بود که در عین ارائه قابلیت های یک کامپیوتر تمام عیار, سطح قابل قبولی از خواسته هایی که هر کسی از یک تبلت داره رو هم برآورده کنه.
درمورد کامپیوتر بودنش, این توقع تا حدودی برآورده شد؛ البته به شرطی که از لگ های گاه و بیگاهش که ممکنه ناشی از ویندوز 10 باشه بگذریم.
اما درمورد تبلت بودنش این انتظار من پاسخ درخوری رو دریافت نکرد چون علاوه بر برقرار نبودن دسترسی به اینترنت در فضای خارج از WiFi بعلت عدم تعبیه درگاه سیمکارت دیتا, جدا کردن کیبورد هم در اغلب موارد, صفحه نمایش رو بصورت خودکار به وضعیت تبلت در نمیاره (علیرغم تنظیمات مربوطه)
همچنین هنوز قلم برای نگارش متن به بلوغ نرسیده که البته از این بابت نمی توان سرفیس و یا مایکروسافت رو شماتت کرد.
مهم تر از همه اینکه با وجود آپدیت بودن همه نرم افزارها و فایل های سیستمی, باتری دستگاه در بهترین حالت و با کم کردن نور پس زمینه 3 ساعت دوام میاره و البته بعد از فول شارژ باتری هم, نمایشگر باتری, 1/5 ساعت باقیمانده ذخیره باتری دستگاه به اعلام میکنه که واقعا نا امید کننده س.
البته شاید مجبور بشم ویندوز رو دوباره نصب کنم که خب حتی درصورت رفع اشکال هم, این مطلب خودش گواهیه بر یک ایراد اساسی چون بهر حال شما بیش از پنج میلیون تومان ناقابل رو هزینه نمی کنین (با خرید ملحقات) که مجبور بشین همه نرم افزارهاتون رو دوباره نصب کنین...
متاسفانه یا خوشبختانه در اختیار داشتن لپ تاپ مک بوک پرو و استفاده هم زمان این دو ناخودآگاه باعث مقایسه شون برای من شده (اگرچه که بسیاری معتقد هستن که مقایسه بین این دو اساسا درست نیست) ولی بهرحال اعتمادی که کار با مک در شما بوجود میاره باعث میشه از سرفیس و ویندوز دلگیر و دل زده بشین. البته تجربه آفیس در ویندوز رو نمیشه با آفیس در مک مقایسه کرد و بهمین دلیل هم من این دستگاه رو خریداری کردم اما متاسفانه نمی تونم امتیاز خیلی بالایی بهش بدم چون اگر از طراحی ظاهریش بگذریم (که نقطه قوت اون بحساب میاد), با صرف این پول میشه گزینه های ویندوزی بهتری رو خریداری کرد.
دوستان اگر درمورد باتری و رفع اشکال اون تجربه ای دارن لطفا با من به اشتراک بذارن.",5,4,3,5,3,3,3,5
"زيبايي
سبکي
سرعت بالا
کيفيت ساخت بالا","محدود بودن پورت ها","با سلام
من 6 ماه پیش یک نقدی در همین جا نوشتم حالا بعد از 7 ماه استفاده نظرم و میگم. ابتدا بگم حتما باید ویندوز رو تا آخرین آپدیت های ارائه شده بروز نگه دارید چون بسیاری از باگ ها رفع میشه. سرعتش بسیار بالاس مخصوصا بالا اومدن ویندوز فقط و فقط بخاطر هارد ssd اون هست. کیفیت نمایشگرش خیره کنندس . کیفیت ساختش بسیار بالاس . اسپیکر هاش راضی کنندس و نسبت به قیافش صدای بالایی تولید میکنه. صفحه کلیدش بسیار نرم و روان هست و بکلایت بسیار یبا و کاربردی داره فقط پشت صفحه کلید از جنس مخمل هست که در مرور زمان یک کم داشت از رو میوفتاد که جاهایی که بیشتر با میز در ارتباط بود چسب پهن زدم که خراب نشه. این ی نقطه ضعف غیر فابل چشم پوشی هست..... دوربین جلو و پشت بسیار با کیفیت و فاصله کانونی بسیار عالی داره و درشت و واضح میگیره. از این ها بگذریم پورت hdmi واقعا نیازه که نداره . البته من تا الان بهش نیاز پیدا نکردم ولی خب پورت مهمی هست که اگه بهش نیاز دارید باید مبدل پورت بگیرید و از hdmi بهرمند بشید. در باره پورت usb هم بگم من خودم ی هاب USB3 گرفتم که پورت LAN هم داره که تقریبا دیگه به پورتی نیاز ندارم الان هر وقت نیاز به اتصال بیش از یک USB داشته باشم هاب رو وصل میکنم. ولی همون اوایل زیاد استفاده میشد ولی الان همون یک پورت usb برام کافیه.مطلب دیگه ای به ذهنم نمیرسه.
در کل خیلی راضیم چون رو مبل لم میدم و رو پام میذارم و کار میکنم. کم بودن پورت ها همون اول یک کم اذیت کرد الان که کامل اطلاعات و منتقل کردم دیگه شرایط عادی شده.
موفق باشید",6,2,4,5,4,4,5,5
"نوآوري
همه چي","خيلي کم","من اولین بار با این دستگاه توسط یکی از مدرسین کنکورم آشنا.شدم.دستگاه بسیار عالی و خوبیه به خصوص برای دانشجویان و اساتید فقط یک نکته بگم اونم اینه که اینا با دو نوع با کیبورد و بدون کیبورد عرضه میشن پیشنهاد من اینه که بهتره بدون کیبوردشو بگیرید چون مثلا یه مدل پایینتر از رمش چهاره حافظش 128 خشک ولی کیبورد داره قیمتشم همینه ولی این با ram 8 و حافظه خشک 256 این قیمت داره به نظر سخت افزار پردازشی بالاتر به کیبورد می ارزه و بعدا هم میشه یه. کیبورد وایرلس گرفت کلا این تجهیزات یعنی core i5. و ram 8 و حافظه 256 کنار هم یه دستگاه قدرتمند می سازه که بهتره پول الکی به کیبورد ندید",2,2,5,5,5,5,5,5
"صفحه نمايش 4k
داشتن قلم و عالي براي دانشجويان
کيفيت ساخت بالا
خوردن مموري کوچک 128 گيگ",ندارد,"بابام سه ماه است که این لب تاب رو داره،عالیهه.از نوشتن باهاش ادم لذت میبرد ولی گرچه با همین قیمت میشه یک ایسوس با امکانات بیشتر خرید ولی ای سرفیس یک چیز دیگه است.قلم سرفیس 4 خیلی بهتر شده و دوربینش هم در رده ی خودش خیلی خوب و راضی کننده هست.اصلا هم داغ نمیکنه.شگفت انگیزش کن تا بخرم دیجی جان!!",3,2,5,3,4,2,5,4
"بسيار سبک و قابل حمل
عملکرد باتري عالي(9ساعت)
داشتن قلم و عاليي بودن براي دانشجو ها","سخت کار کردن زمان قرار گرفتن روي پا","این لب تاب با رم 8 و حافظه 256 برای یک دانشجو بسیار عالیه.هم کار لب تاب رو انجام میده هم کار تبلت.همچنین نوشتن با قلم ان بسیار لذت بخش است.این لب تاب برای وب گردی،نوشتن با قلم،فیلم نگاه کردن و اجرای نرم افزار های سنگین و غیره عالیهه. گوچه میشه با همین قیمت یا حتی ارزون تر ایسوس خرید ولی کیفیت ساخت و حرفه ای تر بودن سرفیس رو با هیچی مقایسه نکنید.شگفت انگیز کن،بخرمش",4,2,5,3,4,2,5,4
"قيمت بهتري نسبت به حالت با کيبورد دارد",,"عالیهه،شگفت انگیزش کن.می خوام تا فردا بخرم.
پیشنهاد میدم که بخرین بچه ها،قلمش عالیه و کار یک لب تاب رو کامل انجام میده.",2,1,5,3,4,2,5,4
"داشتن قلم و مثل يک لب تاب واقعي هست",ندارد,"یکی از بهترین الترابوک های دنیا هست،شگفت انگیزش کن،میخوام بخرمش.
بابام داره خیلی راضیه و کار کردن یا",2,1,5,3,4,2,5,4
"هم تبلت و هم لپ تاپ
سيستم عامل ويندوز پرو (که عملا اجازه ميده شما بتونيد عين يک دسکتاپ پي سي از اون استفاده کنيد)
وزن قابل قبول
رزولوشن تصوير 4K (البته تو بعضي از برنامه‌ها دردسر مي‌شه)
داشتن قلم که خوب مشخصه اصلي اين محصوله","نقطه ضعف خاصي نداره (فقط يه چيز هست که در نقد و بررسي اشاره ميکنم)","من مدت‌هاست از محصولات به اصظلاح تبلت پی سی استفاده می‌کنم) قبلا هم سامسونگ Slate TA1 داشتم که خوب تقریبا یه چیز 80 درصدی همین سرفیس بود(توجه کنید طراحی این محصول 2 سال قبل از معرفی سرفیس پرو 4 بود و سریعا هم تولیدش متوقف شد ولی واقعا محصولی بود که از زمان خودش جلوتر بود) ولی سی پی یو 5i و رم 4 گیگ و پایه‌ای که پورت‌های نسبتا خوبی رو در اختیار کاربر می‌گذاشت و یک کیبرد وایرلس که روی خودش بود. محصول بی نظیری بود فقط یه اشکال داشت که موقع نوشتن یادداشت در آفیس وان نوت 2013 به بعدبعضا بعد از نوشتن نیم صفحه ممکن بود نوشته ها به هم بریزه و بره تو دل هم که برای من که دلیل استفاده از این محصول نوشتن صورتجلسه‌ها و یادداشت‌های کاری‌ام بود اصلا مطلوب نبود. الیته با نصب وان نوت2010 به قبل این مشکل تقریبا حل شد ولی خوب این ورژن امکانات کمی داشت. من دلیل اینکه این بار سرفیس خریدم این بود که تصورم این بود به دلیل اینکه تاچ این محصول و شناسایی دست و قلم خیلی ارتقا پیدا کرده و از طرفی این محصول مایکروسافته و سازگاری احتمالی بیشتری با آفیس مایکروسافت داره ممکن دیگه با این مشکل مواجه نشم ولی متاسفانه عینا همون مشکل اینجا هم وجود داره که خیلی تو ذوقم خورد. ولی وجود کیبرد تاچ کاورش تا حدی این مشکل رو راحت کرده. الان سعی میکنم بیشتر تایپ کنم تا با قلم بنویسم.
غیر از این مورد که خوب مشخص شده کاملا نرم‌افزاریه و اصلا سخت‌افزاری نیست و امیدواری اینکه در ویرایشهای بعدی آفیس رفع بشه. مشکل دیگری واقعا در استفاده از این محصول نداشتم.
وزنش قابل قبوله، رزولوشن تصویرش 4K هست که هم خوبه هم بد. بعد از آپدیت به ویندوز 8.1 و دریافت آپدیت‌های سالیانه‌اش که همین ماه آگوست منتشر شد (Build 14393) مشکل اینکه به واسطه رزولوشن بالای تصویر بعضی از نرم‌افزارها خیلی کوچیک نمایش داده میشد رفع شد ولی هم‌چنان در برخی نرم‌افزارهای دیگه شبیه کرل دراو جدید هم‌چنان باقی است(البته این بخاطر طراحی وب بیس گونه کرل جدید است)، قلمش بد نیست (البته برای سامسونگ قبلیم بهتر بود). کلا از خاصیت چسبندگی مغناطیس تو طراحی این محصول خوب و بجا استفاده شد تقریبا همه جا پلاگ شدن آهنربایی رو میتونید ببینید که خیلی خلاقانه است. کیفیت دوربینش خوبه (خیلی بهتر از سامسونگ قبلیم) ولی انتظار دوربین‌های موبایل‌ها خصوصا رده‌های پرچمدارو ازش نداشته باشید. من داغ کردن نامعمولی در مدت سه هفته‌ای که ازش استفاده می‌کنم ندیدم. روی ویندوز جدید خصوصا با آپدیت سالیانه آگوست 2016 خیلی مچ‌تر شده. من اهل بازی نیستم هیچ گیمی روش نصب نکردم و معتقدم این دست محصولات کاربری بازی ندارند. خلاصه به صورت کلی راضیم و به کسانی که استفاده خاص از محصولات مبتنی بر ویندوز دارن پیشنهاد میکنم.",8,4,4,5,4,5,5,5
,,"من واقعا بین گرفتن یک تبلت قلم نوری طراحی و لپتاپ شک داشتم ،چون هم برای طراحی به قلم نیاز داشتم و هم برای کار به لپتاپ ، وقتی یکی از اقوام سرفیس رو خرید و من باهاش کار کردم تقریبا چیزی دیدم که هر دو نیازمو براورده میکرد ، حالا از دیجیکالا میخوام که لطفا هم موجودش کن و هم در پیشنهادات ویژه قرارش‌بده ،من و چند نفر از دوستام مشتاق خرید این محصول هستیم .ممنون",2,1,4,3,4,4,4,3
"روان
سريع
در مجموع عالي",,"همون دفعه اول که روشنش کردم یکم داغ کرد و فنش روشن شد ولی فردا پس فرداش بهتر شد و بعد از آپدیت ویندوزش کاملا بدون صدا کار میکنه و داغ نمیکنه اصن.",3,0,5,5,5,5,5,5
