positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
,,"سلام خدمت دوستان عزیر
من این تبلت و 6 فروردین 96 گرفتم بعد سه روز ری استارت می‌شد دادم گارانتی بعد 2 2 روز گرفتم هنگام جابه‌جایی فایل دوباره ر ی استارت شد ، آ پدیتش کردم بین مشکل حل می‌شه یا نه که بعید می‌دونم
در کل می‌خواستم بگم که نخرید سامسونگ دیگه سامسونگ نیست !",2,0,1,1,1,1,1,1
"داشتن قلم با امکانات بالا
تاچ خيلي خوب
صفحه نمايش با کيفيت خوب
شارژدهي خيلي خوب","ري استارت شدن در حين کار
خاموش شدن ناگهاني
ظرفيت پايين حافظه
وزن بالا
نداشتن کيف تبلت خوب و مناسب که بتواند با توجه به وزن بالا آن را در حالات مختلف تحمل کند","این تبلت را در بهمن ماه 95 خریداری کردم. اوایل که از ار این تبلت خیلی خوشم اومد و کار با قلمش بسیار برای من مفید بود اما بعد از حدود ده روز استفاده متوجه شدم که دستگاه به صورت رندوم ری‌استارت می‌شود و بعضا هم، ناگهان خاموش می‌شود که صرفا با سه دکمه می‌توانید مجدد راه اندازی کنید.
به گارانتی هماهنگ مراجعه کردم که پس از تست نرم افزاری (یا هر چیز دیگه‌ای که معلوم نیست چی هست) تحویل دادند بعد از دو سه روز استفاده مجددا همان مشکل دوباره بوجود آمد. برای بار دوم که مراجعه کردم گفتند که این ایراد مربوط به همه دستگاه های این مدل هست و به مودم زایکسل مربوط است و قرار است سامسونگ یک رام جدید بدهد که این مشکل برطرف شود. چند بار برایشان توضیح دادم که اصلا من نه سر کار و نه منزل مودم زایکسل ندارم.
خلاصه بعد از این همه دردسر و تلفن و مراجعه (تقریبا پیگیری هر روزه) به گارانتی هماهنگ، سرانجام گفتند که پولتان را پس می دهیم. الان حدود یک ماه و نیم گذشته است و آن هم هنوز محقق نشده است. از این هم بگذریم که برقراری ارتباط تلفنی با هماهنگ هم کار ساده‌ای نیست.
به هیچ وجه توصیه به خرید نمیکنم. اگر هم خریدید بدون گارانتی بخرید که اعصابتون بابت پول اضافه‌ای که بابت گارانتی میدهید خرد نشود. همه این ها به کنار با فرض اینکه پول خرید را هم کامل (قیمت فاکتور شده) پس بدهند، هزینه مکالمات تلفنی، رفت و برگشت به شرکت گارانتی (Hamahangit) ، محافظ صفحه و کیف تبلت هم روی دستمان ماند (علاوه بر اینکه مبلغی پول دادیم و حدود دو ماه هم هیچ سود و استفاده‌ای نبردیم).",2,0,2,3,2,3,0,2
"کيفيت تصوير بالا
رم 3گيگابايتي
قلم حرفه اي
باطري فوق العاده
پردازنده نسبتا خوب","وزن زياد
کيف اورجينالش نيييييست تو بازار","من اول این تبلت رو واسه بابام خریدم و بعد از کلی کار کردن باهاش عاشقش شدم.مخصوصا قلمش خیلی کاربردیه
بعد یه دونه هم واسه خودم خریدم اما متاسفانه در همون دو روز اول استفاده متوجه شدم که تصادفی در حین کار کردن خاموش میشه
چون دستگاه گارانتی هماهنگ بود دستگاه رو تحویل گرفتن و گفتن اگر نرم افزاری باشه تعمیر میشه و اگر سخت افزاری باشه تعویض
اما همون یک ساعتی که توی گارانتی بودم خیلیا اومدن و بعد از بررسی بهشون گفتن دستگاهتون شامل گارانتی نمیشه
خلاصه اینکه ارزش نداره واسه شصت هفتاد تومن ارزونتر جنس بدون گارانتی بخرید.با گارانتی معتبر بخرید و حتما توی هفته اول تا میتونید با دستگاهتون کار کنید تا اگر مشکل سخت افزازی داشت بتونید از یک هفته گارانتی تعویض دستگاه استفاده کنید. در یک کلام اگر نمیتونید بیشتر هزینه کنید بهترین انتخاب همین تبلته...
نکته آخر : کیف اورجینال این تبلت توی بازار نیست",1,0,5,3,5,3,3,3
,,"حافظه داخلی 11 گیگ خیلی کمه",2,0,3,3,3,3,3,3
"پردازنده هشت هسته اي
رم 3
قلم s pen
صفحه نمايش 10 اينچ
قيمت مناسب نسبت به قيمت","کمبود حافظه داخلي","من این تبلت رو پارسال خریدم و خیلی ازش راضی ام
نسبت به قیمتش همه چیز داره",1,0,5,5,5,5,5,5
"باتري-کيفيت صفحه نمايش و دوربين-لمس","برجستگي دوربين پشت تبلت -نداشتن امکان پس زمينه متحرک","سلام خدمت دوستانی که میخوان این تیبلت رو بخرن ـ
1ـ رنگ سفید پشت قاب مات جلو تبلت براق در واقع زیبا و مورد پسند همه
2-لمسش کارایی خوب و فوق العاده داره
3-بتریش 7900 بی نظیرررررر من حدودا با 50 درصد باتری از ساعت 2 بعدازظهر تا 7 عصر تبلت رو استفاده کردم تا 15 درصد باتری موند حدودا5 ساعت 35 درصد باتری مصرف کرد
4ـــــهدست داخل تبلت نیست
5ـــــگیره فلم داخل قوطیش موجود هست
6ـــــکابل و کلشه شارژر هم موجود بود
7ـــــاندروید 6 هس فعلا قابل ارتقا نیست 2016 هس رم 3 حاقظه داخلی 16 8 هسته ای
8ـــــصفحه نمایش پر کیفیت ادم دهنش اب میلفته دوربین 8 عالی و حالت پانوراما هم داره
9ـ حدودا 2 ونیم ساعت طول میکشه باتری فول شارز بشه این تیلت در مقایسه با تبلت سامسونگ s2 بی نظیر هست
10ـــــسیم کارت 4G پشتیبانی میکنه سذعت عالیییییی دانلودش یک
11ـ من از اون ادمای حساسم همیشه دنبال بهترینم این تبلت در مقایسه با تبلت n8000 و s2 و tab s کلا همه چیزش برتر هس
12ـــــهر کی میخواد بخره شک نکه من راضیم باتریش توپ اقا میفهمی جی میگم باتری 7900 میلی امپر اوه اوه عالی
13ـ و در اخر عیب تبلت لوازم جانبیشو من پیدا نکردم گلس یا محافظ ژله ای --نداشتن امکان تصویر پس زمینه متحرک در صفحه نمایش-برجستگی دوربین پشت تلت که یکمکی بیرون زده دوربین سلفیشم خوبه بد نیس دوربین پانوراماش عالی
14ـــــهر کی میخواد بخره ضرر نخواهد کرد من حدودا 3 روزه خریدم اوک هس
15ـــــو در اخر تشکر از دی جی کالا و همکارانشون که یادمه میخواستم تبلت رو بخرم حدودا 5 بار زنگ زدم اظلاعاتشو با راهنمایی همکاران دی جی جویا شدم و گفتن یک هفته ای تبلت رو میفرستیم ولی 2 روزه فرستادن تشکر ویژه داره",2,6,1,4,5,4,4,4
,,"تبلت خیلی خوبیه فقط بعضی وقتا پرش صفحه داره",0,3,3,3,3,3,3,3
"همش نقطه قوت مخصوصا براي مطالعه
رم و باطري عاليه
مثل نوت 5 امکانات نوشتاري فوق العاده داره
دوربين خوبه
لوازم جانبي هم فراوان","وزنش مي تونست سبکتر باشه","خوب هدفم از خرید جهت مطالعه بود خریدم و چرا از دیجی کالا نخریدم چون موجود نبود و بعدا موجود شد.
اچند وقت پیش از مشهد خریدم",4,9,3,3,3,3,3,3
,,"سلام
یک تبلت فوق العاده ... 10.1 اینچ با روزلیشن بالا ... اس پن ... 4g و قابلیت مکالمه ... رم3 ...باتری با شارژ دهی فوق العاده
منتظر فروش شگفت انگیز دیجی کالا هستم تا هر چه سریع تر بخرمش",6,5,4,4,5,5,4,4
"علي رغم صفحه نمايش ده اينچي داشتن رزوليشن بالا نسبت به تب هاي هم رده خود
وجود قلم اس پن(تب هاي قلم دار ديگر با اين فشار 1024 بسيار گران قيمت ترند)
باتري 7300 ميلي آمپر که ديگه ترکونده
سيم کارت و نت 4 جي و قابليت مکالمه
رم 3 و حافظه 16 ... از لحاظ سخت افزاري مشکلي در اجرا برنامه هاي سنگين نخواهد داشت",ندارد,"میشه گفت که با این قیمت یک تبلت بسیار مناسب نسبت به رقیب های خودش محسوب میشه ... من برای کار کردن با قلم اس پن اون میخوام بخرم ... شاید قلم اون به پای قلم اپل و سرفیس نرسه ولی با این قیمت دست کمی هم ازونا نداره و کسایی که کار طراحی یا نوت برداری یا اجرای یک کلاس یا کنفرانس رو دارن حتما پیشنهاد میدم که خریداری کنن چون فوق العادس چرا که من قلم تب های مختلفی رو بررسی کردم و در نهایت به این غول رسیدم ...
الان هم شدیدا منتظر فروش ویژه دیجی کالا هستم تا اون رو هرچی سریع تر بخرم ... مرسی از دیجی کالا",5,3,4,4,5,5,4,4
