positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
"سخت افزار قوى","حرارت بسيار بالا !","پس از خواندن نظرات پراکنده دوستان و تبلیغات زیاد و وسوسه انگیز و دیتیل عالى راجع به این دستگاه تصمیم به خرید گرفتم و همان روز اول متوجه دشارژ سریع باطرى و تولید حرارت بسیار زیاد در پشت دستگاه در هنگام کار و شارژ شدم !
این حالت هنگام شارژ و کار ساده مثل دیدن تصویر با کیفیت معمولى به اندازه اى میرسد که اگر روى پایتان باشد حتما احساس سوختگى کرده و ان را از خود دور شاید هم مثل من احساس خطر اتش سوزى کنید از خریدش اینقدر دلچرکین و پشیمان شدم که روز بعد از خرید با 2 م ضرر فروختم.",3,1,3,3,3,3,3,3
,"نداشتن سيم کارت
نداشتن gps","به نظر من بزرگترین ضعف نداشتن مکان یاب است",0,4,2,2,2,2,3,1
"کيفيت ساخت
سخت افزار خوب نسبت به اينکه يه تبلت وينوزيه
سهولت و راحتي استفاده
قلم حساس به فشار (مناسب براي طراحي)
وزن مناسب کيبورد","قيمتش
دوباره قيمتش :","برای کسی نیاز به جا به جایی ولی سخت افزار قوی داره چیز خوب و مناسبیه، مثلا پرزنت کردن فایل های 3D Max به صورت زنده یا تدوین ویدئو یا... ، ولی توی محدوده 8 تا 10 میلیون میشه یه pc ستاپ کرد با حداقل کارت گرافیک gtx 1080 که برای نمونه بتونه gta v رو روی رزولوشن 2k و همه تنظیمات اولترا، 80fps فریم ریت بده! خلاصه اینکه سورفیس پرو4 خیلی دستگاه خوبیه ولی توی این حدوده قیمت میشه یه ستاپ خیلی قوی داشت!",17,2,3,5,5,5,5,4
,,"من با علم به این که ارزش خرید این تبلت/پایینه خریدمش. در حد یه دستگاه دو میلیون تومنی ازش توقع داشتم و میدونستم تقریبا نیمی از پول فقط برای ظاهر دستگاه و اسم برند مایکروسافت و کلاسشه . زیبایی و ظرافت دستگاه ، کیفیت صفحه نمایش ، وزن کم ، مشخصات اسمی خوب مثل پردازنده در عین تبلت بودن ، چند ماه اول راضی نگهتون میداره اما به مرور ..مشکلاتی مثل در حد انتظار نبودن باتری ، آزار دهنده بودن تعداد کم ورودی ها و کم نور نسبی صفحه نمایش ، گرون بودن بدون توجیه لوازم جانبی مثل انواع کاور ، کابل و گلس مهم نیست . مشکل ایراداتیه که از دستگاهی با یک چهارم قیمتم انتظار نمیره .مثال : با وجود پردازنده core i 3 و رم 4 ، موقع کارهای نه چندان سنگینی مثال : کپی کردن همزمان چند فایل حجیم کاملا هنگ میکنه و حتی ریست میشه . صدای فن درمیاد و داغ میکنه .من کلا کار سنگین نمیکنم در حد آفیس فیلم دیدن و وبگردی ولی به دفعات زیاد روشن شدن بی مورد فن رو دیدم . خیلی اوقات پیش میاد که با جدا کردن کیبورد ، تاچ تبلت موقتا از کار میفته !! باید دوباره کیبوردو وصل کنید و جدا کنید تا تاچش راه بیفته . دکمه ی روی پن گاها کار نمیکنه و باید پیر/آن پیر کنید تا درست شه . و عجیب تر از همه اینکه کمتر از شش ماهه من سرفیسو خریدم و متوجه ایجاد هاله ی نور روی صفحه نمایشش شدم . لکه ی نور کاملا واضح وسط صفحه نمایش.
در کل ، به خاطر ظاهر و کلاسش پولتونو هدر ندید . دستگاهی تو همین مایه ها میخواید ، asus transformer book t300 chi با ویژگی های مشابه و قیمت نصف و یک برند معتبر .",17,12,0,5,3,3,5,4
"نوآوري توخالي
کيفيت نمايشگر
حافظه داخلي
پردازنده قوي","کارايي
باتري
قيمت
و باز هم قيمت !","مایکروسافت از بیرون خیلی قشنگه . چند سال هست که تمام کار ها و طراحی ها و دیوایس های ساخته شده توسط مایکروسافت ، فقط ظاهر سازیه . درواقع درونش هیچی نیست! با شعار دادن میخوان بگن که خیلی جلو هستن اما این شرکت بنظر من یکی از حقه باز های تکنولوژیه . گوشی ویندوز فونی با این شعار ساخته میشه که ما ویندوز رو به گوشی منتقل کردیم ! اما حتی 1% شباهت بین ویندوز موبایل و دسکتاپ دیده نمیشه . حالا شباهت ندارن اشکال نداره . اما تمام ویندوز موبایل ظاهر سازیه تمام نرم افزار هاش بلا استفاده و بیخوده . میگن اینستاگرام رو اندروید داره ، ویندوز هم داره. اما اینستاگرام ویندوز فقط اسمش اینستاگرامه!!!! تلگرام ویندوز فقط اسمش تلگرامه . فتوشاپ ویندوز فقط اسمش فتوشاپه . تمام برنامه های ویندوز فقط اسمشون برنامه هست ! شما هیچ اپی رو نمیتونید توی ویندوز پیدا کنید که دقیقا مشابه نسخه اندرویدش باشه . همشون ناقصن. حالا بگذریم از اینکه گوشی های مایکروسافت همش هنگ میکنن و هیچ آزادی ای توش ندارین و حافظه داخلیش رو نمیتونید مدیریت کنید و دیتای برنامه هارو نمیتونید پاک کنید و... بگذریم . بعد رسید به ویندوز 10 دسکتاپ . که بنظر من مایکروسافت توی هر نسخه از ویندوز هاش داره پسرفت میکنه!! مرورگر اج که به قول خودش باتری رو کمتر از کروم مصرف میکنه . کاملا درسته . اما کارایی کروم و قابلیت هاش کجا و اج کجا !! منم اگر یه مرورگر با قابلیت های اج میساختم مصرف باتریش از کروم کمتر بود !! بعد رسید به ایکس باکس که همه میدونن چه فاجعه ای بود دیگه توضیح نمیدم . بعد سرفیس . شعارشون چیه ؟ ما قابلیت های یک نوت بوک را در ابعاد یک تبلت جا میدهیم . بظاهر چقدر موفق بودن؟ خییییلی . اما پردازنده ی آی7 با گرافیک اینتل ، دقیقا آخه من نمیفهمم با این دیوایس چیکار میشه کرد جز فیلم دیدن و توی نت گشتن!!!! ظاهرا خیلی باحاله که براش پردازنده اینتل گذاشتن، اما کاراییش در حد یه تبلت 800 دلاریه . با ارفاق . .. مایکروسافت همش میخواد نشون بده که از بقیه جلوتره اما کار این شرکت ساختن همون سیستم عامل هست فقط . بهتر بود توی مسیر خودش میموند چون اینطوری زیاد دوام نمیاره ...",13,32,1,5,2,4,4,2
سبک,باطري,"سلام
من 512 شو البته خریدم. بسیار خوش ساخت و سریعه. البته کلا اهل بازیهای فول گرافیک نیستم که نیاز به آخرین توان گرافیکی داشته باشم ولی بازی هایی هم که نصب کردم گرافیکش به خوبی جواب داد.
بعد از نصب آپدیت ویندوز 10 که خودکار انجام میشه معمولا تمامی باگهاش از بین میره. توان باطری بهتر میشه ولی در کل کمی مصرفش زیاد به نظر میرسه. استفاده از پردازنده اینتل دلیلشه و البته توصیه کردن با روش Turbo Boost می تونید از هسته های کمتری کار بکشید و مصرف رو بیارید پایین. البته من گشتم این گزینه رو پیدا نکردم هنوز. ولی در کل باطری زیاد اذیت نمیکنه. گرافیست هستم و کل برنامه های مهندسی روش به طرز بی نظیری سریعه! دلیلش هم Core i7 هست هم SSD. برای ارائه و نمایش پروژه بسیار مناسب، سبک و کارآمده. تاچش در بعضی برنامه ها دیر عمل میکنه مثل مرورگرهای وب که احتمال میدم به خاطر محافظ صفحه قطوری باشه که چسبوندم. قلمش عالیه... نکته دیگه اینکه نمیشه پاور ش رو مثل Ipad بزنین و تو کیف بذارین و خیالتون راحت باشه که باطری مصرف نمیکنه! به هر حال کنار اومدم با این قضیه که اگه پروژه ای رو تو فتوشاپ یا کد بخوام مدت بیشتری کار کنم باید کابل رو وصل کنم و قید عمر طولانی باطری رو بزنم. با این حال سرعت پردازش بالاش مدت انجام کار رو پایین میاره. یه لپ تاپ قوی!
طراحی با قلمش برای ورود مستقیم طرح به نرم افزار بدون نیاز به اسکن واقعا جذاب و کارآمده.
اپلیکیشن های ویندوز البته محدوده ولی تو این مدت سه ماه دارم هر روز میبینم بیشتر و بیشتر میشه.
وقتی خریدم و دست گرفتم انتظار داشتم سنگین تر و ضخیم تر باشه. واقعا لذت بردم. صدای فن خنک کننده اش در بالاترین دورش بسیار کم صداست.
در مجموع با توجه معایبی که عرض کردم شخصا ترجیح میدم یه تبلت ویندوزی داشته باشم که تماااااااام برنامه های ریز و درشت رو توش بریزم و استفاده حداکثری ازش ببرم تا اینکه Ipad منو با برنامه های ناقصش کلافه کنه. تصور کنین پک کامل آفیس، ادوبی، ادیت فیلم، کد و ... روی یه تبلت...",9,1,3,5,5,5,5,5
,,"عالی برای کسانی که لازم دارند",4,3,3,3,0,0,3,3
"[""همه چي""]","[""هيچي""]","خالم برام خرید نمی دونم چیکار کنم دوتابرنامه پروتووس،اتوکدنصب کردم خوب کار می کنه سبک هم هست دیگه کار دیگه ای باهاش ندارم",7,29,4,4,5,4,5,4
,,"عالی دیجی بالاخره آوردیش !!!!!! دمت گرم",6,9,3,3,3,3,3,3
"تبلتي با قابليت لپ تاپ","گران بودن","توی خوب بودنش شکی نیست فقط یکم پول خورد هاش زیاده!!
کاملا بستگی به نیاز فرد داره اگه شما نیاز شدیدی (خیلی شدید) به جابه جایی اسان سریع دارین (جیمز باند!! )حتما بخرین اگه ندارین با این پول همه میدونیم چه سیستمی و چه لپ تاپ هایی با چه قدرت ها امکاناتی میشه تهیه کرد به پولدارها شدیدا پیشنهاد میشه تازه
به عاشقان این محسول هم پیشنهاد میکنم تا امدن سرفیس پرو 5 و سرفیس بوک 2 صبر کنن ضرر نمیکنن
موفق باشید",19,4,4,4,4,4,4,4
