positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
"صداي فوق العاده عالي
سخت افزاري قابل قبول
کيفيت صفحه نمايش خوب","مصرف زياد باطري براي واي فاي 5GHz
قطع سيگنال سيم کارت در سفرهاي درون شهري","چند روزه این دستگاه رو از دیجیکالا گرفتم و باید بگم تبلت خوبیه که البته در ازای قیمتی هم که پرداختم همین انتظار رو هم داشتم.
از بین همه برندهای تبلتی که وجود داره من تبلت ایسوس رو انتخاب کردم چون تبلت قبلیم هم ایسوس بود مدل 170cg که در حدود 3 سال برام کار کرد و خیلی ازش راضی بودم، فقط پردازنده اش ضعیف بود.
البته ظاهرا ایسوس کلا یه مشکلی با سیم کارت داره!
مشکل سیم کارتش هم اینه که وقتی در حال حرکت هستید و فاصله ای چند کیلومتری رو طی میکنید، معمولا سیم کارتش قاطی میکنه و دیگه اصلا سیگنال نمیده و روی سیم کارت ضربدر قرمز میزنه. (سیم کارت من ایرانسل GSM هست)، برای رفع این مشکل هم تنها راهش ریست کردن تبلته. این مشکل رو من هم با تبلت قدیمیم داشتم و هم این تبلت. برای رفع این مشکل هم من تبلت رو در زمانی که نمیخوام و در سفر در حالت پرواز میذارم که البته این راهکار، بهترین راه حل نیست!
مشکل دوم این تبلت مصرف فوق العاده باطری در حالتی هست که وای فای روشن باشه! یعنی باطری رو در عرض چند ساعت خالی میکنه!
البته این مشکل رو میشه به این روش رفع کرد:
در قسمت setting گزینه wifi رو انتخاب کنید و بعد از منوی advanced و در گزینه wifi frequency band گزینه 2.4Ghz only را انتخاب کنید. اینجوری همه چیز به حالت طبیعی برمیگرده و مصرف باطری دستگاه کاملا منطقی میشه. تغییر این گزینه هیچ تاثیری در عملکرد دستگاه نداره، چون تقریبا همه مودمها با فرکانس 2.4ghz کار میکنند.
نکته بعدی لوازم جانبی هست که فعلا محدوده که امیدوارم در آینده برطرف بشه.
در آخر باید بگم که از خریدم راضی هستم.",1,0,4,3,3,3,3,3
"صفحه نمايش بسيار با کيفيت و با رزولوشن بالا و بي رقيب در اين رده قيمتي
بسيار سبک و باريک
عملکرد سخت افزاري عالي
باتري بسيار مناسب. من حداقل روزي 3 ساعت باهاش کار مي کنم و هر 3 روز شارژ مي کنم","عدم وجود چراغ نمايشگر LED براي نمايش نوتيفيکيشن ها و وضعيت شارژ","من بعد از یک ماه تحقیق و بررسی تمام تبلت های موجود در بازار این تبلت رو خریدم و واقعا ازش راضی هستم",2,0,5,5,4,4,4,3
"صفحه نمايش باکيفيت و سخت افزار قوي","ندارد واقعا","تقریبا 2هفته ای میشه خریدمش و خیلی ازش راضی هستم, فقط دوربینش منو راضی نمیکنه که کمتر تبلتی هست که دوربین فوق العاده ای داشته باشه و بهرحال این واسش ایراد محسوب نمیشه, چون نسبت به خیلی از تبلتهای موجود دوربین بهتری داره, قسمت پشت گوشی یه جنس باحالی هست که تو دست گرفتنش حس خوبی داره, بنظر من امکان نداره از خریدش پشیمون بشید مگه اینکه مث من بخرید و چند روز بعدش پیشنهاد ویژه بشه تخفیف بخوره حرصت دربیاد",0,0,4,5,3,5,5,3
"تاچ عالي و کيفيت صفحه خوب پردازنده قدرتمد و رم بالا","دوربين خيلي بي کيفيت","تو چند روز استفاده نسبتا راضی ام و با این قیمت تبلت خیلی عالیه, باطری قابل قبولی داره و فقط تنها موردی که خیلی ضعیف عمل کرده دوربینشه که در مقایسه با دوربین های تبلت سامسونگ واقعا بی کیفیته",0,0,3,3,3,3,3,3
,,"نمیدونم‌ چرا بعد از 10 روز استفاده اینقدر زود سوکت شارژش خراب شد هرچند من خیلی ازش مواظبت میکردم وچون این ایراد شامل گارانتی نمیشد دادم به تعمیرکار بیرون ولی بعد از باز کردن هرچه گشتیم سوکت شارژش پیدا نشد
ناچارا به نمایندگیش فرستادم که با هزینه آزاد درستش کنن امیدوارم درست بشه",0,1,3,3,3,3,3,3
,,"باتریش خیلی ضعیفه ، نسبت به رقبای هم رده",0,1,4,3,4,3,4,2
"همه چيز به جز باطري",باطري,"من بعد از بیست روز مجددا نظر میدم، از نظر امکانات، قدرت و کیفیت توی این رنج قیمتی عالیه
بازی ها و برنامه ها رو بدون هیچ مشکلی اجرا میکنه
اما بعد از یه مدت که دارم ازش استفاده میکنم باید بگم که در مورد باطری همونطور که خیلی از دوستان هم گفتن خیلی نمیشه روش حساب کرد
اگر استفاده زیادی بکنید چند ساعته خالی میشه
دوربین هم معمولیه که برای تبلت چیز عجیبی نیست
بهرحال مجموعا عالیه و اگر با باطریش مشکلی ندارید به شدت پیشنهاد میشه",0,0,4,4,5,4,4,3
"سرعت پردازش رَم رزوليشن تصوير","رابط کاربري نسبتا پيچيده تر از سامسونگ","نسبت به قیمت با یک محصول فوق العاده طرفید
سرعت پردازش خیلی خوبه
اگه مثل من برای کار های دانشگاهی مثل دیدن فیلم اموزشی و خواندن جزوه میخواین تبلت بگیرین حتما پیشنهاد میکنم
البته از پس کار های سنگین تر هم بر میاد
رزولیشن تصویرشم معرکه است،چند مرحله بالاتر از سایر تبلت ها تو این رنج قیمت",11,3,5,4,4,3,4,4
"زيبا- قيمت مناسب- باطري نسبتا خوب- صفحه نمايش شفاف- و....","نبود وسايل جانبلي","سلام دوستان
خوب من اول قصد ی تبلت 10 اینچ داشتم چون پی دی اف و خلاصه فایل های داکیومنتی زیادی می خوانم و کار های جانبی . با دوستانی که تخصص در کار IT دارند صحبت کردم. به تناسب قیمت این تبلت را به من یشنهاد کردند. بعد بررسی های زیاد در مورد باطری این تبلت کمی شکاک شدم . ولی با دوستانم که مشورت کردم مطمئن شدم . خوب از دی جی کالا تهیه کردم.
تبلت خوب ، متناسب، سبک ، صفحه شفاف، قدرتمند، و ....
حتما مطالب دفترچه راهنما به دقت بخونید. در این دفترچه گفته که حتما تبلت برای برای شارژ اول نزدیک 8 ساعت باید به برق وصل باشد. در سری های بعدی ، بعداز 100 درصد شدن حتما از برق بکشید (زیاد متصل به برق نباشد).
در کل من به غیر از چند ساعت در شبانه روز که از این تبلت استفاده نکرده ام . بقیه موارد با این تبلت کار می کردم. دو روز هست که شارژ نگه داشته است. که به نظرم متناسب هست.
مشکلاتی که هست نبود امکانات جانبی (مانند کیف و ....) این تبلت هست.
خواستید بخرید حتما اقدام کنید. موفق باشید.",6,1,5,3,4,5,4,5
"همه چي",هيچي,"عالیه شک نکنین یکی از بهترین تبلت ها توی این رنج قیمت عالیه",5,1,5,5,5,5,5,3
