positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"اگه بشه یک گرافیک خوب براش گرفت عالی میشه.",0,4,3,3,3,3,3,3
"رم
پردازنده
trackpad","صفحه نمايش
صفحه کليد
باتري","اول از همه بگم صفحه نمایش برای اولین میزنه تو ذوقتون
ولی کم کم بهش عادت میکنبن، صفحه کلیدش دکمه هاش اشتباه هستن
حروف د ذ به سختی پیدا می شن بعلاوه اینکه بک اسل اول از همه بگم صفحه نمایش برای اولین میزنه تو ذوقتون
ولی کم کم بهش عادت میکنبن، صفحه کلیدش دکمه هاش اشتباه هستن
حروف د ذ به سختی پیدا می شن بعلاوه اینکه ""بک اسلش"" یعنی کاراکتر ""\" اصلا توی کیبوردش نیست.
باتری هم نه 9 ساعتیه نه 6 ساعت، با استفاده معمولی 3 ساعت جواب میده.
حالا پردازنده و رم نیازتون رو برطرف می کنه و شما لگ نمی بینید.
با این ایرادایی که گفتم میشه کنار اومد و من پشیمون نیستم ، چون تو این رنج قیمت بهترین مدل بود.",0,0,4,4,2,1,4,3
"[""رم بالا\nسي پي يو هفت هسته اي اسکايتل(اخرين و قويترين نسل پردازنده هاي اينتل)\nصنعتي بودن\nباتري فوالعاده\nصفحه نمايش مات\n""]","[""تنها ضعفش اينه که گرافيکش يکمي پايينه گرافيکش چهار بود عالي ميشد ولي بازم گرافيک دو اين مدل خيلي عاليه""]","اغا این لب تاپ خیلی خوبه اگه میشه موجودش کنید بزارید تو پیشنهاد شگف انگیز
من همه چیزش رو بررسی کردم نسبت به قیمتش از خیلی از لب تاپ ها تو این بازه خوبه",3,7,3,3,3,3,3,3
[],[],"کی میگه این گرافیکش ضعیفه؟ تا به حال که تمام حریفاش از نظر گرافیکی در مقابل این چیزی واسه گفتن ندارن باور نمی کنی خرجش فقط یه جستجوی کوچک تو اینترنته گرافیکش از نوع ddr5 هستش در نالی که حتی ماله z5170 از نو دی دی آر 3 هستش",4,7,5,5,5,3,4,5
"[""همه چيز به جا بوده و لنوو واقعا سنگ تمام گذاشته""]","[""به نظر من هيچ ايرادي نداره""]","به نظر من این لپتاپ واقعا ارزش خرید رو داره و تا چند سال دیگه به راحتی تمتم بازی ها در این قابل اجرا خواهند بود و کسایی که میگن گرافیکش ضعیفه باید بگم گرافیک به جا گذاشته شده و اگر در آن ضعفی هم باشه که نیست لنووو امکان افزایش گرافیک رو قرار داده و از طرفی دیگه رم و سیپیو واقعا قویش تمام نقص هارو جبران میکنه و از طرفی دیگه تو این رنج قیمت هیچ لپتاپ به قوی ای و با کیفیتی این تینک پد وجود ندارد",5,2,5,5,5,3,4,5
[],[],"سری e560 نمایشگر فول اچ دی داره که لطفا اونو موجود کنید",4,1,4,4,4,4,4,4
Cpu.ram,"صفحه نمايش","در کل لبتاب خوبیه ولی گرافیکش ضعیف اگه میدونستم نمی خریدم.",2,7,3,4,3,3,3,4
"رم 16 گيگ
صفحه کليد و تاچ خوب
کيفيت ساخت خوب
CPU‌ قدرتمند و کم مصرف
ThinkPad بودن!
رم 16 گيگ
صفحه کليد و تاچ خوب
کيفيت ساخت خوب
CPU‌ قدرتمند و کم مصرف
ThinkPad بودن!","صفحه نمايش
صفحه نمايش","من این لپ تاپ رو حدود یک ماهه که خریدم. یه SSD 256 گیگ سامسونگ EVO هم گرفتم به عنوان هارد اصلی و به لطف CPU قوی و رم 16 گیگ دیگه سرعتش فوق العاده بالا هستش. از هارد اصلی خودش هم که 1 ترابایت هستش به عنوان هارد اکسترنال استفاده می کنم. در کل این لپ تاپ مناسب عده ای خاص که از لپ تاپ برای کار استفاده می کنند هستش. من خودم کارم برنامه نویسی هست و این لپ تاپ رو به عنوان سیستم اصلیم گرفتم و تو خونه به مانتیور و موس و کیبورد وصلش میکنم و ازش استفاده میکنم. ظاهرش به نظر من خوبه ولی خیلی شیک و مجلسی نیست! نباید هم باشه چون سری ThinkPad لپ تاپ های صنعتی هستن و ظاهر لپ تاپ اهمیتی نداره.
به نظرم بزرگترین مشکل این لپ تاپ فقط صفحه نمایش ضعیفش هستش که اون هم برای من که بیشتر مواقع از مانیتور جداگانه استفاده می کنم خیلی مهم نیست.",12,1,4,5,4,3,5,4
