positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"کيفيت خوب صفحه نمايش هارد يک ترابايت کارت گرافيک 4 رم 8 و مهم تر از همه سي پيو قدرتمند","زود لک بر ميداره ويندوز ميپرونه موقعي که تو شارژه بدنه لب تاپ برق دار ميشه تاچ بي کيفيت کيبورد فارسي نداره فقط ويندوز 10 ميخونه","من از دیجی کالا گرفتمش ویندوز پروند دوباره ویندوز نصب میکنم اگر خوب نبود می برمش گارانتی",1,0,5,5,5,5,5,3
"رم 8
i7
نور پس زمينه
روکش مات
گرافيک 4","لکه گيري زياد و بيش از حد","لپتاپ خوبیه در رنج قیمتی خودش
فقط تنها چیزی که میشه روش عیب گذاشت لکه گیری زیادشه
توصیه میکنم بخرید",0,0,5,3,4,4,5,3
"CPU Core i7 7500U 7th Gen-KabyLake
Graphic 940MX GDDR5
Port USB2-USB3-Type C
HD Camera - LED FULL HD 1080 - HDMI & VGA
8GB DDR4","جذب اثر انگشت","کاملا راضی کننده... مطمئن باشید",2,1,5,4,3,5,4,4
"سي پي يو قوي","لکه گيري بالا گرافيک بهتر از اين مي تونست باشه","1ماهی هست که این لپ تاپ را خریداری کردم تا حالا که مشکل خاصی نداشته البته ازش کار سنگین نکشیدم فقط استفاده معمول بوده ویندوز لپ تاپ6الی 7ثانیه طول میکشه که بوت بشه حتما ویندوز 10نسخه 64 بیتی نصب بشه تا همه درایور هارو بشناسه نقطه قوتش سی پی یو سری 7500U هستش البته این نوع سی پی یو ها از نوع کم مصرف هستند وقدرت پردازش آن رانباید با سری Qیا سری Hمقایسه کرد چون تخصص آنها برای لپ تاپ های گیمینگ هست وبه تبع قیمت بالای دارند.در کل نسبت به هم نوع های خودش یه سرو گردن بالاتر هست.شاید نقطه ضعف لپ تاپ یکی کیفیت صفحه نمایش وهمچنین کارت گرافیک دانست .کارت گرافیک لپ تاپ به نظر من حداقل باید GTX930باشه که خیلی قویتر از 940mxمی باشد.البته من تجربه بازی با لپ تاپ رو نداشتم اگر کسی تجربه بازی با لپ تاپ رو داره خواهش میکنم تجربه خودش رو در اختیار دوستان قرار بدهند تا انتخاب بهتری داشته باشند.نرم افزارهای که من بصورت تخصصی بالپ تاب کار کردم ایتبس واتوکد وهمچنین sap و سیف هستش که خیلی زودتر از سیستم خانگی خودم مدل های که انجام داده بودام را تحلیل کرد.در این یک ماه استفاده حداقل روزی 7ساعت با لپ تاپ کار می کنم که دمای سی پی یو وهارد از 32درجه بیشتر نرفته وبه نظرم در کل ارزش خرید رو برای کسانی که سرعت مد نظرشون باشد را داردواقعا از نظر اجرای نرم افزار کم نمی آوردوسرعت قابل قبولی برای اجرای چند نرم افزار همزمان را داردفقط وفقط تنها نقطه ضعف لپ تاب را به نظر من کارت گرافیک می باشد.البته بازم میگم من تجربه بازی با لپ تاپ رو نداشتم.برا اساس نوع کارت گرافیک نظرم روبیان کردم.",6,5,3,3,3,3,3,3
,,"سلام تو مشخصات نور کیبورد و صفحه نمایش مات جزو قابلیت هاش نبود که باید بگم داره.
از لحاظ سخت افزاری هم در سطح خیلی خوبی قرار داره و اگه بخواین نسبت به قیمت مقایسه کنید متوجه میشید که عالیه.
استفاده از اخرین مدل پردازنده Intel , kaby lake , خیلی جذابش کرده
ولی کاش به جای یه هارد معمولی ، ssd استفاده مبکردن که بی نظیر میشد
انتظار گیمینگ خیلی بالا ازش نداشته باشین ولی در سطح خودش خوب اجرا میکنه
طراحی جالبی داره و رنگ سیاهش عالیه ولی بدیش اینکه خیلی زود پر جای انگشت میشه",12,2,5,4,4,5,3,5
"همه چيزش",,"من i5 رو دارم چه خیلی ازش راضیم واقعا نشده که بخواد اذیت کنه از دیجی کالا نخریدم ولی خب بازم راضیم ازش توصیه میکنم بخرید با دوام هست خودم بهشخصه از طرح کیبوردش خوشم‌میادکه هیچوقت د موده نمیشه",6,1,4,3,5,5,5,5
"کارت گرافيک و سي پي يو","بدنه ضعيف هارد خيلي سرعت پايين صفحه نمايش بي کيفيت","هرگز هرگز اشتباه من رو تکرار نکنید ضعف بسیار زیاد بدنه و هارد فوق العاده ضعیف",3,13,3,3,3,3,3,3
"فوق العاده به صرفه
کانفيگ قدرتمند
صفحه نمايش FHD با روکش مات
CPU نسل 7
کيفيت ساخت خوب","لکه گيري بسيار بالا","سلام.
دوستان این لپ تاپ و Lenovo IdeaPada 510 تو این رده قیمت بهترین اند .
این لپ تپ کاربرد مالتی مدیا داره و نباید انتظار گیمینگ ازش داشت ولی در حد خودش بازی ها رو با کیفیت نرمال اجرا میکنه .
اگه موجودی تون در این حد هست همین و بهتون پیشنهاد میکنم . ولی با حدود 400.000 تومن بیشتر میتونین Asus V502UX بگیرین که گرافیک GTX 950 4G داره و خوراک گیم ه.
این لپ تاپ برای کارای دانشجویی و کارای خونگی مناسبه .
نه صدای زیادی داره و نه مشکلی تو بالا اومدن ویندوز .
توجه کنید که این سری Back Light Keyboard هم داره.
موفق باشید .",11,2,5,5,5,4,5,5
"سخت افزار بالا
DDR4","کندي در اجراي ويندوز
کيبوردش مناسب نيست کار کردن باهاش زياد چنگي به دل نميزنه
صفحه نمايش براق
کيبورد نور پس زمينه ندار
صداي خيلي اعصاب خرد کني داره","سلام دوستان 14 روزه این مدل رو خریدم از چند روز پیش صدای گوش خراشی پیدا کرده و واقعا اعصاب رو خرد میکنه و نمی تونم باهاش کار کنم.
منکه اصلا راضی نیستم و پیشنهاد میکنم کلا ایسر نخرید.
این 14 روز لای دستمال کاغذی نگهش داشتم و زیاد هم جابه جاش نکردم
اما این، مشکل پیش اومده که خیلی جا ها خوندم میتونه از هاردش باشه...
و یا از فنش که فن با روغن کاری مشکلش رفع میشه اما هارد رو باید تعویض کرد.
از اونجاییم که من تازه دو هفتس گرفتم کالای معیوب نمیخام و میبرم پس بدم
بجاش یکی آکبند بیارم. و اگر تونستم پولمو بگیرم حتما میام از دیجی خرید کنم
دوستان توجه کنید موقع خرید پلمپ شده شو بگیرید.
(بهترین کار اینه از دیجی کالا بخرید. اشتباه منو تکرار نکنید! )
با تشکر از دیجی کالا",6,13,0,2,0,0,1,1
"نور پس زمينه داره
تمامي پورت ها رو داره",,"لپتاپ خوبیه. همه چی تکمیل با سخت افزار قدرتمند که خیالتونو راحت میکنه",5,3,5,4,4,5,5,5
