positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"این دیگه یه لپتاپ معمولی حساب میشه نو گیمینگ چون با وجود کارت هایی مثل gtx 1080 این دیگه به چشم نمیاد برای همین الان حدود 6 میل میارزه نه انقدر",6,3,0,3,5,5,3,3
"همه چيز عالي
همه چيز عالي","4k
قيمتش يخورده","کاملا عالی لپ تاپ خوبیه ولی اکه مشکل کالی ندارید حتما بخرید شاهکاره",2,7,5,5,5,5,5,5
,,"من چون لپ تاپ گیمینگ ایسوز دارم خواستم این مطلب را گفته باشم.هیچ لپ تاپ گیمینگ یا غیر گیمینگ ایسوز در صورت متصل نبودن به اداپتور شارژ حداکثر قدرت را ندارند ها.
یعنی حتی قدرت لپ تاپ را در حالت باطری بر روی performance هم بگذارید باز هم قدرت کافی برای اجرای گیم را ندارد.فقط در حالت متصل به شارژر بهترین شفافیت صفحه نمایش و قدرت اجرایی کارت گرافیک را دارید.
باتشکر.",23,2,0,3,5,5,2,1
"همه چيش",هيچيش,"من 2ساعتی هست که این لب تابو خریدم عالیه خیلی خوبه

فقط برای گیمر هاس واقعا عالیه",3,32,5,5,5,5,5,5
,,"کارت 1060 از 980m قویتره ولی 1070 یا 1080(لپتاپ یا دسکتاپ ) هم از 980m و هم 980 دسکتاپی سریعتره . والان خرید لپتاپی با کارت سری 900 توصیه نمیشه",13,2,3,3,3,3,3,3
,,"دوست عزیز
لطفا اشتباه نکنید
همه میدانیم این کارت گرافیک نسخه دسکتاپ هست،اما اگه بنچمارک هارو ببینید متوجه میشید باز هم این کارت گرافیک در مقابل نسخه های سری جدید حرف زیادی برای گفتن ندارد
ارزش خرید و بقیه چیز ها دیگر به عهده خودتان
باتشکر",9,3,1,5,4,2,2,5
"طراحي زيبا","قيمت بسيار بالا","با سلام دوستان توجه داشته باشید که درسته که در این لپ تاپ از کارت گرافیک gtx 980 نسخه دسکتاپ استفاده شده که قدرتی دو برابر 980m معمولی استفاده شده در موبایل ها داره ولی باز هم از لحاظ قدرت به پای کارت های 1070 و 1080 نمیرسه ولی نه در حد خیلی زیاد با این حال باز هم بسیار قدرتمنده من ایرادی به این لپ تاپ نمیگیرم بجز قیمت از سایر لحاظ بهترینه",9,1,0,3,3,3,3,3
,,"سلام ، دوستانی که میگن سرى 1060 و 1070و1080 قویتر از کارت 980 توجه کنن که 980 این لبتاپ نسخه دسکتاپ نه موبایل تمام کارت گرافیک هایى که دوستان گفتن ازین گرافیک ضعیفتره، دوستان شما 980 m میفرمایید نه 980 دسکتاپ",11,20,3,3,3,3,3,3
,,"سلام.
کارت گرافیک این لپتاپ قدیمی شده و نسخه جدید تر که سری 1000 هستش(مثلا 1070) به بازار اومده.
من خرید این لپ تاپ رو اصلا پیشنهاد نمیکنم",16,37,0,3,3,3,3,3
"رم
گرافيک 8
سيستم خنک کننده آبي
طراحي فوق العاده
کيفيت ساخت فوق العاده","شايد گرافيک 980
دي گه هيچي","من 1 ماهه دنباله یه لب تاپم که هر کاری بشه باهاش کرد بازی سنگین وب گردی فتوشاپ و .... این لپ بهترینه بین مایکروسافت ام اس آی و ایسر رمش حف نداره تا 5 سال بازیارو با حداکثر کیفت میاره کلا اگه مشکل مالی ندارید حرف نداره ممنون...",8,32,4,5,5,5,5,5
