positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"وزن کم
طراحى زيبا
باطرى
قيمت",,"با سلام
بنده حدود یک هفته است از این لپ تاپ استفاده مى کنم. تجربیاتم رو با شما در میون مى ذارم تا انشالله به تصمیم گیرى شما براى خرید یا عدم خرید این دستگاه کمک کنم.
وزن لپ تاپ یک کیلو و نیم، بسیار باریک و قابل حمل و از نظر طراحى شبیه به مک بوک هاى کمپانى اپل هست. اما از نظر نرم افزارى به هیچ عنوان قابل قیاس با اون دسته از لپ تاپ ها نیست.
بدنه از پلاستیک جنس خوب ساخته شده و به سادگى قابل تشخیص نیست، کیفیت و نماى داخلى لپ تاپ یک درجه از بیرون دستگاه کم تر بود ولى به هیچ وجه توى ذوق نمى زد. کیبورد خوبى داره، روى کلید ها خیلى نرم نیست اما مشکلى ایجاد نمى کنه. متاسفانه روى کلیدهاى کیبورد من حروف فارسى نبود.
کارایى این دستگاه رو باید نسبت به قیمت سنجید. اگر نیاز به یک لپ تاپ براى کارهاى روزانه مثل تایپ، وبگردى، ارسال ایمیل، کارهاى محاسباتى ساده و تماشاى فیلم دارید این لپ تاپ با قیمتى مقرون به صرفه قطعا پاسخگوى نیاز شما هست.
دو پورت یو اس بى و یک جایگاه براى اتصال میکرو اس دى کارد جهت ارتقاى حافظه، روى دستگاه هست. اما پورت یو اس بى 3 ندارد.
محافظى روى صفحه نمایش بود که جدا مى شه، نگران نباشید. هنگام کار با دستگاه هیچ صدایى نمى شنوید اما متاسفانه قسمت راست دستگاه هنگام اجراى بازى ساده اى مثل solitaire هم داغ مى کنه!
اما هنگام تایپ و تماشاى فیلم این مشکل رو نداشت.
تا به حال خدا رو شکر، بدون هیچ ایراد فنى مثل هنگ کردن یا ریست شدن و ... ساعت ها روشن بوده. اسپیکر هاهم معمولى هستند، کیفیت صفحه نمایش هم همینطور هست. در کل راضى کننده اند. تاچ پد کمى زبر هست، اما مشکلى هنگام کار نخواهید داشت.
ویندوز 10 اوریجینال روى محصول نصب هست و افیس 365. از نظر باطرى هم خیالتون کاملا راحت باشه تا 8 ساعت کار مداوم رو دووم میاره، کمى دیر شارژ مى شه و سیم شارژر هم یکم کوتاه هست.
گارانتى لایف سرویس یا سازگار، شرایط یکسانى دارن، خیلى حساسیت نشون ندید. بخصوص که این روزها دیگه همه ى ما از وضعیت خدمات گارانتى ها اطلاع داریم!
امیدوارم براتون مفید واقع شده باشه.",0,0,3,3,3,3,3,3
"قيمت مناسب
وزن سبک
باطري فوق العاده
باريک و شيک
ويندوز 10 اورجينال","ابتدا در برابر اين قيمت نميشه گفت ضعفي داره
کيفيت صفحه نمايش که با توجه به قيمت منطقيه
تاچ پد زياد دلچسب نيست که با يک موس حل ميشه
حافظه داخلي کم
پورت USB فقط 2 عدد","بهترین انتخاب برای افرادی که فقط نیاز به یک لپ تاپ ساده و ارزان قیمت و در عین حال با کیفیت مناسب و مصرف باطری عالی دارند
در مجموع با توجه به مبلغی که پرداخت می کنید ارزش خرید دارد و تقریبا میشه گفت با این مبلغ گزینه بهتری به ندرت پیدا خواهید کرد
صرفا جهت مصارف معمولی می باشد پس انتظار زیادی نباید داشت",3,0,5,5,4,2,2,5
,,"من یه ماه قبل اینو از دیجی با گارانتی سازگار خریدم 10 روز بعد تحویل وقتی محافظ صفحه رو کندم دیدم یکی از پیکسل ها سوخته با گارانتی تماس گرفتم گفتن کمتر از سه تا پیکسل مورد قبول گارانتی نیست
کیفیت ساخت بسیار پایین است.",5,0,0,0,0,0,0,0
"قيمت
زيبائي
سبکي، باريکي و ظرافت
Windows 10 Original
تاچ پد مالتي تاچ","با توجه به قيمت- هيچ
کاش کيبورد فارسي داشت (کيبورد عربي است)
يک روکش بسيار براق (احتمالاً محافظ) روي صفحه نمايش آن چسبيده .
شارژر نسبتا بزرگ است","با توجه به قیمت این لپ تاپ (که برابر یک تبلت متوسط است)، کارائی مناسب و قابل قبولی دارد، نازکی، سبکی، ظرافت و زیبائی آن مثال زدنی است و به راحتی از پس کارهای روزمره، کار با اتوکد، آفیس و وب بر میآید. با اضافه کردن 64 گیگابایت رم میکرو اس دی سن دیسک (خرید از دیجیکالا) و یک Flash Memory بسیار کوچک به ظرفیت 32 گیگابایت هیچ مشکلی از نظر ظرفیت ندارم. تنها مشکلی که دیدم یک محافظ صفحه نمایش روی نمایشگرش چسبیده که بسیار براق است و کنده هم نمی شود. چند حباب ریز هم زیر این محافظ هست.
وجود تاچ مالتی تاچ بسیار مفید است. وجود ویندوز 10 اریجینال که آپدیت هم می شود خیلی دلگرم کننده است. زیبائی و ظرافت آن مثال زدنی است به نحوی که تا وقتی قیمت خرید آن را به دوستان نگفتم همه فکر می کردند یک لپ تاپ چندین میلیون تومانی است.",5,0,5,4,4,3,3,4
"قيمت مناسب",ندارد,"خیلی لب تاب خوبیه برای کسی که اهل سخت افزاری نیست و فقط برای وب گردی فیلم نگاه کردن میخواد خوبه",3,0,5,1,2,1,0,1
,,"بنظرم خیلی فوق العاده هستش فقط درایو نوری میشه خودمون بخریم بهش نصب کنیم که دی وی دی و سی دی بزاریم نگاه کنیم؟باتشکر دی جی کالا حرف نداره خیییللللی خوبه دمشون گرم که همچین برنامه خوبی برای مردم گذاشتن ویک خدا قوت به همه کارکنانش و بالاخص مدیر عامل باهوش و با تدببر مجموعه بی نظیر دی جی کالا.ممنون",12,9,5,5,5,5,5,5
,,"دستگاه بسیار عالی است",12,4,3,3,3,3,3,3
,,"فقط کافیه از نزدیک ببینیدش...شنیدن کی بود مانند دیدن...",21,5,5,3,3,3,3,3
"بسيار سبک
توليد نکردن صدا و حرارت
طراحي زيبا
عمر باطري فوق العاده","بدنه ي پلاستيکي و ضعيف (البته به دليل سبکتر شدن)
تاچ پد نه چندان دقيق","من این نوت بوک رو از دیجیکالا نخریدم. از یکی از دوستان هدیه گرفتم که توی مراسم رونمایی همین نوت بوک، جایره اول رو از شرکت سازندش i-life برده بود. :) در نوع خودش فوق العاده بود.من نوت بوک HP دارم. برای نشون دادن عکس و اطلاعات مجبور بودم اینور اونورش کنم با اون سنگینی. از تبلت هم نمیخواستم استفاده بکنم. این دستگاه هم برای درس خوندن، مرور کردن اطلاات و استاد کاری و اینترنت گردی عالیه. قیمتش نسبت به قدرتش یه کم بالاست. ولی باز هم می ارزه. من کاملا از داشتنش راضی ام.",15,3,3,4,4,4,4,3
"طراحي زيبا و ضخامت کم بالا امدن سريع ويندوز نگه داشتن خوب شارژ باتري","کيفيت پايين کيبرد و تاچ پد حافظه خيلي خيلي کم دستگاه نداشتن پورت LAN","با سلام و احترام
به نظر بنده دستگاه خوبیه اما فقط برای وب گردی و مسایل مشابه
در حد خودش خوبه و قیمتی مناسبی داره.
خداییش طراحیش عالیه و خیلی سبکه
این خوبه که گارانتی معتبری مثل سازگار ارقام داره
برای کارهای روزمره و کوچیک دستگاه خوبیه اما ازش انتظار بیشتر ازین نداشته باشین
با تشکر از دیجی کالا",11,5,3,3,3,3,3,3
