positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"سيستم بسيار قوي",کيبرد,"این لپ تاپ خیلی خیلی عالیه فقط باید چشمات رو ببندی سفارش بدی هم سی پی یو قوی داره هم رم بالا و هم کارت گرافیک عالی باتریش هم مناسبه بدنش هم بد نیس با لپ تاپ که کشتی نمی‌گیرند که واسه همین این لپ تاپ ارزش خرید بالایی داره",0,0,5,5,3,4,3,4
"سخت افزار قوي
شمايل زيبا
قيمت عالي","بدنه ي پلاستيکي
باتري
صفحه نمايش","سلام
من برعکس بعضی از دوستان واقعا این لپ تاپ رو خریدم و سی میکنمخوب قضاوت کنم.
شاید اولین چیزی که ما باهاش برخورد میکنیم بدنه ست که خیلی نقش زیبایی داره ولی پلاستیکیه. برای من پلاستیکی بودنش مهم نیست چون پلاستیک تقریبا قوی ایه و من باهاش کشتی نمیگیرم.
و اما وقتی روشنش میکنم صفحه نمایش کیفیت خوبی دارد اما این که از TFT استفاده شده زیاد آزار دهنده نیست چون هیچ وقت نمیرم از بالا یا بغل بهش نگاه کنم و مانیتور رو تنظیم میکنم و خداروشکر مانیتورش به خد بالایی باز میشه.
بعدش هم مسئله هاردویر پیش میاد که cpu اون توی حتی لپ تاپ های هشت میلیونی هم استفاده شده. GPU ی اون هم در سطح بالایی هستش ولی در حد فوق العاده نیست ولی من به عنوان یه گیمر هیچ مشکلی پیدا نکردم. 16 گیگ رم هم در سطح خیلی بالایی هستش چون توی بعضی از لپ تاپ هایی برای گیمینگ هم از 8 گیگ رم استفاده شده. هاردش هم از پس هرچیزی، از طراحی گرافیکی گرفته تا گیمینگ، برمیاد و تقریبا هیچ لگی ایجاد نمیشه.
اما بلندگوهای آن چیز خوبیه اما عالی نیست. از پس مصارف روزانه برمیاد. فن های دستگاه هم اکثرا دستگاه را کاملا خنک نگه میدارد اما برای گیمینگ حرفه ای یک کول پد را به شما پیشنهاد میکنم.
و اما تنها چیز آزار دهندۀ لپ تاپ باتریست... شما میتوانید در مصارف روزانه و مصارفی چون طراحی گرافیکی، فیلم دیدن و برنامه نویسی از این لپ تاپ سه ساعت استفاده کنید. اما باتری برای کارهای سنگین مثل طراحی صنعتی و گیمینگ دوام خوبی ندارد.
در نهایت این لپ تاپ خیلی خوبیست و قیمت فوق العاده ای دارد و با اینکه که از سری ROG نیست اما صد در صد در دسته گیمینگ قرار میگیرد.

با تشکر",3,0,5,4,3,4,5,4
"سخت افزار
قيمت مناسب
باتري اينترنال
با توجه به hdd بودن سرعت لود شدن بالايي دارد","کيبورد
زاويه ديد محدود
کيفيت ساخت","سلام
بنده خودم دو ماهه که این لپ تاپ رو خریدم از لحاظ سخت افزار که واقعا عالی چون بعد یک ماه تحقیق کردن به این رسیدم
برای کسایی که میخوان کارشون راه بیفته واقعا عالی هم به لحاظ قدرت و سرعت سخت افزار
اما کسایی که میخوان پوز لپ تاپ شون رو بدن نه پیشنهاد نمیکنم",1,0,5,5,2,4,4,3
"سخت افزار بسيار قوي که هر بازي رو به راحتي ران ميکند","کييوده بدون نور پس زمينه چسمه آدمو اذيت ميکنه","این لب تاب واقعا از نظر نسبت قیمت به سخت افزارش عالیه
هاردش 2 ترابایته!! نظر شخصی:(برای من hdd با ssd فرقی نمیکنه حالا میخواد یکم دیر تر بازی با برنامه هارو لود کنه)
رم و گرافیک بسیار بالا
تنها بدیش همین بدنه پلاستیکی با کیبوردشه و الا واقعا عالیه",3,1,4,5,3,5,5,3
"سخت افزار خوب","رنگ صفحه کليد چشم رو اذيت ميکنه مثلا من چشمام ضعيفه به سختي ميتون دکمه ها رو پيدا کنم جنس و رنگ لپتاپ","در کل میرزه نسبت به بقیه لپ تاپ ها تو رنج خودش عالیه",5,1,5,3,3,3,5,3
"صفحه نمايش
تاچ پد
کيبور
سخت افزار
باطري بدک نيس",هيچي,"من 3 ماهه این لپتاپ رو خریدم.ولی نه از دیجی.
سخت افزارش عالیه باطریش هم بد نیس
مناسب برای برنامه نویسی و بازی سازی با آنریل انجین.
ویژال استودیو.یونیتی.کرای انجین و ....
بسیار عالی برای بازی.
من که عیبی ندیدم",8,0,5,5,5,5,5,5
"سخت افزار عالي نسبت به قيمت که از پس هر بازي بر مياد","کيبورد بدون نور پس زمينه
صفحه نمايش نه چندان خوب","سخت افزار این لپ تاپ نسبت به قیمت عالیه و از پس هر بازی بر میاد.
تنها عیبش اینه که رنگ حروف کیبورد قرمزه و چون نور پس زمینه نداره واقعا چشمو اذیت میکنه.صفحه نمایشش هم زاویه دید داره و یکم اذیت میکنه اما برای یک گیمر بد نیس چون به سخت افزارش ارزش داره.",5,0,5,5,5,5,5,5
"حافظه بالا","صفحه نمايش فوق العاده بي کيفيت کيبورد بدون نور و عدم ديد حتي در نور نسبتا کم بدنه پلاستيکي بي کيفيت","سلام دوستان بنده خودم از همین دیجی کالا این لپ تاپ گرفتم،و بیشتر به خاطر مشخصات فنی خوبی که فکر میکردم داره خریدم،بعد که تحویل گرفتم از جنس بد بدنه حالم گرفته شد،گفتم عیب نداره کامفیگش بالاعه ،روشن کردم دیدم صفحه نمایشش واقعا بی کیفیته،و چون پنل ips نداره فقط باید مستقیم نگاه کنی یکم کج نیگاه کنی سیاه میشه!!!!کیبوردشم نور نداره و چون برچسب روی کیبورد قرمزه عملا هیچی نمیبینه آدم و واقعا چشمو اذیت میکینه و هیچ نکته مثبتی نداره،فقط هاردش زیاد بود که اونم زیاد به کار نمیاد،چون دورش کمه پورش کنی هنگ میکنه!!!در کل من اصلا از این لپ تاپ با این قیمت راضی نبودم و تقریبا با یک میلیون ضرر بعد دو ماه فروختم،و به جاش ux303 گرفتم و واقعا از همه لحاظ ازش راضیم و به نظرم بهترین تو قیمت خودشه،بدنشم تمام آلومینیوم هست،صفحه نمایش عالی،ویندوز 10 اورجینال نصبه روسیستم،سرعت فوق العاده،بسیار بسیار شیک و زیبا،من طلایی شو گرفتم،پیشنهاد میکنم kx550 رو نگیرین،پشیمون میشین",3,12,2,3,1,1,3,1
"همه چيزش",باتري,"واقعا لپ تاپ خوبیه همه چیزش کامله ولی یه خورده باتریش ضعیفه",7,0,5,5,5,5,5,4
,,"اقا از این بهتر نمیشه اگه ب امید باریتعالی دیجی کالا این محصول رو شگفت انگیز کنه خیلی خوبه میشه و منم حتما می خرمش",10,1,5,5,5,5,5,3
"ارزش خريد بسيار بالا
سخت افزار به روز و قوي که هر بازي رو اجرا ميکنه
طراحي زيبا","باتري ضعيف","سخت افزار فوق العاده قوی داره. ارزش خریدش نسبت به قیمت خیلی بالاس",17,0,5,5,5,5,5,5
"رم 16 گيگ،
باتري خوب
قيمت بسيار مناسب
گرافيک خوب","کيبردش کمي ضعيفه","من یک ماهه این لپ تاپ رو خریدم
واقعا عالیه،درسته بدنه اش پلاستیکه و کیبردش کمی بی کیفیته ولی در عوض یک سخت افزار بیسار قدرتمند داره،یکی دیگه از مزیت هاش باتری اکسترنالش هست،لپ تاپ های موجود دربازار باتریشان اینترنال هست که یکی از معایب لپ تاپ محسوب میشه چون که فرضا شما می خواهید یک کار محاسباتی سنگین با لپ تاپ کنید که در این صورت دمای لپ تاپ بالا می رود و اگر باتری اینترنال باشد دمای باتری هم بالا می رود و به باتری آسیب می زند ولی اگر باتری اکسترنال باشد باتری رو در می آورید و با برق تمام کار سن،ین خود را انجام می دهید که در این صورت عمر مفید باتری هم حفظ می شود
دیگر مزیت این لپ تاپ رم 16 و هارد 2 ترابایت و سی پی یو قوی هستش.کلا لپتاپ خوبیه.با 4 میلیون این لپ تاپ خیلی خوب را می توان خرید.باتری اش هم برای کار معمولی 4 ساعت رو رو حالت نور صفحه 50کیا 25 درصد جواب می ده که خوب هم هست.بسیار سرعت بوت شدن و بالا آمدن ویندوز هم بالاست.",18,0,5,5,3,4,5,4
