positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"صفحه نمايش IPS و روکش مات
طراحي نقره اي با کيبورد مشکي و نور پس زمينه اش","دکمه شيفت سمت چپ کوچيکه
دکمه context menu (راست کليد) تو کيبورد وجود نداره","برای اینکه به دوستانی که این لپ تاپ رو خریده اند و یا در حال انتخاب هستن کمک کنم چند نکته رو که تو استفاده از ش بهش برخوردم اینجا نوشتم
1. اثری از درایور ها نبود باید خودتون از لینک زیر دانلود کنید
البته با حساب سرعت و محدودیت های اینترنتی دی جی کالا می تونه با انجام این کار، کیفیت خدماتش رو بالا ببره (پیشنهاد به دیجی کالا)
2. کسانی که با لپ تاپ زیاد مطالعه یا کار می کنن باید به صفحه نمایش بسیار توجه کنن از این جهت این لپ تاپ عالیه
3. طراحی نقره ای با کیبورد مشکی و نور پس زمینه اش عالیه
4. این لپ تاپ برای بازی نیست ولی من Rise of the Tomb Raider رو نصب کردم و استفاده از گرافیک و display رو کم کردم و بدون مشکل اجرا کرد به جز چند مورد که موقع اجرا یکم کند شد ولی در کل برای بازی توصیه نمی کنم. در کاربری مالتی مدیا که بسیار عالیه و برای برنامه نویسی من sql server 2015 و visual studio 2015 update 3 رو نصب کردم و به خوبی جواب میده فقط به دلیل نصب سرویس های sql زمان راه اندازی ویندوز یکم کند شد که اگر یه هارد ssd اضافه بشه احتمالا مشکل حل میشه
5. دکمه شیفت سمت چپ کوچیکه و بعضی اوقات موقع تعویض زبان کلید بالا رو به جاش فشار میدم
6. دکمه context menu (راست کلید) تو کیبورد وجود نداره
7. فشردن دکمه فیزیکی راست کلید (context menu) روی تاچ پد که خیلی سفت هم هست واقعا برای کسایی که از تاچ پد استفاده میکنن سخته تو تنظیمات synaptics (نرم افزار تاچ پد) هم گزینه ای برای باز کردن منوی راست کلید در ویندوز 10 نیست ولی اگر با key word مناسب search کنید میشه راهی برای باز کردن منوی راست کلید با کلیک همزمان دو انگشت پیدا کرد (با حساب تاچ پد عالی میشه)
8. تا الان که اثری از داغ شدن زیاد ندیدم",0,0,5,4,4,5,5,4
,,"من یکی مثل این دارم ولی backlightداره",0,0,3,3,3,3,3,3
"طراحي باريک ، شيک و نسبتا سبک
سخت افزار سطح بالا
عملکرد بي صدا حتي صداي فن
اسپيکرهاي عالي
بدنه با کيفيت و مقاوم","تعداد پورت usb کم
عدم وجود نمايشگر led واسه اطلاع از فول شدن باتري
دوام باتري متوسط
مشکل يافتن دکمه اجکت درايو نوري با لمس تنها (بدون نگاه کردن)
نداشتن ويندوز اوريجينال و درايور سخت افزارها","با توجه به قیمت، کیفیت و کارایی لپتاپهای لنوو بهترین فعلی بازارند در مورد این مدل خاص هم تو مدت یک ماهی که دارمش هیچ ایراد و هنگ و مشکل دیگه ای از نظر عملکردی ازش ندیدم و در مجموع خیلی ازش راضیم واسه همین خریدشو به همه توصیه میکنم
در ضمن با توجه به تجربیات شخصی خودم و اطرافیانم باید بگم محصولات مختلف برند ایسوس از مادربورد و تبلت گرفته تا لپتاپ و ... ایراد اولیه و خرابی بعدی زیاد دارن و خریدشونو مطلقا توصیه نمیکنم",4,3,4,3,3,4,4,5
"صفحه نمايش با کيفيت و ظاهر شيک",اسپيکر,"همه چیزش خوبه فقط اسپیکرش زیر ش قرار گرفته که اززکیفیت صداش کم کرده و میتونه تنها نقطه ضعفش باشه",1,0,3,3,3,3,3,3
"گرافيک خوب
نور پس زمينه
صفه نمايش خوب
رم هاي عالي
ظاهر خوشگل مخصوصا اگه نقره اي باشه","باتري دو سلولي","من این لبتابو یک هفته اس خریدم عالییه ازش کاملا راضیم توپه بازیای بتلفیلد 3 و رایولزو با رزولوشن اخرش عالی اجرا میکنه از نظر پردازشای معمول عالیه .ازمن cor i5 7200 u فقط ده درصد از نظر قدرت با cor i 7فرق داره که تفاوت زیادی نداره",3,3,4,4,4,3,4,4
"پردازنده قوي
استفاده از اسپيکر حرفه ايه HARMAN",,"من یک هفته است این لب تاپ رو خریدم نقاط قوت زیادی داره و تا الان ضعفی توش پیدا نکردم
بهترین نقاط قوتش استفاده از سی پی یوی core i7 و حافطه ram هشت گیگ ddr4 هستش",4,1,4,4,3,5,4,4
"رم DDR4
CPU i7
180 درجه تاشو
صفحه نمايش مات","باتري 2سل
بلندگوش که زير دستگاس باعث کاهش صداست اما کيفيتش تغييري نميکنه
صداي هاردش ولي اونجوري نيست که بخواد اذيت بکنه و...","این لبتابو یه هفتس گرفتم (از دیجی نخریدم)و بیشتر واس کارای گرافیکی و آهنگسازی و کد نویسی قصد خریدش رو داشتم اما من گیمر هم هستم.
منطقی نگاه کنیم نباید کار یه لبتاب گیمینگ رو ازش کشید اما پاسخگوی نیازتون هست.جی تی ای وی و فیفا 17 رو ریختم و مشکلی تو اجرا نداره و عالیه.",2,1,4,3,4,3,4,5
"ظاهر شيک
وزن کم
باز شدن 180 درجه اي صفحه
وضعيت صداي قابل قبول","کند بالا امدن ويندوز 10
يک تکه نبودن تاچ پد
هارد ضعيف
نداشتن هيچ متعلقات همراه ولو يک دستمال تميز کننده
باطري بسيار ضعيف عليرغم پرقدرت بودن دستگاه","یک ماهی میشه که این لپتابو از دیجی کالا گرفتم و کاملا راضی هستم بخصوص اینکه رنگ سفیدش از نظر ظاهری بسیار شیک و بروز هست فقط یک نکته منفی که علاوه بر سرعت کم بالا آمدن ویندوز 10 قابل توجه هست وضعیت باطری دو سلولی این دستگاه است که علیرغم اینکه در مشخصات گفته شده 5 ساعت نگهداری شارژ داره اما حتی با نور 50٪ سه ساعت شارژ نگه نمیداره چه برسه به 5 ساعت که بنظر من این نکته یکی از ضعف های بزرگ این سیستم است .
در ضمن از دیجی کالا بابت مشتری مداری عالی بسیار سپاسگزارم و ظرف یک ماه گذشته به یکی از مشتریهای ثابت دیجی کالا تبدیل شدم .",4,5,3,3,3,3,3,3
"همه چيز عالي","بلند گو زير لب تاب قرار دارد- صداي قيرقير هاردهم خيلي بده","این لب تاب صدای قیرقیر هاردش ادم رو میکشه . بلند گو های استریو داخلیش زیر لب تاب قرار داره وصدای بی کیفیت و کمی به وجود میاره. خیلیا از پایه ی جلوی صفحه که 180 درجه باز می شه رو دوس ندارن چون از ضاهر لب تاب کاسته میکنه. و کیف وموس و چیز های دیگه اورجینال مثل ایسوس همراهش نداره.حافضه کش پردازنده 4 هست که میتونست6هم باشه.نسبت به قیمت متوسط هست نه خوب و نه بد. و رم و گرافیک بالایی داره هارد یک ترابایت .",7,1,5,5,5,4,5,5
,,"من 1 تو اوایل ابان گرفتم نمیدونستم این قدر گرون میشه ولی واقعا کیفیت فوق العاده ای داره ک بازی gta vرو راحت و بدون لگ اجرا میکنه",4,2,5,2,5,5,5,3
