positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"طراحي و کيفيت ساخت
کيفيت صفحه نمايش + تاچ بودن آن
کيفيت صداي بلندگوها
سخت افزار قدرتمند
پورتهاي جديد USB Type-C و Thunderbolt3","براق بودن صفحه نمايش
صداي بلندگوها نسبتا کم","باسلام خدمت تمام دوستان
سری برم سر اصل مطلب و از تجربه شخصی خودم در خصوص این لپ تاپ بگم.حقیقتا این لپ تاپ لوکس ،زیبا و باکیفیتی هست اما نقطه ضعف هایی هم داره که به نظر من بزرگترینش صفحه نمایش براق اون هست که مخصوصا برای کسانی که می خوان کار برنامه نویسی بکنند و یا در کار طراحی (با فتوشاپ و یا اتوکدو...) مناسب نیست و انعکاس نور آن آدمو خیلی آزار میدهد.و لی در عوض برای کارهای دیگه صفحه نمایش تاچ و با کیفیت آن میتونه خیلی عالی و لذت بخش باشه مورد بعدی که به نظر من خیلی هم نقطه ضعف محسوب نمیشه نداشتن درایور نوری هست ،نور پست زمینه کیبوردهم که در محیط های تاریک خیلی بدرد بخوره و نیازشو قشنگ حس می کنید.وزن لپ تاپ هم به نسبت مناسب ولی اگر کمی سبکتر بود خیلی عالی میشد.",3,1,3,3,5,4,3,5
,,"سلام من یک لپ تاپ قوی و قدرتمند برای بازی و د عین حال زیبا و نازک و شکیل باشه سری لپ تاپ های ایسوس N هم هستند ولی چون بزرگ هستند و نازک نیستند جالب نیست. خلاصه این لپ تاپ با کیفیتی است و برای بازی های سنگین جواب میده یا نه؟
با تشکر از دیجی کالا",1,2,3,3,3,3,3,3
,,"رابط اس اس دی از نوع m.2 هست اما سرعتش در حد sata 3 هست و nvme ساپورت نمیکنه
زیاد هم مهم نیست، تو کارهای عادی داخل ویندوز و بوت تایم تفاوت محسوس بین pcie nvme و ساتا وجود نداره",1,0,4,5,4,3,5,3
"سخت افزار قوي با عملکرد مناسب
صفحه نمايش با کيفيت مناسب و قابليت تاچ
تاچ پد با عملکرد عالي
صداي شفاف با کيفيت خوب
داشتن پورتهاي تاندربولت، USB 3.1, Type-C","باتري نه چندان قوي
صداي نه چندان بلند اسپيکرها","دوستان یه مقدار نظرم طولانیه، شرمنده
حدود یک هفته ای میشه که این لپتاپ رو خریدم
اول در خصوص صفحه نمایشش بگم که دوستان مطمئن باشن این کانفیگ، ینی UX501VW رزولوشن تصویرش 4K یا همون UHD هست و علاوه بر این رابط هارد SSD این لپتاپ هم از نوع Sata 3 هست. این مشخصاتی هست که روی جعبه لپتاپ چاپ شده.
خدمت دوستان عرض کنم که داخل جعبه لپتاپ علاوه بر آداپتور شارژر و کابل برقش (AC) و کیفی که برای لپتاپ هست، یک دستمال برای تمیز کردن لپتاپ، یک بند یا cable tie (برای جمع کردن و بستن سیمهای شارژر و...)، یک DVD که درایورهای لپتاپ توش نصبه، دفترچه های راهنما و یه تبدیل یو اس بی به پورت شبکه قرار داره.
در خصوص خود لپتاپ بگم: همونطور که بعضی از دوستان گفتن، از داخل لپتاپ یه صدای خیلی کمی شنیده میشه من اول فکر کردم که صدا از هارده ولی بیشتر که دقت کردم دیدم وقتایی که با تاچ پد کار میکنم و یا موس وصل میکنم به لپتاپ و با موس کار میکنم این صدا رو میشنوم، یه مقدار تو اینترنت سرچ کردم و بعد متوجه شدم که این صدا با Disable کردن درایور گرافیک اینتل از قسمت Manage قطع میشه از اونجایی که این مشکل به احتمال زیاد نرم افزاری هست احتمال داره که تو آپدیت های بعدی درایور، این مشکل حل بشه، البته اینم اضافه کنم که من درایورهای لپتاپ رو از سایت ایسوس دانلود کردم (آخرین نسخه موجود رو). در کل لپتاپ صدای خیلی کمی داره میشه گفت تقریبا بی صداست.
در خصوص صفحه نمایش من فکر میکردم که با توجه به رزولوشن 4K و تعاریف دیجی کالا کیفیتش خیلی عالی باشه اما اینطور نبود ولی در کل کیفیتش مناسبه و حداکثر نور صفحه هم قابل قبوله، تاچ صفحه نمایش هم بی نقص و کار راه اندازه. و البته اگر تو یه محیط کاملا تاریک به صفحه نمایش نگاه کنید کیفیتش بهتر هم به نظر میرسه (چیزی که من احساس کردم).
در خصوص اسپیکرا صداش اونقدر بلند نیست ولی شفافیت و تفکیک صدا راضی کنندست و مناسبه.
از لحاظ سخت افزاری هم عملکردش عالیه. من زیاد اهل بازی نیستم ولی جهت اینکه ببینم عملکرد لپتاپ چطوره بازی NFS Most Wanted رو نصب کردم (حدودا 20 دقیق بازی کردم) با رزولوشن 4K عملکردش واقعا خوب بود گرافیک و سرعت عالی. باز در این مورد دوستان گیمر بیشتر میتونن اطلاعات بدن.
فقط در خصوص سرعت بوت لپتاپ، من تایم که گرفتم دقیقا از وقتی که دکمه پاور رو زدم تا زمانی که ویندوز اومد بالا 29 ثانیه طول کشید که من فکر میکنم یه مقدار زیاده هر چند BIOS هم آپدیت کردم ولی تغییری تو سرعتش ندیدم. ولی از لحاظ سخت افزاری این لپتاپ کم نمیاره صرف نظر از اجرای بازی های خیلی سنگین، که از عملکرد لپتاپ تو این بازی ها اطلاعی ندارم.
و اما آخرین مورد مربوط میشه به ظاهر دستگاه که واقعا زیباست البته در خصوص نازک بودنش هم یکی از دوستان گفته بودن: ((اونقدر که تو عکسها نازک به نظر میاد نازک نیست)). دقیقا همینطوره اونقدر نازک نیست ولی باز هم خوبه و وزن مناسبی داره این هم اضافه کنم که خروجی های هوای داخل لپتاپ قسمت بالایی لپتاپ قرار گرفته و اسپیکر ها هم که زیر لپتاپ در طرفین قرار دارن.
دوستانی که این لپتاپ مدنظرشون هست یه نگاهی به لپتاپ HP Omen 15t-ax000 هم بندازن که دیجی کالا هم داره این لپتاپو. البته اگر صفحه نمایش 4K با قابلیت تاچ و البته پورتهای جدید usb 3.1 و Type-C براشون مهم نیست.
ممنون که نظرمو خوندید و ببخشید که طولانی شد. امیدوارم جواب تعدادی از سوالاتونو گرفته باشید.",12,1,4,4,5,5,5,5
,,"سلام
چند وقته لپ تاپ رو خریدم خیلی ازش راضیم
کار گرافیکی سنگین رو راحت و روان اجرا میکنه",4,1,5,5,5,5,5,3
,,"لطفا دوستانی که خرید می کنن از خود نمایندگی اطلاعات بگیرن و بنده مشاهده کردم که اطلاعات غلطی در نظرات هست. مثلا در نظرات اومده که رابط حافظه هارد M.2 نیست. اگر این دوستمون کمی جستجو می کردن و یا پشت لپتاپشون رو باز می کردن. متوجه می شدن که بطور استاندارد رابط M.2 برای پشتیبانی از حافظه بسیار سریع 128GB تعبیه شده و شما علاوه بر هارد یک ترابایت معمولی داراییک هارد 128 فوق سریع خواهید بود که بصورت ثانیه ویندوز رو بالا می یاره که دوستمون هم اشاره کردن. این لپتاپ هیچ اسلات جداگانه ای برای هارد های 2.5 اینچی SSD نداره و نظر ایشون کاملا اشتباهه.شما می تونید 128 GB حافظه سریع رو تا 512GB ارتقا بدید و از یک حافظه فوق سریق بهره مند بشید و البته نزدیک بالای یک میلیونم هزینه بدید. ولی همین کانفیگ هم بسیار کار را اندازهه
لطفا اطلاعاتتون رو بروز کنید و قبل از اینکه اون رو مطرح کنید توی وب یه جستجو کنید تا کسی رو که قصد خرید داره به اشتباه نندازید.
متشکرم",3,2,4,4,4,4,4,4
"زيبا مستحکم حرفه اي",وزن,"سه ماهه دارمش. اگر قصد خرید لپ تاپ ویندوزی دارین شدیدا پیشنهاد میشه...",4,0,5,5,5,5,5,5
"سخت افزار عالي
باطري خيلي خوب و بهتر از N552 vw
عملکرد بسيار سريع
صفحه نمايش فوق العاده
طراحي بي نظير","بلندگو در سطح N552 نيست","من الان مدتیه که از دیجی کالا این لپتاپ رو خریدم و تنها چیزی که میشه برای توصیفش گفت اینه که فوق العادست.فوق العاده سریع و خوش ساخت.طراحی این محصول واقعا شگفت انگیز هستش و نسبت به N552 vw واقعا برتری خیلی خیلی چشم گیری از لحاظ طراحی داره.از طرفی خیلی سبک تره.یکی از مسائلی که شاید برای بعضیا نگرانی باشه این هستش که فکر میکنن چون نازکه بازی باهاش باعث داغ شدن خیلی زیادش میشه.لازم به ذکر هست که ابدا به هیچ وجه همچین چیزی نیست و میزان داغ شدنش بیشتر از لپتاپ های هم رده و سنگین تر نیست.سیستم خنک سازی این لپتاچ واقعا متفاوت عمل میکنه و زمان روشن و خاموش شدن فن خیلی هوشمندانه و به موقع هستش.این لپتاپ انتخابش چندین ماه وقت منو گرفت و بعد از گذر از بسیاری از ندل ها و برند ها این رو گرفتم و ثابت کرد که بهترین هستش.",2,0,4,5,5,4,5,5
"همه چي",هيچي,"بهترین انتخاب برای همه ی افراد. هم نسبت به قیمت و هم نسبت به کارایی و ...
جای هیچ شک و تردیدی برای خرید این لپتاپ (غول) نیست.
ممنونم.",4,2,5,5,5,5,5,5
.,.,"سلام. اقای علی توحیدی نیا
درباره دیدن فیلم در این لپ تاپ فرمودین .میتونین نظر بنده رو کمی پایین تر مشاهده کنید که در باره همین صحبت شماست وتایید می شه .اگر بخوایید من میتونم شما و بقیه دوستانی که تمایل به راه حل برطرف کردن تاریک بودن بیش ازحد قسمت های تیره فیلم ها رو دارن یاری بدم و راه حل شو بگم.",0,0,5,4,3,2,3,2
