positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"خود نام شرکت
طراحي خاص
اوباهت بي مانند","سخت افزار به روز نيست
قيمت زياد (البته محصولات الينور هميشه گران هستند)","طبق اخرین امار شرکت دل در حال حاضر قدرتمندترین و ثروتمندترین شرکت لپتاپ دنیاست چون هم الینور در زمینه گیمینگ هرسال بهترین میشه و بلاخره طلسم اپل رو در سال 2016 شکست و DELL XPS تونست بر مکبوک غلبه کنه...
چند روز پیش شرکت DELL اولین مانیتور گیمینگ با فناوری HDR رو معرفی کرد ! و قراره بزودی این فناوری رو به مانیتور لپتاپ هاش اضافه کنه که این قضیه خیلی سروصدا کرده چون اولین صفحه نمایشی میشه که هم 4K وهم HDR داره که از پنل بروز رسانی تصویر در 240 HZ همراه 1MS response time برخورداره که البته این مانیتور فوق العاده به یه سیستم فوق العاده نیز نیاز داره ! کیس الینور X51 از 3 تا GTX 1080 TI به خوبی پشتیبانی میکنه
و یا حتی میشه با گرافیک املیفایر (external GPU) هر کارت گرافیکی رو به لپتاپ های الینور وصل کرد
دیجی کالا اگه از سری جدید محصولات الینور بیاری حتما یه سری طرفدار ویژه ازش استقبال میکنن",4,0,5,5,5,5,5,5
"امکانات فراوان
ظاهر عالي
سخت افزار بي نقص
زيرمجموعه Dell",ندارد,"این لپتاپ شاهکاره کاملا هم به قیمتش می ارزه اگه با اپل و مایکروسافت مقایسه کنیم
با ایسوس هم مقایسه کنیم گرونتر در میاد ولی ده برابر امکانات داره
من شنیدم با حسگر چشم میشه موس رو (مخصوصا تو گیم) کنترل کرد",1,2,5,5,5,5,5,5
"زيبايي - طراحي حرفه اي","بالا بودن قيمت و پايين بودن قدرت قطعات سخت افزاري","من با این قیمت میتونم یه سیستم فوقه گیمینگ جمع وجور کنم با کارت گرافیک 1080 یا 1070 .... به نظر من اصلا ارزش خرید نداره فقطو فقط از لحاظ سخت افزاری",10,1,0,1,3,3,3,3
,,"اگه شرکت اپل رو حساب نکنیم شرکت دل بهترین امتیازات رو اورد مثل سال پیش .
ام اس ای هم که بیشترین اماره خرابی رو داشت پس فقط ایسوس و ایسر میمونن که اونا هم هیچ حرفی برای گفتن در مقابل الینور ندارن چون لپتاپ های الینور رو میتونین با هر مشخصاتی که دوست دارین سفارش بدین !!!
بخاطره همینه که به KING OF GAME مشهوره",2,14,5,5,5,5,5,5
نميبينم,"قيمت بالا
بيش از 10 ايراد","واقعا نسبت به لپ تاپ های ایسوس حرفی برای گفتن نداره.
همین پولو میشه داد یه خیلی بهتر ایسوس گرفت.
همراه لوازم جانبی عالی.
نسبت به قیمت به درد نمیخوره.",6,2,0,2,5,2,1,0
"طراحي خوب","قيمت بالا بسته به سخت افزار","دوستی فرمودن که تا 3 سال با کیفیت اولترا بازی هارو اجرا میکنه همین الانش تو بعضی از بازی های پی سی که روش i7 نسل اخر و 1070 اورکلاک هست نمیتونه 60 فریم رو رو این تنظیمات بطور ثابت بده بعد این لپ تاپ چطوری این کارو میکنه؟؟؟ اگر علاقه ایی به برندی داریم و قیمتش واسمون مهم نیست که تکلیف مشخصه.. بی برو برگرد میگیریم و حالشو میبریم ولی دیگه چرا بیاییم به خودمون دروغ بگیم؟ نسل جدید VR لپ تاپ های MSI که روشون 1060 هسشت تواناییشون حتی از 980 دسکتاپ بیشتره دیگه این که سری M هستش رو 6-0 ازش جلوترن. دوستان درسته فرق سری پاسکال و مکسول یه نسله ولی دیگه خودتون خوب میدونین چقدر جهش داشته این نسل و دیگه نمیصرفه ادم بیاد رو نسل قبلی هزینه کنه.
دیجیکالا بهتره نسل جدید الین ویر ها رو که با سری پاسکال عرضه شدن هم موجود کنه (نمایندگی الین ویر خیلی وقته واردشون کرده و حتی بصورت بصورت Custom Build هم امکان سفارش دارند) و همینطور دوباره GL502VS و VM رو که با قیمت و سخت افزار و سایز عالی عرضه شدن همشونم جی سینک دارن.",6,1,1,3,3,3,3,3
"ما داريم از Dell صحبت ميکنيمااا !",هيچي,"عزیزانی که به گرافیک و cpu گیر دادن! و هیچی از کله شقی لپتاپ های dell نمیدونن! قطعات dell بهترین هست، من چندین سال تجربه کار با لپتاپ های dell رو دارم، قطعات استفاده شده و معماری داخلیشون عالی هست. اگه پولتون تا این حد میرسه حتما بخرید، یا اگه بیشتر از این پول دارین، روی لپتاپ titan ام اس آی صرفش کنید.",1,7,3,5,5,5,5,5
,,"با نصف قیمت این یه دونه لپ تاپ شرکت MSI از مدل های GE میگیرم پولمم هردر نمیدم بیخود دو برابر اینم خوشکله",14,22,0,0,0,0,0,0
,,"یه سری از دوستان شناخت زیادی از سیستم و برند ندارن و بی حساب کتاب نظر منفی دادن ! الینور سلطان لپتاپ هاست و هیچ شکی توش نیست ! این سیستم مدروز نیست ولی کمی زوده واسه قدیمی شدن ! حد اقل تا وقتی نسل VOLTA شرکت انویدیا عرضه بشه بهتره از کلمه قدیمی استفاده نکنیم. جالبه بگم الینور زودتر از رقباش از نسل هفتم پردازنده و نسل پاسکال کارت های گرافیک استفاده کرد !
در جواب دوستانی که میگن گول ظاهر فریبندش رو نخورید باید بگم "" از کوزه همان تراود که در اوست""
یعنی دیزاین و طراحی فوق العاده بی دلیل نیست و دوستانی که به این سفینه فضایی شک دارن میتونن در چند سایت معتبر تحقیق کنن تا دیگه ابهامی نمیونه
با سپاس فراوان.",10,19,5,5,5,5,5,5
,,"بستگی داره به سلیقه شما و البته جیبتون!
اگه پول واستون مهم نیس می تونید هر دو سال یه لپ تاپ مس این واسه بازی بخرید که به روز باشید ولی اگه میخواید یه دفعه هزینه کنید و سیستم گیمینگ داشته باشید با این پول میتونین یکی از قوی ترین کیس های دنیا رو جمع کنین که چند برابر این لپ تاپ قوی تره!
وزن بالای این لپ تاپ هم جابجاییش رو سخته میکنه و مشکل اکثر لپ تاپ ها چه گیمینگ و چه غیر گیمینگ اینه که داغ میکنن و cpuاونا کند میشه
به هر حال بازم میگم سلیقه خودتونه ولی به شخصه واسه بازی کردن کیس کامپیوتر رو بیشتر می پسندم",10,6,1,2,4,3,1,1
