positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
,"نام. ساختگي","برای خریدسیستم. امنیتی و حفاظاتی از خرید. برندهای متفرقه که. وب سایت رسمی ندارند و فقط در ایران لیبل زده میشوند و مشخصات دوربین ها هم کیفیت واقعی ندارد. اجتناب کنید اگر دنبال سیستم اقتصادی هستید برند های. چینی. معتبرهم. در بازار در دسترس میباشد",2,2,3,3,3,3,3
,,"اسباب بازى نخرید به این فکر کنید که تمام این هزینه اى که مى کنید براى استفاده در ان لحظه خواص مورد نیاز حادثه هست و در حالت عادى شاید اصلا سراغش هم نروید پس مجموعه اى تهیه کنید که در دراز مدت کیفیت خود را از دست ندهد و یا همزمان با پایان گارانتى دستگاه مجبور به تعویض ان نشوید این مطالب رو بر اساس تجربه خود در زمینه دوربین هاى مداربسته و مشتریان در طى این سالهاى فعالیت در این زمینه مى گم در نهایت سود و ضرر براى شماست و شمایید که باید هزینه کنید",3,2,1,3,2,1,3
,,"هر چقدر پول بدید همونقدر آش میخورید . انتظار معجزه از قیمت پایین نداشته باشید",2,1,0,0,0,0,0
"همه در يک بسته","کيفيت متوسط
قيمت نه چندان پايين","من این بسته را عید خریدم. شاید قیمت عادی آن بالا باشد و تنها در فروش ویژه مناسب است. البته من جاهای مختلف رفتم پکیج های ارزانی تری هم دیدم ولی مقایسه واقعا سخت است، زیرا مثلا این قاب دوربین ها فلزی هست در صورتی که ممکن است دیگری پلاستیکی باشند. خوبی این بسته این است که همه لوازم و فیش ها و 70 متر کابل در جعبه است. البته بهتر بود هارد آن بیشتر بود مثلا 3 گیگ. یک نکته مهم این است که اولین بار که من کابل HDMI را به تلویزیون زدم، روی تلویزیون نوشت که پشتیبانی نمی کند و حسابی حالم گرفته شد و ناراحت شدم. ولی بعدا متوجه شدم که باید ابتدا به یک مانیتور کامپیوتر یا کابل VGA زد و رزولوشن تصویر را تغییر داد و بعد از دو بار تغییر رزولوشن آن بالاخره تلویزیون آن را شناخت.
البته نصاب اولش گفت که پاور 10 آمپر برای 6 تا دوربین کم است و بهتر است پاور 20 آمپر بزنید، ولی با توجه به اینکه DVR خودش پاور جداگانه دارد، همان 10 آمپر را استفاده کردیم جواب داد.
در مجموع برای استفاده های خانگی و معمولی با هزینه ی زیر 1.5 میلیون به نظر بسته مناسبی است. البته برخی معتقدند که دوربین IP بخرید بهتر است ولی خوب IPهای برند معروف و خوب گران هستند و IPهای متفرقه مگر اینکه به کیفیتش مطمئن باشید. ضمن اینکه حجم تصویر در آنها بالاتر است و هارد بیشتری می خواهد و اینترنت سریع تر و حجم بالاتری می طلبد. در مجموع با این مقدار هزینه قابل قبول است.",2,1,2,3,3,2,2
"کيفيت تصويريي عالي ، بدنه ي شيک، قيمت مناسب و کم، اتصال و نصب سريع",,"من قبلا این محصول رو در فروشگاه خریدم. اینقدر سفیده و کیفیتش خوبه بهش میگم دوربین مخملی! اگر نیاز دارید حتما بخریدش...",1,2,5,5,5,5,5
"وسايل نصب داخلش کامله","dvr بي کيفيته
نداشتن خروجي تصوير انالوک","بعددریافت و تست دستگاه کنترل دستگاه کار نمیکرد خروجی فیش تصویر انالوک نداره . کیفیت دستگاه پایینه در کل مایوس کنندس",6,1,1,2,3,1,2
,,"سلام ، پک امروز دستم رسید ، دی وی ار قاب روش شکسته بود یک دوربینم شیشیه روش شکسته بود ، زنگ زدم شماره رو برگ گارانتی گفت یا بیارش تهران واست عوض کنیم یا پست کن هزینش با خودتونمنم زنگ زدم پشتیبانی دی جی کالا مرجوعش کنن ، دی جی کالا بهتر از گارانتی خود کالا خدمات میده",16,0,1,1,1,1,1
"قيمت تقريبا مناسب","استفاده از هارد پعمولي کامپيوتر بجاي هايرد تخصصي دوربين مدار بسته","وقتی در یک سیستم مدار بسته از هارد گرین بجای هارد های تخصصی دوربین مدار بسته مثل پرپل یا سورویلنس استفادهدمیشه کاملا مشخصه کل سیستم سمبل کاریه استفاده از این نوع هارد در سیستم مدار بسته یعنی به سیستم 100درصد اماتور",10,1,2,1,1,2,5
,,"اقا توروخدا بگید بخرم یا نه موندم وسط پیشنهاد ویژه داده",6,4,5,3,5,3,5
"يک پکيج کامل واسه خريدار و نصاب عادي","واسه افراد عادي، نداره","قبل هرچی می خوام بدونم این عزیزانی که میان فقط نقد یا تعریف بقیه رو dislike می کنن، ولی خودشون هیچ حرفی واسع گفتن ندارن، یا کلا سایلنتن، واسه چی اینکار رو می کنن.
البته واسه یه خریدار حرفه ای که همه محصولات رو خوب میشناسه، میدونه چه برندهایی حرف واسه گفتن دارن و کجا ها کدوم برند ها رو با کیفیت اصلی و قیمت پایین میدن، شاید خریدن این پکیج حتی در شگفت انگیز کار خیلی معقولی نباشه
ولی برای اکثریت مردم عادی که سر رشته کمی دارن، باید بگم مجموعه خیلی مناسبیه
از جمله محاسن آن کیفیت بسیار خوب اپلیکیشن هایی که ساپورت میکنه، هم در صدا و هم در تصویر،p2p خیلی خوب کار میکنه، نیاز به آی پی نیست، من 5تا دستگاه ازین مجموعه رو نصب کردم، چه با ای پی، چه p2p, حتی ddns خیلی راضی بودم
البته باید سرعت اینترنت در دو طرف منطقی باشه
البته برندهای داهوآ و هایکویژن بالاترن،ولی قیمتش هم بالاتره
دوربین های 2 و 2.4 مگ بهترن، ولی قیمتشون بالاتره.

ولی مسلمه یک فروشنده و نصاب حرفه ای، نمیاد یک پکیج این شکلی بخره
خوب اونها با برندهای متعددی کار می کنن و فروشنده های مختلف، و مسلما دستمزد و قیمتی هم که میدن، متناسب با عدم آگاهی مشتری با محصولی که داره میگیره هستش.
هیچ فروشنده ای نمیاد این محصول رو پیشنهاد بده، که بعد نتونه سود مورد نظرش رو راحت بکشه روش
ولی این دلیل بد یا ضعیف بودن این مجموعه نیست.
حالا یه تعداد از دوستان میان 100 تا dislike میزنن کنار نقد من!!!!
سری های قبلی دوربین دام هاش، پلاستیکی بود که جنس بدنش ضعیف بود، ولی خوشبختانه سری جدید همه فلزی هستن.",32,18,3,3,3,3,3
