positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"پشتيباني از USSD
دريافت و ارسال SMS
USB SHARING
نصب آسان مثل آب خوردن
...",ندارد,"من بین انتخاب دو مدل B315 HUAWEI و TP-LINK MR200 بدجوری گیر کرده بودم یه تعداد تی پی رو میگفتن و یه تعداد هواوی رو اما بعد از یه سری تحقیق خصوصا تو مقالات سایت های تخصصی و نظرات دوستان با شک و تردید اینو سفارش دادم البته دیجی کالا این مودم رو کمتر از جاهای دیگه میده که جا داره تشکر کنم --- خلاصه دیروز دستم رسید جاتون خالی درسته 4G همراه اول کمتر جایی آنتن میده اما خدا رو شکر تو موقعیت ما آنتن دهی خوبه و نسبتا بهتر از ایرانسل جواب داد و خوشحال شدم که فعلا ایرانسل یقمو نگرفت به هر حال نصب آسان یا به عبارتی اصلا نصب نداره همش تحت وب هستش و فقط باید سیم کارت رو بندازی روش خودش اتوماتیک وار کانکت میشه -- متــشکرم دیجی جان",1,0,5,5,5,5,5
,,"عالی عالی عالی
یه ساعته رسید به دستم
واقعا حیرت زده شدم
ای کاش به جای اینکه چهار سال با وایمکس ایرانسل اعصابمو به هم بریزم زودتر اینو میخریدم
معجزه س خدایی",3,0,5,5,5,5,5
,,"بهترین قدرت دریافت سیگنال رو داره و همچنین سیگنال های WIFI رو تا 200 متر ارسال میکنه که فوق العاده‌س",1,0,5,5,5,5,5
"انتن دهي قوي
امکان اتصال تلفن و برقرار ي تماس تلفني
امکان اتصال هارد اکسترنال و شير کردن در شبکه
نرم افزار مديريتي براي اندرويد و IOS
مکان اتصال انتن تقويتي",قيمت,"بهترین مودمیه که میتونید با این امکانات بخرید .",2,1,5,5,5,4,4
,,"سلام ،خدمت همه دوستان عزیز،
لازم به ذکر است که مودم مذکور در رده مودمهای قویه و مهمتر که ussd هم که گزینه مهمیه ساپورت میکنه.",2,1,3,3,3,3,3
,"ساپورت نکردن USSD","یک مودم معمولی، بغیر از قدرت بالای Wireless من برتری خاصی حتی نسبت به مودم های همراه ندیدم
بغیر از USB Sharing امکان خاصی نداره
ضمنا USSD هم ساپورت نمی کنه",4,6,4,4,3,5,3
"آنتن دهي خوب
شير کردن درايو USB و گرينتر بدون اشکال (با samba server)
اينترفيس ساده و قابل قبول
رابط ارسال ئ دريافت SMS
امکان وصل کردن گوشي و ارتباط تلفني","قيمت بالا","من قبلا یک مودم دیگری رو گرفتم که متاسفانه شیرینگ USB و پرینترش درست کار نمیکرد. این مودم بدون اشکال اینکار رو انجام داد. آنتن دهی مودم خیلی خوبه و سرعت و پایداریش (قطعو وصل شدن) هم خوبه.
من با سرعت 6 مگابایت در ثانیه (حدود 55-60 مگابیت) امروز صبح از ایرانسل دانلود میکردم که فوق العاده خوبه. لازم به ذکر هست که گوشی 3G من در همین محل دریافتش بد هست و روی Edge و حداکثر HSDPA (نسل 2 و 2.5) کار میکنه.
تنها مشکلی که دیدم این بود که با وجود اینکه آی پی آدرس پیشفرض مودم 192.168.8.1 هست (که کمی عجیبه) در اولین اتصال به من آی پی از رنج 192.168.132. داد که طبیعتا به رابط وب مودم نمیشد وصل بشم. دستی یک آی پی از رنج 192.168.8. گذاشتم و تونستم به رابط وب وصل بشم و DHCP سرور موردم بعد از انجام تنظیمات اولیه دیگه درست شد.
یک نکته دیگه اینکه اتصال به 4G اصلا کانفیگ نمیخواست و حتی APN ایرانسل رو هم بطور اتوماتیک پیدا کرده بود.",6,2,3,5,5,5,5
"قدرت بسيار بالا در دريافت سيگنال برد واقعي حدود دويست متر پينگ عالي آنتن تقويتي واقعي","قيمت بالا","این کالا و چهار مودم هم رده در راستین بازار -نماینده رسمی مودم هواوی- بررسی شده و تقریبا در تمام موارد از جمله سرعت آپلود و دانلود رتبه نخست را کسب نموده",5,2,4,5,5,5,5
,,"فکر میکنم منظورت 25 مگا""بیت"" بر ثانیه باشه.",6,1,3,3,3,3,3
"آنتن هاي تقويتي فوق العاده قوي
کيفيت ساخت خوب
امکانات زياد و عالي
داراي کد ussd
تاثير عالي بر روي سرعت دانلود بويژه پينگ",,"سلام دوستان عزیز من.این مودم رو از دیجی کالا تهیه کردم این مودم در ابدیت جدید خود کد های ussd را پشتیبانی میکند و من با 4جی ایرانسل در سعادت اباد و پاسداران با گوشی چک کردم سرعت دان بین 10 الی 15 مگابایت بر ثانیه بود اکثر مواقع. و با این مودم سرعت دان شد 20 الی 25 مگابایت بر ثانیه ثابت یعنی فوق العادست فوق العاده اما اپلود رو بیشتر کرده یعنی اپلود من که 1 مگابایت بر ثانیه بود شده 8 مگابایت بر ثانیه و من چون گیمر هستم بیشتر برا پینگ میخواستم که این مودم پینگم رو از 200 الی 280 اورد به 90 الی 100 البته برای بعضی دوستان تحت شرایط مختلف پایین تر هم میاد و اینکه در منزل ما 4جی 2 انتن بود که به لطف این مودم شد فول انتن.راجب انتن دهی این مودم بگم که فوق العاده وافای قوی داره و بگم که کیفیت ساختش خیلی خوبه.در ضمن ممکن این سرعت دان و اپلودی که با مودم دارم برا بعضی از دوستان با گوشیشون بیشتر از مودم من باشه که ناراحت نباشید شما هر سرعتی داشته باشید این مودم اون رو دوبرابر میکنه تا سه برابر میکنه و خیلی رو دان و اپلود و پینگ تاثیر داره مطمعن باشید پولتون دور نریختید و بگم که این مودم سری جدیده و دو انتن همراهش هست نمیخواد جدا تهیه کنید.ببخشید سرتون درد اوردم اخه دیدم کسی نظری نداده گفتم نظر خودم بگم.در خریدش شک نکنید. اگر کارم داشتید با اقای ابراهیمی صدام کنید در نظرات نه بخش پرسش ها.ممنون دیجی کالا",6,4,5,5,5,5,5
"پايداري پينگ
برد واي فاي خيلي خوب
امکان تماس از طريق سيم کارت درون مودم",نداشت,"من از بازار تهیه کردم قبلش MR200 داشتم، اما وقتی تحقیق کردم متوجه شدم B315 قطعی نداره و نسبط به همه مودم های رومیزی دیگه کیفیت بالاتری از نظر اتصال و استفاده از اینترنت داره. در صورتی که MR200 مدام قطع و وصل میشد و کیفیت اینترنت خوبی نداشت پینگ با ثباتی نداشت در ضمن یک گوشی تلفن هم به مودم B315 وصل کردم و راحت تماس میگیرم در صورتی که MR200 این قابلیت رو هم نداشت.
پشیتیبانی شرکت IDH هم که تماس گرفتم خیلی خوب راهنماییم کرد.",7,3,4,5,5,3,3
