positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
,,"یک ماه نشده بخاطر کیفیت بالایش نگه دارنده سیمکارتش خراب شد سیم کارت سفت نمی شه شب هم نورش مزاحم خواب هست باطریش هم تعریفی نداره ایکاش اصلا سه تا چراغو نداشت دیوانه کنندس",2,0,3,3,3,3,3
,,"من نقد بررسی های زیادی رو خودم و تو بازار خیلی گشتم بهترین مودم بازار همینه",2,1,5,5,5,5,5
,,"1. عملکرد ال ای دی‌های مودم ایده‌آل نیست
2. میتونید با مراجعه به سایت دی لینکِ اروپا، دانلود و نصب اپی به نام EZFI روی اندرویدتون، به سهولت تمام به مدیریت و مانیتورینگِ ایده‌آل مودم بپردازید",4,1,5,5,4,3,4
"آنتن دهي بالا
بدنه خوش فرم و سبک","واي فاي ضعيف","بنده این مودمو دارم از لحاظ آنتن دهیش بسیار عالیه قطعی هم نداره..اینی که میگن پنلش مشکل داره و کنده اصلا هم اینطور نیست..با موبایل راحت میشه باهاش کارکرد و پیاماشو حذف کرد ولی یکی دو نقطه ضعف داره اونم اینه که قدرت وای فایش یه کم ضعیفه. سیمکارت 4g که رو موبایل تست کردم سرعتش یکم بیشتر از سرعت مودمی که همون سیمکارت رو روش میزارم هست ولی در کل بنده تا الان ضعف دیگه ای ازش ندیدم..",6,0,3,3,3,3,3
هيچي,"همه چي","قیمت بسیار بالا با توجه به امکانات بسیار کم
کیفیت ساخت مودم متوسط اما پنل کاربری به شدت ضعیف و ناکار آمد .بیشتر نمایشی است.
باتری با توان کم . بعد 6 ماه کار باتری خیلی ضعیف شد. جوری که با کاربری متوسط روزی 2/3 بار باید شارژ کنی با شارژر 2 آمپری تبلت.
نشانگر های ال ای دی نا مناسب .
عدم اطلاع از مقدار ذخیره باتر و سطح سیگنال از روی دستگاه
برای هر کاری باید هر دفعه سیمکارت و در بیاری بزاری رو یه گوشی تا اس ام اسها رو بخونی یا پاک کنی و حتی برای خرید شارژ بوسیله کد یو اس اس دی
تنها یک کابل یو اس بی بی کیفیت همراه مودم عرضه میشه.
اینها مهمترین ایراد های این مودم بعداز 6 ماه کارکردن بود به نظر من اطلا ارزش خرید نداره
یه گوشی اندرویدی میان رده بگیرین خیلی بهتره .
فقط گوشی 4 تا کاربر همزمان رو مدیریت میکنه و آی پی میده که برای کاربری شخصی کافیه.
موفق یاشین",4,7,1,1,1,1,3
"آنتن دهي عالي4g
وايفاي نسبتا قوي
نگهداري طولاني مدت شارژ
قابليت ارسال sms","پنل کاربري ضعيف و کند
کار نکردن کد هاي ussd در آن
نداشتن صفحه نمايش
عدم نمايش دقيق ميزان باقي مانده باتري","سلام
من این مودم رو برای خودم تهیه کردم و چون خیلی رضایت داشتم نسبت به عملکردش، یک ماه بعد برای پسر عموم و دو ماه بعد از اون برای یکی از آشنایانم خریدم. حقیقتش خیلی راضی هستم از این مودم و ممنونم از دیجی کالا
من مودم مشابهی رو با همین رنج قیمتی با مارک دی لینک و مثل مودم من با سیمکارت ایرانسل، کنار این مودم گذاشتم و جایی بودم که اون مودم با سرعت 200 کیلو بایت بر ثانیه دانلود میکرد در حالی که من با این مودم با سرعت 3 مگابایت بر ثانیه توی همون نقطه درحال دانلود بودم...
آنتن دهی خیلی قوی ای داره و وایفای خوبی هم داره.خوب شارژ نگه میداره
ولی توی پنل کاربریش که وارد میشیم خیلی کند عمل میکنه یعنی مثلا اگر یک دکمه ای رو میخوایم بزنیم توی پنلش، معمولا دفعه اول اصلا کاری انجام نمیده و باید یکی دو بار اون دکمه رو فشار بدیم تا کاری که میخوایم رو انجام بده
و یک بدی ای که داره اینه که نمیشه متوجه شد که چقدر از بسته اینترنتی که خریدیم رو مصرف کردیم! مثلا فقط هروقت که مودم رو روشن میکنیم از اون لحظه و از صفر شروع میکنه به ثبت حجم مصرف شده و نمایشش میده تا مودم رو خاموش کنیم.
کد های ussd توی پنلش میشه وارد کردولی وقتی که send رو میزنی اررور میده یا هیچ کاری انجام نمیده که خیلی بده به خاطر این که اگر بخوایم بفهمیم چقدر از بسته اینترنتمون باقی مونده باید حتما باتری ش رو در بیاریم و سیمکارتش رو دربیاریم و از یک گوشی دیگه استفاده کنیم که کد ussd رو بزنیم مثلا *555# برای ایرانسل
درضمن برای شروع کار با مودم و برای اولین استفاده و تنظیمات رمز وای فای و ... ، باید مودم رو با کابل یو اس بی به کامپیوتر وصل کنیم تا درایور اون توسط فایل اتورانی که توی مودم هست اجرا بشه (یعنی خود به خود و فقط با اتصال به کامپیوتر درایور مربوطه نصب میشه)
لازم به تذکره که اگر میخواید که با کابل به کامپیوتر وصل بشید باید ویندوزتون اجازه ی اتور ان کردن رو به هر فایل خارجی بده ! چون بعضی ها برای این که ویروس فلش ها اتوماتیک ران نشوند ، اتوران ویندوز رو خاموش میکنند!
راستی برای خاموش و روشن کردن وایفای باید چراغ بالایی رو بیشتر از 5 ثانیه نگه دارید و سپس رها کنیدو برای خاموش و روشن کردن باید دکمه پایینی رو 5ثانیه نگه دارید",12,1,3,5,3,4,5
خوشگله,"پنل مزخرف","واقعا پنل بدی داره نابود می شید سرش.
ولی آنتن دهیش از موبایل خیلی بهتره.
باطریشم بدک نیست",4,1,4,3,3,4,5
,"پنل کاربري خيلي کند
خاموش شدن زياد","پنل کاربری خیلی کند، رنگ پاور روی بنفش گیر کرده
خود بخود خاموش میشه و نیاز به در آوردن باتری داره",5,2,3,0,1,3,3
"آنتن دهي بسيار عالي
کيفيت ساخت
وزن پايين
unlock بودن دستگاه که ميشه از سيمکارتها استفاده کرد
استفاده آسان","نداشتن نمايشگر
عمر به نسبت پايين باطري که آزار دهنده نيست! 5 ساعت ساپورت ميکنه","با کمال خوشحالی خدمتتون عرض کنم که به قول ارشمیدُس : یافتم
علت چشمک زدنه نشانگر باطری (در حالی که منوی تنظیمات دستگاه sms ای تو حافظه نشون نمیده ) این هست که حافظه سیمکارت پُر هست !!!!
واسه حلِ این مورد باید سیم کارت رو به گوشی بندازید و تمام sms های موجود تو داخل send box یا drafts و spambox رو پاک کنید
والسلام. همین",7,0,5,5,5,5,5
"کارآيي خوب
کيفيت قابل قبول","چراغ هاي آزار دهنده","مودم خوبیه.من که ازش راضی ام دوستانی که مشکل بنفش موندن پاور بدون پیامک رو داشتن،من هم به این مشکل خوردم و هیچ مدله درست نشد.الان سیمکارتو گذاشتم توی گوشی و دیدم دوتا پیامک هست که تو اینباکس مودم نشون نمیداد. پاکشون کردم درست شد.امیدوارم شما هم مشکلتون در این مورد حل بشه",5,0,3,4,3,3,3
"آنتن دهي عالي
نگهداري شارژ خوب
سبک و کوچک و راحت
ضمانت و خدمات عالي","بدون صفحه نمايشگر
کند بودن نرم افزار","من حدودا یک ماهی میشه که خریدمش واقعا عالی بوده از هر نظر در منطقه ما که به زور به اینترنت با گوشی وصل می شد من با این با سرعت 2 مگ دانلود می کنم خلاصه یک دقیقه هم در خریدش شک نکنید
تمام ایراد های گفته شده هم واسه من خداروشکر اصلا پیش نیومده",5,0,4,4,3,4,4
"کوچيک و سبک","پشتيباني نکردن از ويندور 10","به نظرم باید از ویندوز 10 پشتیبانی کنه چون سیستم های جدید همه رو این ویندوز هستن",2,1,3,3,3,3,3
"سرعت دانلود بالا","عمر باتري 2 ساعت به جاي 4 ساعت
خاموش شدن بي مورد مکرر
سرعت پايين کنترل پنل و هنگ مکرر
کيفيت ساخت پايين و احتمال زياد خش افتادن رو قاب پشتي
قيمت حدود 300 تومن ولي امکانات در حد يک دستگاه 100 تومني ارزان قيمت","من این محصول رو چند ماه پیش خریدم. متاسفانه فقط تا یک هفته خوب عمل کرد.
پس از اون مشکلات من با این مودم شروع شد!
هر از چند گاهی خود به خود خاموش میشه و شما مجبوین قاب پشتی رو باز کنید باتری رو خارج و دوباره تو دستگاه قرار بدید تا روشن بشه. این قضیه باعث شده من نتونم با خیال راحت کامپیوترو شبا ست کنم واس دانلود شبانه چون خاموش میشه
عمر باتری هم بعد از 1 هفته از 4 ساعت رسید به 1ساعت و نیم یا نهایتا 2 ساعت!
یه چیزی که خیلی تو ذوقم زد کار نکردن USSID از کنترل پنل مودم بود که به نظر میرسه فقط دکوریه و هیچ کاربردی نداره چون هر دستوری میدی اجرا نمیشه. علاوه بر این خود کنترل پنل هم از سرعت بسیا کمی برخورداره و اعصاب کاربر رو خورد میکنه
امیدوارم دوستان دیگه با این مشکلات مواجه نشده باشن. در هر صورت ناامید شدم از برند دی لینک و دیگه احترامی براش قائل نیستم. یکی از محصولای تی پی لینک رو خریداری کردم و به نظرم فقط پولم با خرید این مودم به بیرون ریختم.",7,3,3,4,4,5,4
,,"چراغ پاور بعد از خواندن SMS و یا پاک کردن SMS برنگ بنفش باقی می مونه",6,1,4,5,5,4,5
"آنتن دهي خوب",,"عالیه.اگه تو فروش شگفت انگیز بزارن دوباره یکی دیگه میخوام",5,0,3,3,3,3,3
,,"خیلی سبک و عالیه برای حمل و نقل
سایزش هم کوچک و خوبه
آنتن دهی اش هم خوبه
مثل همیشه ازخریدم راضی ام",5,0,4,5,3,3,5
,,"در پاسخ به اون دوست عزیزی که گفتند چراغ پاور به رنگ بنفش در میاد عرض میکنم که این رنگ بیان گر دریافت پیامک است و بدین معنا نیست که دستگاه شما معیوب و یا دچار مشکلی شده است.
این نکات در توضیحات دستگاه موجود است.
یا علی.",4,3,3,3,3,3,3
باتري,"برد پايين
کيفيت نامناسب
کند بودن پنل","روز اول که به دستم رسید خراب بود و متصل نمیشد با مراجعه به گارانتی و آپگرید فریمور درست شد و فعلا کار میکنه.",5,5,3,1,2,1,3
"آنتن دهي خوب جمع و جور بودن شارژ قابل قبول","نداشتن نمايشکر","با توجه به مصرف زیاد باتری در حالت اتصال به شبکه و هات اسپات بودن برای اشتراک اینترنت محصول کارآمدی است.درصد باطری از منوی تنظیمات گوشی و رنگ ledپاور مشخص میشود.خرید محصول برای افرادی که دائما متصل به نت همراه هستند توصیه میشود.",4,2,3,3,3,3,3
"آنتن دهي
خدمات پس از فروش","نداشتن مونيتور","بعد از مدتها استفاده از محصولات دی لینک چیزی که خیلی مورد توجه من قرار گرفته خدمات پس از فروش عالی این شرکت در نمایندگی هاست. بارها دیده ام که بدون سوال محصول را تعویض می کنند. چیزی که فقط توی فیلم ها دیده بودم
و آنتن دهی این محصول که نسبت به رقبا چیزی فراتر از حد تصور است
البته اگر جزو کسانی هستید که مرتب دلتان می خواهد حجم اینترنت مصرفی را چک کنید این مودم فاقد مونیتور است و تنها از طریق پنل کاربری قابلیت مشاهده دارد. توضیح اینکه پنل کاربری این محصول بسیار زیبا و کارآمد است و پیچیدگی های پنل های کاربری مودم های معمولی را ندارد",6,0,5,5,5,5,5
,,"با اینکه پیامکی نیست ولی رنگ دکمه ی پاور روی بنفش گیر کرده و به هیچ عنوان درست نمیشه! آدم دیگه از مصرف باتری رو نمیفهمه
نرم افزار رابطش خیلی کنده",5,6,3,0,1,3,3
"آنتن دهي و پهناي باند کامل","پنل مديريت","من 3 سال قبل مودم 3جی شو گرفتم کیفیت ساخت خیلی خوبی داشت با جانبی کامل (کلگی شارجر و کابل otg که میشه ازش واسه شارج کردن دستگاه دیگه به عنوان پاور بانک استفاده کرد البته اینو هم میشه) و پنل مدیریت کامل و بدون نقص. ولی الان با این که مقایسه می کنم این مثل یک اسباب بازیه هیچ اصول درستی درش رعایت نشده صفحه نمایشش که کلن رقص نوره ! و پنل تحت وب باگ داره باید مدام کلیک کنی که بتونی چیزی توش تغییر بدی!
ولی پهنای باند کامل پر میکنه که مثلا دانگل یو اس بی همین دی لینک نصف پهنا رو میده
خلاصه که زیاد چیز جالبی نیست و دلسرد کننده س
تازه باتریش 300 میلی آمپر از مدل 3جی ضعیف تره!",5,3,2,3,2,1,1
"سرعت بالا و کيفيت ساخته خوبه .","صفحه نمايش نداره.","عالی پیشنهاد میکنم بخرید تازه به برنامه داره که می تونید به وسیله اون مودم رو کنترل کنید.",2,0,5,5,4,5,5
,,"از نظر سخت افزاری خوب، یه مزیتش اینه که می‌شه بهش آنتن هم وصل کرد ولی‌ از نظر نرم‌افزاری مشکل زیاد داره، اول از همه نرم افزارش کنده، دوم بعضی‌ از تغییرات اصلا ذخیره نمیشن
یه مشکلی‌ که داره اینه که نشون میده اس‌ام‌اس داریم ولی‌ در صورتی‌ که نداریم",1,1,4,5,5,4,5
"کيفيت عالي
قيمت مناسب
با کيفيت","نداشتن نشانگر يا ال سي دي براي مصرف باتري","من از این محصول خیلی راضی ام. خرید آن را به تمامی دوستانم توصیه کردم. نزدیک 3 ماه است که از آن استفاده میکنم. نقطه ضعف خاصی ندارد و شما را با بالاترین کیفیت به اینترنت متصل میکند. قطعی ندارد، شارژ دهی عالی، آنتن دهی عالی، برد عالی
ای کاش درصد باتری رو میتونست نشون بده. فوق العاده راضی هستم. پدرشو دراوردم اما هنوزم عالیه",3,0,5,5,4,4,5
"سبک
بسيار کوچک
قابل حمل
بهترين کيفيت اتصال به اينترنت سيمکارت
4 تا 6 ساعت شارژ داشتن باطري","چراغ هايش دايم چشمک ميزند که براي روي ميز کار مي تواند بسيار ازار دهنده باشد
نياز به تهيه ي شارژر جداگانه دارد يا حداقل سيم usb تا از لپتاپ شارژ شود","بنده 3 ماه است تهیه کرده ام و با اینترنت 4G+ ایرانسل با سرعت دانلود 30-45 مگابیتاز آن استفاده میکنم. تا کنون هیییچ مشکل و عیبی ندیده ام و بسیییار راضی ام",2,0,4,5,5,4,2
