positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"هيچ نقطه قوتي نداره","قطعي زياد در صورت پر بودن آنتن","خیلی قطعی داره با اینکه دکل دو خیابون اون ور تر ماست
ی فیلمو وقتی میخوایی دانلود کنی گاهی با دومگ برثانیه گاهیم با 70 کیلوبایت برثانیه دان میکنه همون فیلمو
فقط برا دانلود هم سریعه برا اینستاگرام کنده
مودم های مارک دیگه بخرید خیلی سرترن",0,0,1,0,1,2,2
"با سيمکارت يو سيم هم کار ميکند","پورت هالي لن ميتوانست بيشتر باشد","سلام خدمت عزیزان
صرفا جهت اطلاع
من خودم این مودم رو دارم هم با سیمکارت USIM عادی ایرانسل و هم با سیمکارت مخصوص TD-LTE ایرانسل بخوبی کار میکند
اما خب فقط از اپراتور ایرانسل پشتیبانی میکند.
پس از بابت ساپورت سیمکارت USIM ایرانسل مشکلی ندارد.
تست شده
باتشکر",3,0,5,3,3,5,5
"کم حجم و کوچک","پرش آنتن و سرعت پايين","سرعت و کیفیت بسیار پایین در مقایسه با سایر مودم ها ( این همان مودمی هست که ایرانسل رایگان در حال پخش کردنش در قبال گرفتن مودم وایمکس شما هست )
از نظر من این مودم رایگان هم نمی ارزه .
به نظر من از دیجی کالا مودم های پرقدرت تهیه کنید تا بسته های گران قیمتی که تهیه میکنید حداقل با لذت از آن ها استفاده کنید نه با مشکلات متعدد چون بسته های LTE بسیار گران قیمت هست و سرویس نامحدود به هیچ وجه ندارد .",4,3,0,0,0,0,0
"پتانسيل سرعت مناسب","هزينه ترافيک بسيار بالا","ایرانسل در سری tdlte بسته‌هایی با حجم بالا که منطقا برای کاربران پرمصرف به صرفه‌تره رو کلا حذف کرده و تنها بسته‌های حجم پایینش که شدیدا گرون هست رو پیشنهاد میده. خرید مودمی که بسته‌ی مناسبی واسش وجود نداره رو پیشنهاد نمیکنم.",4,0,0,2,3,1,3
"نصب راحت","فاقد شيار ميکرو اس دي","مودم کارشو به نحو قابل قبولی انجام میده.حتی کانفیگ هم نمیخواد,سیم کارتتون جا بزنین و از اینترنت استفاد کنین (سرعت معمولیه خیلی شاخ نیست ولی از ADSL بهتره).البته نا گفته نماند سمت ما آنتن 3 خطه و فول.
راستی در توضیحات نوشته حافظه میکرو اس دی میخوره که اینطور نیست و حالگیری شد.
راستی اونایی که میگن سمت ما فلان سرعتو میده رو هوا حرف نزنن این مودم فقط چشمک میزنه و بس و به برنامه های کاربردی اعتباری نیست",0,4,4,3,2,2,3
,,"عالیه سرعت دانلودتا5مگابایت برثانیه ولی اپلودخیلی بده",0,1,5,5,5,5,5
"قيمت سرعت ثبات نسبي",,"دوهفته بعدازخرید : با کابل لن به tv عالیست و بعنوان وای فای فعلا باهم کنارنیامدیم تابعد.",3,2,4,4,3,3,3
,,"بدون قطعی و سرعت خوب",2,1,5,5,4,4,4
,"عدم امکان تعويض LAN IP
عدم امکان تعويض APN","مناسب برای کار تخصصی و با APN اختصاصی نیست.",0,0,5,4,3,5,4
"سرعت باور نکردني
قيمت مناسب
قابل حمل
و.....",نداره,"عالی عالی هرچی بگم بازم کم گفتم",1,1,5,5,5,5,5
"انتن داخلي مناسب","پينگ پايين","من تازه این مودم رو از نمایندگی ایرانسل خریداری کردم و میخوام تجربه چند روزه ام رو در اختیارتون بذارم
من تهران زندگی میکنم و در محدوده تحت پوشش هستم بیشترین سرعتی که ازش گرفتم 20 مگابیت دانلود و 5 مگابیت هم برای ابلود بوده اما چیزی که منو کمی ازار داده پینگ پایین بوده انتن سیم کارت هم معمولا روی یک و دو سوییچ میشه هر از گاهی هم سه تایی روشن میشه اما زود میشه رو دو و یک.
انتن داخلی وای فای هم بنده رضایت دارم در یک واحد 120 متری کاملا جواب گو هستش.
امکانات و تنظیمات مودم هم تقریبا کامل هست.
در کل راضی ام و با این قیمت 50 درصد تخفیف ارزش خرید را دارد و بسیار هم بنظرم با ارزش است و من در کلا از خریدش رضایت دارم.",0,1,4,4,3,3,5
,,"من این مودمو گرفتم خونمونم تو نقطه سبز پر رنگ یا همون آنتن دهی هست ولی متسفانه اصلا آنتن دهی خوب نیس. و اگر هم یه موقع اینترنت باشه اونم ماله دو سه دقیقه هست بعد قطع میشه",1,0,3,3,3,3,3
"سرعت بالا
عدم قطعي
قيمت مناسب","ظاهرش جالب نيست
به ديوار متصل نميشه","از جای دیگه خریدم سرعتش از سیم کارت 4G خود ایرانسل کمتره مثلا من سیم خودم با برنامه اوکلا سرعت رو حدود 20 مگ نشون میده ولی این معمولا 12 مگ هست که البته بازم بسیار عالیه سرعت دانلود واقعی با دانلود منیجر بیشتر از 1.5 مگ ندیدم. در ساعت اوج مصرف سرعتش تا حد 4 مگ هم کاهش پیدا میکنه. ولی قطعی ندیدم من قبلا از اینترنت رادیویی و ADSL استفاده کردم. ADSL که خیلی بد بود خیلی قطع و وصل میشه و هر وقت میخواستم کلش اتک بزنم استرس قطعی داشتم ولی رادیویی اینطور نبود و ایرانسل هم قطعی نداره و به مراتب از رادیویی سریع تره و قطعی هم نداره. در مجموع با توجه به قیمت به صرفه اس و خرید رو توصیه میکنم",2,0,4,5,3,3,1
