positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","طراحي و ظاهر","امکانات و قابليت‌ها","کارآيي و عملکرد"
"کيفيت زمانت کارايي",ندارد,"ممنون مد خودم از مدم های Asus استفاده میکنم این رو در شگفت انگیز دیدم خرید زدم و بسیار سپاس فراوان از دیجی از ارسال به موقع همراه باکیفیت بالا",1,0,5,4,3,4,5
ندارد,"سرعت پايين
جاگير بودن و نياز به دستگاه اضافه","این محصول کاملا قدیمی و بنظر من حتی توو شگفت انگیز دیجی جون بازم ارزش خرید نداره",0,0,3,3,3,3,1
"قيمت عالي ( در تخفيف شگفت انگيز )
عملکرد خوب و قابل قبول
آنتن دهي مناسب در خانه و محل کار
کيفيت جنس مناسب نسبت به هم رده ها","حجيم نسبت به مودم هاي روتر دار
مودم تک پورت آر جي 45","خرید در تخفیف شگفت انگیز ( عملا پول مودمو میدید و روتر اشانتیون میشه )",0,0,5,5,2,4,4
"همه چيش خوبه",نداره,"مودم بسیار عالی هم قیمت مناسب وهم کوچک مناسب و پرسرعت",2,1,5,5,5,5,5
"شيک و ترکيبي ست
مصرف برق رو بيخيال شيد آنچنان مصرفي باهم ندارند.
نويز پذيري کمتر و کارايي بيشتر و استقامت بالاتر نسبت به ساير مودمها در اين رنج",,"با اینکه از دو وسیله استفاده میشه ولی خیلی باهم ترکیب شیکی تشکیل می دهند و واسه ساختمانهایی که مشکل سیم کشی و نویز دارند عالی هست چرا که هم کمتر نویز باعث قطعی اینترنت در این سری مودم اینترنت میشه و روی روتر هم که هیچ اثری جهت قطعی اینترنت نخواهد داشت. میتونید از روتر بیسیم به عنوان انتقال تصویر داخل شبکه هم استفاده کنید با استفاده از دوربین های ip. استفاده از مودم های ترکیبی کاربرد بیشتری برای سرویس گیرنده ها ایجاد میکنه و دست رو باز تر میزار واسه کاربرد بیشتر .
فقط برای استفاده از انتقال تصویر از dvr به اینترنت باید یکسری تنظیمات رو اعمال کرد که البته یکی از دوستان اشاره کرده بود که امکان ایجادش خیلی سخت و شاید نامحتمل هست. نگران نباشید میتونید انجامش بدید.
بخریید بخرید بخرید.....البته فقط در یشنهاد شگفت انگیز یشنهاد شگفت انگیز یشنهاد شگفت انگیز.... حد اقل صرفه داشته باشد.
واگر نه مودم توتولینک را پیشنهاد میکنم البته از نظر قیمتی که در همین سایت تقریبا یکی هستند
از دیجی کالا خواهشمندیم دوباره این مدل رو بیاره بهپیشنهاد ویژه من شخصا 5عدد از این سری رو میخوام. خواهشمندیم.... . تشکر از خانواده دیجی کالا...",5,4,3,3,3,3,3
"ابعاد کوچک",,"من تو پیشنهاد شگفت انگیز خریدم ارزش داشت . اندازه اش کوچیکه و هر جا میشه گذاشت. البته مودم باسیم به تنهایی ارزش نداره ولی وقتی با یه وایرلس کنارش کار همون مودم adsl رو انجام میده",1,0,3,3,3,3,3
,"مودم با وايرلس از هم جدا است","خرید این وسیله رو توی شگفت انگیز توصیه می کنم
دستگاه خوبه من راضی هستم قیمت شگفت انگیر رو بخیرید ولی در غیر اینصورت نخرید",9,0,5,3,3,4,5
"دو وسيله مجزا
نصب بسيار آسان
کيفيت خوب","دو آداپتور برق","سلام در پیشنهاد شگفت انگیز خریدم خوبه مشکل فقط اینه که باید دوتا آدابتور وصل باشه",5,0,3,4,3,4,4
ارزان,"سختي بيشتر نسبت به يک دستگاه کمبو","برای کانفیگ ابتدا مودم رو با کابل به کامپیوتر وصل کرده
حالا یا مرورگر یا سی دی با ای پی 192.168.1.1, مودم رو کانفیگ کنید
ای پی روتر وایرلس 192.168.0.1 هست
دقت کنین که کابل اینترنت از مودم به ورودی wan روتر بزنین
البته اگه به ورودی لن هم بزنین کار میکنه، ولی روتر عملکرد اصلیش رو از دست میده و مثل یک سوییچ عمل میکنه، و در این حالت ای پی روتر به صورت dhcp در رنج ای پی مودم به صورت 192.168.1.. خواهد شد.
روتر رو وقتی به صورت وایرلس با موبایل بهش وصل شین با ای پی 192.168.0.1 هم با مرورگر گوشی میشه کانفیگ کرد
اگه تو شبکه وارد نیستین، ای پی های دستگاه ها رو از تنظیمات پیشفرض خارج نکنین.
در کل نسبت به قیمتش مناسبه
فقط دوستان دقت کنن، اگه از ترکیب مودم + روتر جدا برای انتقال تصویر دوربین مداربسته می خواین استفاده کنین، هرگز اینکار رو نکنین
حتما مودم روتر کمبو بخرین(در یک پکیج) تنظیم و کانفیگ دوربین مداربسته در مودم و روتر جدا بسیار سخت و در خیلی موارد غیر ممکنه.
درضمن جنس بدنه یکم نسبت به هر کدام از این مدل ها به تنهایی که قیمت بسیار بیشتری دارند، خیلی ضعیفتر و رنگ ضعیفتری هم داره.
سوکت های لن پشت روتر هم شل هستن، مال من با اولین بار فشار نسبتا شدید، تقریبا رفت تو!!!!
درضمن، دستگاهی که من گرفتم بر خلاف ان چیزی که دوستمون گفت wps داره،
یکی از مزایای این دستگاه به این صورت زمانیه که سیم کشی داخل منزل ضعیفه و بسیار در اتصال و سرعت اینترنت اختلال و قطعی ایجاد می کنه، در این شرایط شما میتونین مودم بعلاوه اسپلیتر رو در سر خط نصب کنین، و با یک کابل لن بلندتر اینترنت ره به مرکز هر نقطه داخل منزل انتقال بدین",8,0,3,3,3,3,3
"تمام امکانات يک مودم داره
قدرت عالي
مک فيلتر و هيدن واي فاي",ندارد,"یه مودم عالی برای رفتن بع تنظیمات روتر میتونین از 192.168.1.1 استفاده کنیدیوزر و پسورد admin ولی برای تنظیم کردن وای فای از 192.168.0.1 یوزرadmin و پسورد خالی بزارین",7,0,5,5,5,5,5
"قيمت مناسب","مصرف برق نسبتا زياد","مودم خودش خیلی عالی هست نه هنگ میکنه نه گرم میشه 24 ساعته روشنه.
روتر هم تمام تنظیمات مورد نیاز رو داره از جمله قابلیت رپیتر شدن ، محدودیت سرعت برای هر کاربر ، مک فیلتر و ...
در کل محصول در مقابل قیمتی که میدین عالی هست.",9,0,3,3,3,3,3
,,"سلام
یه راهنمای فارسی توش هست که میگی کابل و نصب کنید و تو یه بروزر بزنید 192.168.1.1 و تنظیمات همونطور که کفته انجام دادم ولی هر کاری کردم نشد و حالا راه حل
به مودم هم کابل لن و هم کابل یو اس بی رو زدم و به کامپیوتر زدم بعد سی دیش رو گذاشتم و اول درایور یو اس بی رو نصب کردم از سی دی بعدش از رو سی دی مراحل نصب و که فارسی هم گفته انجام دادم که نصب شد بعد کابلها رو دراوردم و کابل لن یعنی زرد رو به مودم و روتر وصل کردم و تو اکسپلورر 194.168.0.1 و زوم که اونوقت یه رمز برای وایرلستون میخواد دیگه تمومه
یه نکته چون wpsنداره نیاز هم نیست تو تنظبماتش غیرفعالش کنید",5,1,3,3,3,3,3
"قيمت پايين در فروش ويژه
دو قطعه مجزا با کارايي متفاوت و هماهنگ باهم","به ازاي هر قطعه آداپتور و در نتيجه مصرف برق جدا","در فروش ویژه خریدمش که قیمتش عالی بود. رنگ سفید زیبایی داره، دو قطعه با کابل LAN به هم متصل میشند. یکی اینتزنت ADSL رو میگیره و با کابل LAN به قطعه دیگه که بصورت بیسیم WiFi توضیع میکنه. تو منزلم که سه طبقه هست و در طبقه اول نصب کردمش حتی در پشت بام (ولی کمی ضعیف) آنتن داد که با آنتنهای دوتایی مودم قبلیم که سوخت و علتی شد که این دو قطعه رو بخرم برابری میکنه! در کل اگر در فروش ویژه بخریدش عالیه و در غیر اینصورت با کمی هزینه بیشتر میتونید یک مودم وای فای تک آنتنه تهیه کنید. تولد دیجیکالا هم مبارک. موفق باشید...",7,2,3,3,3,5,5
,,"ترکیب بسیار عالی و کاربردی از تجهیزات هستش
ایکاش دیجی کالا زحمت بکشه بذارتش تو شگفت انگیز ، به دردم میخوره حدود بیست تا میگیرم حتما",18,11,3,5,5,5,5
