positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"سرعت
کاربري آسان","يه مقدار بزرگه
بدنش قوي نيست که اين نگران کنندست","اول که به دستم رسید از ظاهرش لذت بردم، ولی وقتی وصلش کردم به لپتاپ دیدم زیادی بزرگه
سرعت خیلی خوبی داره پیشنهاد میکنم بخرید، خصوصا اگه قابلیت ussd براتون مهمه
ولی اگر نه پیشنهاد میکنم هوآوی بخرید",0,0,3,5,4,1,3
,,"محصول خوبیه شک نکنید",0,0,3,3,3,3,3
"سرعت مطلوب
قابليت راه اندازي با شارژر موبايل يا هر درگاه USB
رابط کاربري مطلوب","کيفت پائين بدنه
اندازه کمي بزرگ","دو روزه از دیجی کالا گرفتم، توی این دو روز که باهاش کار کردم سرعت مطلوبی داره وآنتن دهی هم مناسبه، نرم افزار موبالش برای ایران تحریم شده ولی از سایتهای دیگر میشه پیداش کرد، ولی مراقب باشید دستکاری نشده باشه.
اندازش یه کم بزرگه و کیفیت بدنش جالب نیشست.
در کل ازش راضیم.",0,0,3,5,4,1,2
"داغ نشدن دستگاه در صورت استفاده مداوم
سرعت عالي و مطلوب
رابط کاربري آسان و سريع",,"مودم بسیار خوبی هست دوستانی که سرعت خوبی نگرفتن احتمالا سروری که دانلود میکنن مشکن داره من تا 7 MB هم ازش گرفتم..درکل مودم خوبیه با توجه به برند بودنش با این قیمت خیلی ارزش خرید داره",0,0,4,4,3,5,5
,,"من این مودم روتر رو دو روزه خریدم . انتن دهیش از گوشی نوت 4 که دارم بهتره تو راهنمای نصبش میشه راحت کار باهاشو فهمید که البته زبان انگلیسیه و فارسی نداره . کار یه رم ریدر هم انجام میده . نصبش خیلی اسونه .
برد وای فایش خیلی بالا نیست اما اذیت نمیکنه . تو فضای یک خونه 100 متری جواب میده . نه بیشتر .
کیفیت ساختش خوبه چون دی لینک مارک قابل اطمینانی هست . اندازه یه گوشی 1100 نوکیاس . فقط باید مواظب باشی جایی که به یو اس بی وصل میشه چیزی بهش برخورد نکنه .
من تو شگفت انگیز خریدم به نصبت قیمت از خریدم خیلی راضی هستم .
اینم بگم که سرعت دانلودش به نسبت گوشیم 9 به 10 هست یعنی اگه گوشیم 2 مگ بر ثانیه داشته باشه تو همون شرایط این مودم 1.8 مگ سرعتشه که به خاطر مزایای دیگش قابل چشم پوشیه",0,1,4,4,4,5,3
"سرعت بالا و پايداري اتصال شبکه","ابعاد نسبتاً بزرگ در مقايسه با نمونه هاي مشابه","با سلام
من تازه این مودم رو تهیه کردم و در اولین تجربه استفاده بسیار راضی هستم . بخاطر موقعیت محل کارم متأسفانه در استفاده از نمونه های مشابه تجربه خوبی نداشتم ولی با این مودم تفاوت در وضعیت سرعت و همچنین پایداری ارتباط شبکه کاملاً برام مشهود بوده . فقط تنها موردی که می تونم تا این لحظه به عنوان نقطه ضعف ازش یاد کنم ابعاد بزرگتر از انتظارم نسبت به نمونه های دیگه هست بطوریکه وقتی به درگاه usb لپ تاب متصل میشه دیگه امکان استفاده از درگاه کناریش وجود نداره .
ولی با توجه به اینکه در پیشنهاد شگفت انگیز این مودم رو سفارش دادم از خریدم راضی هستم .",0,0,4,5,5,5,4
"کاربري آسان
قفل روي 4g
سرعت خوب","فقط يکم بزرگه","من یه گوشی cat4 دارم و سرعت مودم تقریبا با اون مساویه البته به نظر می رسه کمی آنتن دهیش بهتره تنها ایراد اینه که کمی بزرگه اگه با یه کابل رابط وصل شه بهتره تا ضربه نخوره ولی کلا راضی کننده ست آخه روشن بودن دیتا و هات اسپات گوشی دائم باعث پر وخالی شدن شارژ گوشی میشد الان دیگه راحت شدم",0,0,4,5,5,4,3
,"نداشتن فرکانس 1800
نداشتن انتن خارجي","من که از دی لینک خاطره خوبی ندارم .
رو 3G و 4G سرعت خوبی نداشتم و ندیدم .
ولی از ZTE هواوی بدی ندیدم .
مخصوصا E8372",1,6,1,1,1,1,1
,,"این روتر قدیمی شده،من با یه سیمکارت رو گوشی LG k10 2017 امتحان کردم سرعتش از 4 مگ پایین نمی یومد ولی تو همون شرایط این مودم به زور به 2 مگ می رسید",1,5,1,1,2,2,1
"ارتباط سريع و بي نقص
آنتن دهي خوبي
استفاده سريع و آسان
نداشتن هيچگونه قطعي و مشکلي",نداره,"فیدبک بعد حدود 1 هفته استفاده مداوم:
کاملاً بی نقصه، چه از لحاظ ارتباط و سرعت چه عملکرد
هیچ مشکلی ندیدم و تا حالا هم قطعی نداشتم
آنتن دهی هم عالیه
در کل خیلی عالیه و توصیه میشه",5,0,4,5,4,4,4
