item,support
گوشی,0.31281278983278
صفحه,0.04446321821137
دوربین,0.060817822018568
نظر,0.067962056584542
سامسونگ,0.04603348056456
کیفیت,0.047548645993076
قیمت,0.059091451712137
نسبت,0.031634817583265
کار,0.089716159009725
شارژ,0.028053517479499
دیجی,0.039192279084289
دوستان,0.039385118320646
خرید,0.095804369186127
افزار,0.026216953323722
اپل,0.025087466367919
نمایش,0.030845094996281
دست,0.048769961156668
رنگ,0.023581483760181
کالا,0.030450233702789
سرعت,0.017006584082498
اثر,0.012424356513834
باتری,0.029642145474247
حافظه,0.011772376238533
انگشت,0.013517112186521
رم,0.12780649960055
مدل,0.020918465734304
سونی,0.019862441344732
بازی,0.02062461546938
جی,0.076997952230966
اندروید,0.026042479728923
اس,0.19159955555147
برنامه,0.01493126658647
امکانات,0.01797996308506
ساخت,0.012874314731999
مقایسه,0.015950559692926
کارت,0.015638343786444
نرم,0.012975325760567
قیمتش,0.017208606139634
برند,0.021901027557645
آیفون,0.015665892248781
باطری,0.019513494155135
سی,0.11891752908658
بازار,0.01410481271637
توجه,0.018852331059055
طراحی,0.01509655736049
نور,0.011698913672302
ایفون,0.01294777729823
عکس,0.015913828409811
لحاظ,0.011772376238533
گوشیه,0.018053425651292
هواوی,0.012020312399563
دوربینش,0.013783413989109
ظاهر,0.011855021625543
اچ,0.019348203381115
سیم,0.016161764570841
ساعت,0.012341711126824
حدود,0.017640198716242
قابلیت,0.011689730851523
نوت,0.012626378570969
گیگ,0.01451803965142
رده,0.040744175795921
حرف,0.017089229469508
سری,0.02499563816013
فکر,0.01105611621778
شرکت,0.01138669776582
ارزش,0.010532695433383
انتخاب,0.011928484191774
صفحه نمایش,0.02607002819126
دیجی کالا,0.021414338056364
اثر انگشت,0.010624523641172
رم افزار,0.011533622898282
جی کالا,0.02342537580694
نرم افزار,0.011506074435945
