method_id,measure_id,category_id,aspect_id,result
4,1,4,1,0.3157777
4,2,4,1,0.4165566
4,3,4,1,0.359232894
4,1,4,2,0.2467676
4,2,4,2,0.3543433
4,3,4,2,0.290929496
4,1,4,3,0.32454545
4,2,4,3,0.2865566
4,3,4,3,0.304370246
4,1,4,4,0.15345353
4,2,4,4,0.23434222
4,3,4,4,0.185461759
4,1,4,5,0.4556666
4,2,4,5,0.4765566
4,3,4,5,0.46587754
4,1,4,6,0.3423423
4,2,4,6,0.377655566
4,3,4,6,0.35913294
4,1,4,7,0.358854
4,2,4,7,0.450005
4,3,4,7,0.399293559
4,1,4,8,0.321444
4,2,4,8,0.411355
4,3,4,8,0.360883671
4,1,4,15,0.344254
4,2,4,15,0.451647
4,3,4,15,0.390705091
