aspect_id,keyword,similar_word,similarity
2,ساخت,ظاهر,0.884694874287
2,ساخت,منحصر,0.883122980595
2,ساخت,فرد,0.868676781654
2,ساخت,لوکس,0.868650794029
2,ساخت,ارزان,0.855122506618
2,ساخت,خاص,0.847247362137
2,ساخت,امکانات,0.839791178703
2,ساخت,جذاب,0.836439609528
2,ساخت,آورانه,0.834635674953
2,ساخت,جنس,0.830327093601
2,ساخت,بدنه,0.829520702362
2,ساخت,ظرافت,0.821502447128
2,ساخت,مقرون,0.819476485252
2,ساخت,مناسب,0.817577242851
2,ساخت,صرفه,0.817058682442
2,ساخت,خارق,0.80376458168
2,ساخت,زیبا,0.801396310329
2,ساخت,طراحي,0.799513816833
2,ساخت,خوشدست,0.794253528118
2,ساخت,بخصوص,0.793022751808
2,ساخت,رقبا,0.791650652885
2,ساخت,فوق‌العاده,0.789803087711
2,ساخت,مند,0.787975013256
2,ساخت,شيک,0.786429703236
2,ساخت,ساختی,0.781140983105
2,ساخت,صحفه,0.77963411808
2,ساخت,حسگراثرانگشت,0.778203248978
2,ساخت,کيفيت,0.777931928635
2,ساخت,وسخت,0.777721226215
2,ساخت,باتوجه,0.777542471886
2,ساخت,زيبا,0.776298999786
2,ساخت,خوش,0.775358021259
2,ساخت,ابعاد,0.77347445488
2,ساخت,معقول,0.770758509636
2,ساخت,باريک,0.766256153584
2,ساخت,قلم,0.764343500137
2,ساخت,دستیه,0.760446071625
2,ساخت,نواز,0.759314894676
2,ساخت,قدرتمند,0.758829772472
2,ساخت,نظیر,0.756700396538
2,ساخت,ماژولار,0.755997061729
2,ساخت,مقايسه,0.754020869732
2,ساخت,اسان,0.752883195877
2,ساخت,ظاهري,0.75113171339
2,ساخت,وزيبا,0.750281333923
2,ساخت,کارآمد,0.748830318451
2,ساخت,سايز,0.748023092747
2,ساخت,قبول,0.747318744659
2,ساخت,nظاهر,0.746756672859
2,ساخت,محکم,0.746136426926
2,ساخت,شیک,0.745388627052
2,ساخت,بسيار,0.744597196579
2,ساخت,بازه,0.744216740131
2,ساخت,باطريه,0.742551386356
2,ساخت,استحکام,0.739480018616
2,ساخت,بزرگ,0.738031029701
2,ساخت,جنسه,0.736886560917
2,ساخت,فراوان,0.734849214554
2,ساخت,مرغوب,0.733934938908
2,ساخت,گران,0.731275320053
2,ساخت,سبکي,0.731057584286
2,ساخت,مهمتر,0.730610847473
2,ساخت,زيبايي,0.729496717453
2,ساخت,نازکي,0.728949427605
2,ساخت,ميان,0.728301644325
2,ساخت,تکراري,0.727926373482
2,ساخت,باریک,0.727830767632
2,ساخت,ع,0.727789282799
2,ساخت,ساير,0.727109372616
2,ساخت,نصبت,0.726361989975
2,ساخت,افزاري,0.726018190384
2,ساخت,قيافه,0.725970745087
2,ساخت,باکيفيت,0.72486358881
2,ساخت,خیییییلی,0.724748730659
2,ساخت,نازک,0.724505901337
2,ساخت,قبولیه,0.724116325378
2,ساخت,بري,0.722792744637
2,ساخت,رابطه,0.720644712448
2,ساخت,خوشگل,0.720135331154
2,ساخت,خيره,0.719571173191
2,ساخت,فلزي,0.719199776649
2,ساخت,زنده,0.719054460526
2,ساخت,نظير,0.717386484146
2,ساخت,نقص,0.716969490051
2,ساخت,شکيل,0.715794086456
2,ساخت,بصرفه,0.715761423111
2,ساخت,بفرد,0.715402007103
2,ساخت,شکیل,0.71474981308
2,ساخت,انحناي,0.714383602142
2,ساخت,رووني,0.714164972305
2,ساخت,تصوير,0.713882684708
2,ساخت,کارايي,0.713579297066
2,ساخت,خوب,0.712020874023
2,ساخت,نمايش,0.711395025253
2,ساخت,شکل,0.711001753807
2,ساخت,متفاوت,0.709698319435
2,ساخت,اميد,0.709640741348
2,ساخت,کوچک,0.708740770817
2,ساخت,رواني,0.708145737648
2,ساخت,قيمتي,0.708029150963
2,صفحه,بزرگ,0.847745716572
2,صفحه,امولد,0.836635053158
2,صفحه,سوپر,0.827185750008
2,صفحه,نمایش,0.825339734554
2,صفحه,4k,0.796894669533
2,صفحه,صحفه,0.784548640251
2,صفحه,AMOLED,0.784459888935
2,صفحه,پیکسلیه,0.784130692482
2,صفحه,شفاف,0.777783751488
2,صفحه,زنده,0.776952207088
2,صفحه,نمایشش,0.771692991257
2,صفحه,تراکم,0.769904851913
2,صفحه,hd,0.767320334911
2,صفحه,full,0.755405545235
2,صفحه,آمولد,0.75468993187
2,صفحه,وضوح,0.754528999329
2,صفحه,آفتاب,0.753016114235
2,صفحه,پيکسلي,0.745932340622
2,صفحه,Super,0.733722269535
2,صفحه,HD,0.730553865433
2,صفحه,نمايش,0.73053497076
2,صفحه,oled,0.725877702236
2,صفحه,پیکسلی,0.72331225872
2,صفحه,رزولوشن,0.721622347832
2,صفحه,رنگها,0.717342436314
2,صفحه,نواز,0.716181993484
2,صفحه,واضح,0.7138890028
2,صفحه,حساس,0.71304410696
2,صفحه,نور,0.712552666664
2,صفحه,تصویر,0.71188056469
