aspect_id,keyword,similar_word,similarity
1,قيمت,خريد,0.978696287
1,قيمت,زيبايي,0.934426606
1,قيمت,طراحي,0.932105064
1,قيمت,قيمتش,0.931359172
1,قيمت,تکراري,0.929200947
1,ارزش,قیمت,0.923516452
1,قيمت,کارايي,0.921323299
1,ارزش,رنج,0.919901013
1,پول,بگیرین,0.916478634
1,قيمت,تقريبا,0.916236699
1,قيمت,چيزها,0.915713608
1,قيمت,ظاهري,0.915595531
1,قيمت,ضعيف,0.913060129
1,قيمت,ندارد,0.909576952
1,پول,خرج,0.905140996
1,قيمت,نوآوري,0.904883444
1,پول,میخواین,0.904728293
1,قيمت,پايين,0.902687669
1,قيمت,قديمي,0.90117991
1,پول,دارین,0.9003613
1,قيمت,باتري,0.897758722
1,قيمت,بهترين,0.896632433
1,قيمت,خداييش,0.896592259
1,قيمت,ميان,0.893873811
1,قيمت,قيمتي,0.892687082
1,ارزش,قیمتی,0.892205
1,قيمت,بقيه,0.891374111
1,قيمت,مقايسه,0.890844226
1,قيمت,n,0.889979303
1,قيمت,بسيار,0.88875097
1,قيمت,زيبا,0.887405932
1,قيمت,ساير,0.887147665
1,قيمت,وزيبا,0.886929572
1,قيمت,ي,0.886348963
1,پول,اونایی,0.884578228
1,پول,الکی,0.882355809
1,ارزش,قیمتش,0.882171869
1,قيمت,باطري,0.88187933
1,قيمت,قبلي,0.881574273
1,قيمت,کمي,0.881545484
1,قيمت,اين,0.881448567
1,قيمت,خاصي,0.881279349
1,پول,بگیرن,0.880213678
1,قيمت,دوربين,0.878991902
1,قيمت,عاليست,0.877168536
1,قيمت,ديگر,0.875861168
1,پول,میدید,0.875457227
1,قيمت,نظير,0.875431955
1,قيمت,فلزي,0.875166655
1,پول,میخواد,0.87501961
1,قيمت,زياد,0.874331176
1,قيمت,خوبيه,0.874128342
1,ارزش,انتخابه,0.873699307
1,قيمت,سايز,0.87364918
1,قيمت,بي,0.873202085
1,قيمت,ميشد,0.872359335
1,قيمت,ديگه,0.871105075
1,قيمت,جزئي,0.870471179
1,قيمت,غير,0.870421886
1,قيمت,رقابتي,0.870112181
1,ارزش,ارزه,0.869765759
1,پول,هزینه,0.869739532
1,پول,بخره,0.868703246
1,قيمت,تبليغات,0.868619084
1,قيمت,شيک,0.868386745
1,قيمت,ظرفيت,0.868372619
1,قيمت,شايد,0.868074656
1,پول,اشتباه,0.867351115
1,پول,پولشو,0.866969824
1,قيمت,چيزي,0.866816163
1,پول,نگاهی,0.86670965
1,قيمت,قوي,0.866137564
1,قيمت,زيادش,0.866008878
1,قيمت,ميتونست,0.865909636
1,قيمت,معمولي,0.865092635
1,قيمت,زيادي,0.864962101
1,پول,نخرید,0.864694774
1,پول,باشن,0.864353597
1,قيمت,عيب,0.863785028
1,قيمت,خيلي,0.863714397
1,قيمت,سادگي,0.862325788
1,پول,سراغ,0.860311627
1,قيمت,فوقوالعاده,0.860269725
1,پول,بخری,0.859769583
1,پول,مارک,0.859121263
1,قيمت,هاي,0.85818392
1,قيمت,nحافظه,0.857985914
1,قيمت,شيکي,0.857248962
1,قيمت,هيچ,0.856903791
1,قيمت,همين,0.856656909
